,Serial,Event,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,D3404,Road Accident,2016/3/13,3,11,0,0,0,0,0,0,0
1,D3404,Road Accident,2016/3/13,3,11,0,0,0,0,0,0,0
2,D3403,Road Accident,2016/2/25,1,3,0,0,0,0,0,0,0
3,D3402,Road Accident,2016/2/25,2,3,0,0,0,0,0,0,0
4,D3401,ELECTRIC STORM,2016/2/21,1,3,0,0,0,0,0,0,0
5,D3400,ELECTRIC STORM,2016/2/20,0,1,0,0,0,0,0,0,0
6,D3399,Road Accident,2016/2/22,1,4,0,0,0,0,0,0,0
7,D3398,Road Accident,2016/2/16,1,15,0,0,0,0,0,0,0
8,D3397,Road Accident,2016/2/6,5,0,0,0,0,0,0,0,0
9,D3396,Road Accident,2016/1/25,3,6,0,0,0,0,0,0,0
10,D3395,Road Accident,2016/1/23,1,5,0,0,0,0,0,0,0
11,D3394,Road Accident,2016/1/19,3,5,0,0,0,0,0,0,0
12,D3393,Road Accident,2016/1/26,0,15,0,0,0,0,0,0,0
13,D3392,Road Accident,2016/1/8,0,7,0,0,0,0,0,0,0
14,D3391,Road Accident,2016/1/8,1,7,0,0,0,0,0,0,0
15,D3390,Road Accident,2016/1/5,4,19,0,0,0,0,0,0,0
16,D3389,RAINS,2015/7/12,1,5,0,0,0,0,0,0,0
17,D3388,RAINS,2015/7/12,0,0,0,0,0,0,0,0,0
18,D3387,RAINS,2015/7/12,0,0,0,0,0,0,0,0,0
19,D3386,RAINS,2015/7/12,0,0,0,0,0,0,0,0,0
20,D3385,RAINS,2015/7/12,0,0,0,0,0,0,0,0,0
21,D3384,RAINS,2015/7/12,0,0,0,0,0,0,0,0,0
22,D3383,RAINS,2015/7/12,0,0,0,0,0,0,0,0,0
23,D3382,RAINS,2015/7/12,0,0,0,0,0,0,0,0,0
24,D3381,RAINS,2015/7/12,0,0,0,0,0,0,0,0,0
25,D3380,RAINS,2015/7/12,0,0,0,0,0,0,0,0,0
26,D3379,RAINS,2015/7/12,0,0,0,0,0,0,0,0,0
27,D3378,RAINS,2015/7/12,0,0,0,0,0,0,0,0,0
28,D3377,RAINS,2015/7/12,0,0,0,0,0,0,0,0,0
29,D3376,RAINS,2015/7/12,0,0,0,0,0,0,0,0,0
30,D3375,RAINS,2015/7/11,0,0,0,0,0,0,0,0,0
31,D3374,RAINS,2015/7/11,0,0,0,0,0,0,0,0,0
32,D3373,RAINS,2015/7/11,0,0,0,0,0,0,0,0,0
33,D3372,RAINS,2015/7/11,0,0,0,0,0,0,0,0,0
34,D3371,RAINS,2015/7/11,0,0,0,0,0,0,0,0,0
35,D3370,RAINS,2015/7/11,0,0,0,0,0,0,0,0,0
36,D3369,RAINS,2015/7/10,0,0,0,0,0,0,0,0,0
37,D3368,RAINS,2015/7/10,0,0,0,0,0,0,0,0,0
38,D3367,RAINS,2015/7/10,0,0,0,0,0,0,0,0,0
