,Type,Date,Affected,Deaths,Relocated
0,Covid 19 Epidemic,2021/2/23,0,6,0
1,Flood,2019/12/28,132,0,120
2,Flood,2019/10/26,85,0,0
3,Flood,2019/10/29,140,0,0
4,Rains,2020/12/3,0,0,0
5,Rains,2020/12/10,370,0,0
6,Rains,2020/12/10,130,0,0
7,Rains,2020/12/8,490,0,50
8,Rains,2020/12/8,0,2,0
9,QUEDA DE ARVORE,2020/12/9,157,1,54
10,Flood,2020/3/19,0,50,0
11,Heavy Rains with Lightning Winds,2020/2/27,61,0,27
12,Drought,2020/2/18,531000,2,530
13,Flood,2006/1/31,0,0,0
14,Flood,2006/1/31,0,0,0
15,Flood,2006/1/31,0,0,0
16,Flood,2006/2/31,0,0,0
17,Flood,2006/1/31,228,0,78
18,Flood,2010/1/31,0,0,0
19,Flood,2010/1/31,0,0,0
20,Fire,2008/1/31,0,4,0
21,CHEIAS,2013/1/30,106,0,0
22,CHEIAS,2013/0/0,48,8,0
23,CHEIAS,2013/0/0,0,1,0
24,Drought,2013/0/0,149590,0,0
25,Flood,2013/0/0,11184,20,0
26,Flood,2013/9/10,468,0,0
27,Flood,2011/0/0,2136,2,0
28,CHEIAS,2011/0/0,928,2,0
29,CHEIAS,2011/8/16,24,4,0
30,Flood,2011/0/0,3,3,0
31,Heavy Rains with Lightning Winds,2011/2/5,132,0,0
32,CHEIAS,2011/0/0,120,3,0
33,CHEIAS,2011/0/0,648,1,0
34,Flood,2013/0/0,1164,0,0
35,Flood,2013/0/0,108,1,0
36,CHEIAS,2011/0/0,444,3,0
37,Flood,2011/0/0,20400,0,0
38,Flood,2013/4/21,1308,7,0
39,Flood,2011/0/0,230,2,22
40,Flood,2013/4/21,1248,0,0
41,Flood,2013/4/19,1103,2,0
42,Flood,2013/4/19,1692,8,0
43,Flood,2013/4/19,2206,1,0
44,Flood,2013/4/19,2206,0,0
45,Flood,2013/4/19,1103,13,0
46,Car Accident ,2016/8/16,32,4,0
47,Heavy Rains with Lightning Winds,2016/3/2,1094,0,0
48,Heavy Rains with Lightning Winds,2015/3/16,300,3,0
49,Heavy Rains with Lightning Winds,2015/1/29,5353,3,0
50,Car Accident ,2014/8/10,17,9,0
51,Heavy Rains with Lightning Winds,2013/11/21,2088,0,0
52,Heavy Rains with Lightning Winds,2013/10/30,1200,0,0
53,Lightning,2012/10/23,13,4,0
54,Lightning,2017/9/30,132,1,0
55,Heavy Rains with Lightning Winds,2011/10/25,606,0,0
56,Heavy Rains with Lightning Winds,2011/1/15,2184,0,0
57,Heavy Rains with Lightning Winds,2011/1/17,1524,0,0
58,Car Accident ,2014/1/30,6,5,0
59,Fire,2016/7/20,0,4,0
60,Fire,2015/6/7,0,4,0
61,Car Accident ,2013/11/1,0,7,0
62,Car Accident ,2013/5/29,0,12,0
63,Car Accident ,2012/6/12,0,4,0
64,Car Accident ,2013/1/25,0,7,0
65,Tree Fall,2011/6/8,5,5,0
66,Car Accident ,2012/3/4,0,13,0
67,Fire,2011/7/18,6,6,0
68,Car Accident ,2010/0/0,7,7,0
69,Car Accident ,2008/9/17,4,4,0
70,Car Accident ,2008/10/23,4,4,0
71,Fire,2007/10/16,0,4,0
72,Landslide,1980/0/0,98,14,0
73,Car Accident ,2008/9/17,0,9,0
74,Tree Fall,1986/6/2,14,14,0
75,Heavy Rains with Lightning Winds,2010/4/10,216,0,0
76,Car Accident ,2010/10/10,34,11,0
77,Heavy Rains with Lightning Winds,2017/3/17,550,0,0
78,Flood,2017/3/17,474,0,0
79,Flood,2016/10/31,165,0,0
80,Flood,2016/3/6,320,0,0
81,Flood,2015/12/31,205,0,0
82,Flood,2016/12/31,410,0,0
83,Heavy Rains with Lightning Winds,2016/10/30,300,0,0
84,Heavy Rains with Lightning Winds,2017/4/13,340,0,0
85,Aviation Accident,2010/12/15,50,15,0
86,Flood,2011/4/20,264,0,0
87,Epidemic,2010/12/15,804,67,0
88,Flood,2007/4/2,117,2,0
89,Flood,2005/3/12,732,25,0
90,Flood,1978/3/7,600,10,0
91,CHEIAS,1978/4/7,48,10,0
