,Type,Date,Affected,Deaths,Relocated
0,FIRE,2021/11/29,0,0,0
1,FIRE,2021/11/27,0,0,0
2,FIRE,2021/11/19,0,0,0
3,FIRE,2021/11/29,0,0,0
4,FIRE,2021/11/28,0,1,0
5,FIRE,2021/11/29,0,0,0
6,FIRE,2021/11/21,0,0,0
7,FIRE,2021/11/26,0,0,0
8,FIRE,2021/11/16,0,2,0
9,FIRE,2021/11/17,0,0,0
10,FOREST FIRE,2021/11/20,0,0,0
11,FIRE,2021/11/11,0,0,0
12,FOREST FIRE,2021/11/12,0,0,0
13,FIRE,2021/11/14,0,0,0
14,FOREST FIRE,2021/11/13,0,0,0
15,FIRE,2021/11/4,0,0,0
16,FOREST FIRE,2021/11/12,0,0,0
17,FOREST FIRE,2021/11/1,0,0,0
18,FOREST FIRE,2021/10/31,0,0,0
19,FOREST FIRE,2021/10/28,0,0,0
20,FOREST FIRE,2021/10/29,0,0,0
21,FOREST FIRE,2021/10/28,0,0,0
22,FOREST FIRE,2021/10/29,0,0,0
23,FOREST FIRE,2021/11/1,0,0,0
24,FOREST FIRE,2021/10/25,0,0,0
25,FIRE,2021/10/18,0,1,0
26,FIRE,2021/10/22,0,0,0
27,FOREST FIRE,2021/10/23,0,0,0
28,FOREST FIRE,2021/10/18,0,0,0
29,FIRE,2021/10/24,0,0,0
30,FLOOD,2021/11/14,0,0,0
31,FIRE,2021/10/7,0,0,0
32,FOREST FIRE,2021/10/6,0,0,0
33,FIRE,2021/10/9,0,0,0
34,FOREST FIRE,2021/10/4,0,0,0
35,FOREST FIRE,2021/10/4,0,0,0
36,FIRE,2021/10/5,0,0,0
37,FOREST FIRE,2021/10/4,0,0,0
38,FOREST FIRE,2021/10/4,0,1,0
39,FOREST FIRE,2021/10/6,0,0,0
40,FOREST FIRE,2021/9/3,0,0,0
41,FOREST FIRE,2021/9/27,0,0,0
42,FIRE,2021/9/27,0,0,0
43,FOREST FIRE,2021/10/4,0,0,0
44,FOREST FIRE,2021/9/27,0,0,0
45,FIRE,2021/9/2,0,0,0
46,FOREST FIRE,2021/9/3,0,0,0
47,FOREST FIRE,2021/9/2,0,0,0
48,FIRE,2021/9/1,0,0,0
49,FOREST FIRE,2021/9/1,0,0,0
50,FOREST FIRE,2021/9/3,0,0,0
51,FOREST FIRE,2021/9/2,0,0,0
52,FOREST FIRE,2021/9/1,0,0,0
53,FOREST FIRE,2021/9/2,0,0,0
54,FOREST FIRE,2021/9/1,0,0,0
55,FOREST FIRE,2021/9/1,0,0,0
56,FOREST FIRE,2021/9/1,0,0,0
57,FIRE,2021/9/1,0,0,0
58,FOREST FIRE,2021/9/1,0,0,0
59,FOREST FIRE,2021/8/31,0,0,0
60,FOREST FIRE,2021/8/30,0,0,0
61,FOREST FIRE,2021/8/31,0,0,0
62,FOREST FIRE,2021/8/30,0,0,0
63,FOREST FIRE,2021/8/31,0,0,0
64,FOREST FIRE,2021/8/29,0,0,0
65,FIRE,2021/8/29,0,0,0
66,FOREST FIRE,2021/8/28,0,0,0
67,FOREST FIRE,2021/8/28,0,0,0
68,FOREST FIRE,2021/8/27,0,0,0
69,FIRE,2021/8/29,0,0,0
70,FOREST FIRE,2021/8/26,0,0,0
71,FOREST FIRE,2021/8/30,0,0,0
72,FOREST FIRE,2021/8/25,0,0,0
73,FOREST FIRE,2021/8/25,0,0,0
74,FOREST FIRE,2021/9/26,0,0,0
75,FIRE,2021/8/26,0,0,0
76,FOREST FIRE,2021/8/23,0,0,0
77,FOREST FIRE,2021/8/23,0,0,0
78,FOREST FIRE,2021/8/23,0,0,0
79,FOREST FIRE,2021/8/24,0,0,0
80,FOREST FIRE,2021/8/20,0,0,0
81,FOREST FIRE,2021/8/25,0,0,0
82,FOREST FIRE,2021/8/24,0,0,0
83,FOREST FIRE,2021/9/3,0,0,0
84,FOREST FIRE,2021/8/25,0,0,0
85,FOREST FIRE,2021/8/22,0,0,0
86,FOREST FIRE,2021/8/22,0,0,0
87,FOREST FIRE,2021/8/22,0,0,0
88,FOREST FIRE,2021/8/23,0,0,0
89,FOREST FIRE,2021/8/22,0,0,0
90,FOREST FIRE,2021/8/22,0,0,0
91,FOREST FIRE,2021/8/22,0,0,0
92,FOREST FIRE,2021/8/21,0,0,0
93,FOREST FIRE,2021/9/26,0,0,0
94,FOREST FIRE,2021/8/22,0,0,0
95,FOREST FIRE,2021/8/22,0,0,0
96,FOREST FIRE,2021/8/19,0,0,0
97,FLOOD,2021/8/20,0,0,0
98,FOREST FIRE,2021/8/20,0,0,0
99,FOREST FIRE,2021/8/20,0,0,0
100,FOREST FIRE,2021/8/19,0,0,0
101,FOREST FIRE,2021/8/24,0,0,0
102,FIRE,2021/8/24,0,0,0
103,FOREST FIRE,2021/8/21,0,0,0
104,FOREST FIRE,2021/8/19,0,0,0
105,FOREST FIRE,2021/8/19,0,0,0
