,Type,Date,Affected,Deaths,Relocated
0,Storm,2011/11/8,0,0,0
1,Storm,2011/11/8,0,0,0
2,Storm,2011/11/8,0,0,0
3,Storm,2011/11/8,0,0,0
4,Storm,2011/11/8,0,0,0
5,Volcanic Activity,2011/10/18,0,0,0
6,Flood,2014/7/0,0,0,0
7,Volcanic Activity,2011/6/4,0,0,0
8,Volcanic Activity,2011/6/4,0,0,0
9,Volcanic Activity,2011/6/4,0,0,0
10,Flood,2014/2/6,0,0,0
11,Flood,2014/10/28,0,0,0
12,Flood,2014/10/28,4000,0,0
13,Storm,2014/8/22,0,0,0
14,Frost,2010/7/10,0,11,0
15,Fog,2014/5/27,0,0,0
16,Fog,2014/5/27,0,0,0
17,Volcanic Activity,2011/6/4,0,0,0
18,Flood,2014/2/12,0,0,0
19,Storm,2011/2/18,0,0,0
20,Storm,2011/2/18,0,0,0
21,Storm,2011/2/18,0,0,0
22,Storm,2011/2/18,0,0,0
23,Storm,2011/2/18,0,0,0
24,Flood,2015/3/2,0,0,0
25,Flood,2015/3/2,0,0,0
26,Flood,2015/3/2,0,0,0
27,Flood,2015/2/25,0,0,0
28,Flood,2015/2/25,0,0,0
29,Flood,2015/2/25,0,0,0
30,Flood,2015/2/25,0,0,0
31,Flood,2015/2/15,0,0,0
32,Forest Fire,2015/1/11,0,0,0
33,Storm,2015/1/2,0,0,0
34,Storm,2012/10/2,0,0,0
35,Fire,2012/9/18,0,0,0
36,Flood,2012/9/6,0,0,0
37,Forest Fire,2012/1/0,0,0,0
38,Forest Fire,2012/1/0,0,0,0
39,Drought,2012/1/0,0,0,0
40,Drought,2012/1/0,0,0,0
41,Drought,2012/1/0,0,0,0
42,Drought,2012/1/0,0,0,0
43,Drought,2012/1/0,0,0,0
44,Drought,2012/1/0,0,0,0
45,Drought,2012/1/0,0,0,0
46,Drought,2012/1/0,0,0,0
47,Drought,2012/1/0,0,0,0
48,Drought,2012/1/0,0,0,0
49,Drought,2012/1/0,0,0,0
50,Drought,2012/1/0,0,0,0
51,Flood,2015/8/10,0,0,0
52,Flood,2015/8/10,0,0,0
53,Forest Fire,2015/1/16,0,0,0
54,Electric Storm,2015/1/14,0,2,0
55,Electric Storm,2015/1/14,0,1,0
56,Flood,2015/1/13,0,0,0
57,Flood,2015/1/13,0,0,0
58,Flood,2015/1/13,0,0,0
59,Flood,2015/1/13,0,0,0
60,Flood,2015/1/13,0,0,0
61,Flood,2015/1/13,0,0,0
62,Heatwave,2015/1/10,0,0,0
63,Flood,2015/12/23,0,0,0
64,Flood,2015/12/23,0,0,0
65,Flood,2015/12/22,0,0,0
66,Flood,2015/12/22,0,0,0
67,Flood,2015/12/22,0,0,0
68,Flood,2015/12/23,0,0,0
69,Flood,2015/12/22,0,0,0
70,Flood,2015/12/22,0,0,0
71,Flood,2015/12/22,0,1,0
72,Flood,2015/12/22,0,0,0
73,Flood,2015/12/23,0,0,0
74,Flood,2015/12/22,0,0,0
75,Flood,2015/12/6,0,0,0
76,Fire,2015/12/22,0,0,0
77,Flood,2015/12/22,2500,0,0
78,Flood,2015/12/22,5000,0,0
79,Flood,2015/12/22,0,0,0
80,Flood,2015/12/22,0,0,0
81,Flood,2015/12/22,0,0,0
82,Flood,2015/12/22,0,0,0
83,Flood,2015/12/22,0,0,0
84,Flood,2015/12/22,0,1,0
85,Explosion,2015/12/22,0,0,0
86,Flood,2015/12/21,0,0,0
87,Flood,2015/12/21,0,0,0
88,Flood,2015/12/21,0,0,0
89,Flood,2015/12/21,0,0,0
90,Flood,2015/12/21,0,0,0
91,Flood,2015/12/21,0,0,0
92,Flood,2015/12/21,0,0,0
93,Flood,2015/12/21,0,0,0
94,Flood,2015/12/21,220,0,0
95,Flood,2015/12/21,0,0,0
96,Flood,2015/12/21,0,0,0
97,Flood,2015/12/21,0,0,0
98,Flood,2015/12/21,80,0,0
99,Flood,2015/12/21,0,0,0
100,Flood,2015/12/21,0,0,0
101,Flood,2015/12/21,0,0,0
102,Flood,2015/12/21,0,0,0
103,Heatwave,2015/12/15,0,0,0
104,Storm,2015/12/14,0,1,0
105,Heatwave,2015/12/10,0,0,0
106,Heatwave,2015/12/11,0,0,0
