,Type,Date,Affected,Deaths,Relocated
0,RAINS,2003/8/21,1325,0,0
1,RAINS,2010/9/1,1638,0,0
2,RAINS,2010/9/1,3125,0,0
3,RAINS,2010/9/1,0,0,0
4,RAINS,2010/9/1,5269,0,0
5,RAINS,2010/9/1,7979,0,0
6,RAINS,2010/9/1,0,0,0
7,RAINS,2010/9/1,7067,0,0
8,RAINS,2010/9/1,45346,0,0
9,RAINS,2010/9/1,0,0,0
10,RAINS,2010/9/1,0,0,0
11,RAINS,2010/9/1,0,0,0
12,RAINS,2010/9/1,0,0,0
13,RAINS,2010/9/1,0,0,0
14,RAINS,2010/9/1,0,0,0
15,RAINS,2010/9/1,0,0,0
16,RAINS,2010/9/1,7496,0,0
17,WINDSTORM,2011/9/28,1638,0,0
18,WINDSTORM,2011/9/28,3125,0,0
19,WINDSTORM,2011/9/28,0,0,0
20,WINDSTORM,2011/9/28,5269,0,0
21,WINDSTORM,2011/9/28,7979,0,0
22,WINDSTORM,2011/9/28,7067,0,0
23,WINDSTORM,2011/9/28,0,0,0
24,WINDSTORM,2011/9/28,0,0,0
25,WINDSTORM,2011/9/28,0,0,0
26,WINDSTORM,2011/9/8,1638,0,0
27,WINDSTORM,2011/9/8,3125,0,0
28,WINDSTORM,2011/9/8,0,0,0
29,WINDSTORM,2011/9/8,5269,0,0
30,WINDSTORM,2011/9/8,7979,0,0
31,WINDSTORM,2011/9/8,7067,0,0
32,WINDSTORM,2011/9/8,0,0,0
33,WINDSTORM,2011/9/8,0,0,0
34,WINDSTORM,2011/9/8,49225,0,0
35,WINDSTORM,2011/9/8,0,0,0
36,WINDSTORM,2011/9/8,0,0,0
37,WINDSTORM,2011/9/8,0,0,0
38,WINDSTORM,2011/9/8,0,0,0
39,WINDSTORM,2011/9/8,0,0,0
40,WINDSTORM,2011/9/8,0,0,0
41,WINDSTORM,2011/9/8,0,0,0
42,WINDSTORM,2011/9/8,7496,0,0
43,RAINS,2011/8/20,1638,0,0
44,RAINS,2011/8/20,0,0,0
45,RAINS,2011/8/20,3125,0,0
46,RAINS,2011/8/20,5269,0,0
47,RAINS,2011/8/20,7979,0,0
48,RAINS,2011/8/20,7067,0,0
49,RAINS,2011/8/2,7067,0,0
50,RAINS,2011/8/20,0,0,0
51,RAINS,2011/8/20,0,0,0
52,RAINS,2011/8/20,49225,0,0
53,RAINS,2011/8/20,0,0,0
54,RAINS,2011/8/20,0,0,0
55,RAINS,2011/8/20,0,0,0
56,WINDSTORM,2011/9/28,0,0,0
57,WINDSTORM,2011/9/28,0,0,0
58,WINDSTORM,2011/9/28,0,0,0
59,WINDSTORM,2011/9/28,0,0,0
60,WINDSTORM,2011/9/28,49225,0,0
61,WINDSTORM,2011/9/28,0,0,0
62,WINDSTORM,2011/9/28,0,0,0
63,WINDSTORM,2011/9/28,7496,0,0
64,RAINS,2012/10/12,7496,0,0
65,COASTAL EROSION,2012/8/30,0,0,0
66,COASTAL EROSION,2012/8/30,0,0,0
67,COASTAL EROSION,2012/8/30,0,0,0
68,COASTAL EROSION,2012/8/30,0,0,0
69,COASTAL EROSION,2012/8/22,7979,0,0
70,COASTAL EROSION,2012/8/30,0,0,0
71,RAINS,2011/8/20,0,0,0
72,RAINS,2011/8/20,0,0,0
73,RAINS,2011/8/20,0,0,0
74,RAINS,2011/8/20,7496,0,0
75,WINDSTORM,2011/8/2,3125,0,0
76,WINDSTORM,2011/8/2,0,0,0
77,WINDSTORM,2011/8/2,5269,0,0
78,WINDSTORM,2011/8/2,7979,0,0
79,WINDSTORM,2011/8/2,0,0,0
80,WINDSTORM,2011/8/2,0,0,0
81,WINDSTORM,2011/8/2,49225,0,0
82,WINDSTORM,2011/8/2,0,0,0
83,WINDSTORM,2011/8/2,0,0,0
84,WINDSTORM,2011/8/2,0,0,0
85,WINDSTORM,2011/8/2,1638,0,0
86,WINDSTORM,2011/8/2,0,0,0
87,WINDSTORM,2011/8/2,0,0,0
88,WINDSTORM,2011/8/2,0,0,0
89,WINDSTORM,2011/8/2,0,0,0
90,WINDSTORM,2011/8/2,0,0,0
91,WINDSTORM,2011/8/2,7496,0,0
92,RAINS,2012/10/12,1638,0,0
93,RAINS,2012/10/12,3125,0,0
94,RAINS,2012/10/12,0,0,0
95,RAINS,2012/10/12,5269,0,0
96,RAINS,2012/10/12,7979,0,0
97,RAINS,2012/10/12,7067,0,0
