Type,Date,Affected,Deaths,Relocated
INONDATION,2008/8/1,619,0,0
INONDATION,2008/8/1,48,0,0
INONDATION,2008/8/1,2239,0,0
INONDATION,2008/8/1,3072,0,0
INONDATION,2008/8/1,78,0,0
INONDATION,2008/8/1,8,0,0
INONDATION,2008/8/1,9,0,0
INONDATION,2008/8/1,129,0,0
INONDATION,2008/8/1,4,0,0
INONDATION,2008/8/1,12,0,0
INONDATION,2008/8/1,34,0,0
INONDATION,2008/8/1,32,0,0
INONDATION,2008/8/1,9,0,0
INONDATION,2008/8/1,57,0,0
INONDATION,2008/8/1,50,0,0
INONDATION,2008/8/1,50,0,0
INONDATION,2008/8/1,8,0,0
INONDATION,2008/8/1,423,0,0
INONDATION,2008/8/1,7,0,0
INONDATION,2008/8/1,122,0,0
INONDATION,2008/8/1,72,0,0
INONDATION,2008/8/1,39,0,0
INONDATION,2008/8/1,42,0,0
INONDATION,2008/8/1,551,0,0
INONDATION,2008/8/1,2098,0,0
INONDATION,2008/8/1,10,0,0
INONDATION,2008/8/1,17,0,0
INONDATION,2008/8/1,34,0,0
INONDATION,2008/8/1,12,0,0
INONDATION,2008/8/1,10,0,0
INONDATION,2008/8/1,86,0,0
INONDATION,2008/8/1,40,0,0
INONDATION,2008/8/1,10,0,0
INONDATION,2008/8/1,21,0,0
INONDATION,2008/8/1,30,0,0
INONDATION,2008/8/1,58,0,0
INONDATION,2008/8/1,87,0,0
INONDATION,2008/8/1,143,0,0
INONDATION,2008/8/1,54,0,0
INONDATION,2008/8/1,701,0,0
INONDATION,2008/8/1,41,0,0
INONDATION,2008/8/1,0,0,0
INONDATION,2008/8/1,10,0,0
INONDATION,2008/8/1,47,0,0
INONDATION,2008/8/1,96,0,0
INONDATION,2008/8/1,52,0,0
INONDATION,2008/8/1,498,0,0
INONDATION,2008/8/1,0,0,0
INONDATION,2008/8/1,6,0,0
INONDATION,2008/8/1,0,0,0
INONDATION,2008/8/1,150,0,0
INONDATION,2008/8/1,277,1,0
INONDATION,2008/8/1,529,0,0
INONDATION,2008/8/1,889,0,0
INONDATION,2008/8/1,1758,0,0
INONDATION,2008/8/1,765,0,0
INONDATION,2008/8/1,30,0,0
INONDATION,2008/8/1,25,0,0
INONDATION,2008/8/1,1486,0,0
INONDATION,2008/8/1,900,0,0
INONDATION,2008/8/1,10,0,0
INONDATION,2008/8/1,390,0,0
INONDATION,2008/8/1,0,0,0
INONDATION,2008/8/1,0,0,0
INONDATION,2008/8/1,0,0,0
INONDATION,2008/8/1,0,0,0
INONDATION,2008/8/1,19791,0,0
INONDATION,2008/8/1,317,0,0
INONDATION,2008/8/1,5884,0,0
INONDATION,2008/8/1,0,0,0
INONDATION,2008/8/1,0,0,0
INONDATION,2008/8/1,0,0,0
INONDATION,2008/8/1,0,0,0
INONDATION,2008/8/1,0,0,0
