,Type,Date,Affected,Deaths,Relocated
0,Inundation,2008/10/16,96,0,96
1,Inundation,2008/10/16,27,0,13
2,Inundation,2008/10/16,42,0,14
3,Inundation,2008/10/16,7,0,7
4,Accident,2011/2/25,2,1,0
5,Inundation,2008/10/16,144,0,49
6,Inundation,2008/10/16,34,0,34
7,Inundation,2008/10/16,39,0,0
8,Inundation,2008/10/16,22,0,0
9,Inundation,2008/10/16,224,0,0
10,Inundation,2008/10/16,25,0,0
11,Inundation,2008/10/16,389,0,0
12,Inundation,2008/10/16,245,0,0
13,Inundation,2008/10/16,32,0,0
14,Inundation,2008/10/16,20,0,0
15,Inundation,2008/10/16,84,0,0
16,Inundation,2008/10/16,288,0,0
17,Inundation,2008/10/16,1440,0,0
18,Inundation,2008/10/16,318,0,0
19,Inundation,2008/10/16,668,0,0
20,Inundation,2008/10/16,54,3,0
21,Hurricane,2010/10/24,0,0,0
22,Hurricane,2010/10/24,4,0,0
23,Hurricane,2010/10/24,20,0,0
24,Hurricane,2010/10/24,0,0,0
25,Hurricane,2010/10/24,150,0,0
26,Hurricane,2010/10/24,0,0,0
27,Hurricane,2010/10/24,5,0,0
28,Hurricane,2010/10/24,10,0,0
29,Hurricane,2010/10/24,10,0,0
30,Hurricane,2010/10/24,55,0,0
31,Hurricane,2010/10/24,5,0,0
32,Hurricane,2010/10/24,20,0,0
33,Hurricane,2010/10/24,15,0,0
34,Hurricane,2010/10/24,0,0,0
35,Hurricane,2010/10/24,115,0,0
36,Hurricane,2010/10/24,15,0,0
37,Hurricane,2010/10/24,5,0,0
38,Hurricane,2010/10/24,4,0,0
39,Hurricane,2010/10/24,16,0,0
40,Hurricane,2010/10/24,0,0,0
41,Hurricane,2010/10/24,0,0,0
42,Hurricane,2010/10/24,92,0,0
43,Hurricane,2010/10/24,610,0,0
44,Hurricane,2010/10/24,61,0,0
45,Hurricane,2010/10/24,48,0,0
46,Hurricane,2010/10/24,35,0,0
47,Hurricane,2010/10/24,0,0,0
48,Hurricane,2010/10/26,130,0,0
49,Hurricane,2010/10/24,45,0,0
50,Hurricane,2010/10/24,0,0,0
51,Hurricane,2010/10/24,0,0,0
52,Hurricane,2010/10/24,114,0,0
53,Volcanic Activity,1982/4/4,0,0,0
54,Inundation,2008/6/2,115,0,0
55,Inundation,2008/6/2,125,0,0
56,Inundation,2008/6/2,30,0,0
57,Leak,2009/7/25,0,0,0
58,Hurricane,2008/6/2,696,0,0
59,Hurricane,2008/6/2,1268,0,0
60,Leak,2007/1/19,0,0,0
61,Inundation,2008/5/9,524,1,0
62,Inundation,2008/6/2,313,0,0
63,Storm,2001/8/20,0,0,0
64,Storm,2001/8/19,0,0,0
65,Hurricane,1931/9/10,2500,2500,0
66,Inundation,2008/6/1,348,0,0
67,Inundation,2008/6/2,138,0,0
68,Inundation,2008/5/29,27,3,0
69,Fire,2002/9/29,0,0,0
70,Fire,1932/4/18,700,0,0
71,Accident,2001/12/27,0,0,0
72,Fire,2008/3/27,50,0,0
73,Accident,1999/4/30,10,0,0
74,Fire,2010/12/2,15,0,0
75,Fire,1968/1/3,28,0,0
76,Fire,1972/5/4,180,0,0
77,Fire,1975/3/31,382,0,0
78,Fire,1968/4/16,275,0,0
79,Fire,1953/10/5,0,1,0
80,Fire,1950/7/10,210,0,0
81,Fire,1944/9/13,0,0,0
82,Epidemic,1999/11/1,300,0,0
83,Inundation,2000/10/3,787,0,0
84,Accident,2000/10/4,0,3,0
85,Hurricane,2000/9/29,3279,5,0
86,Hurricane,1978/9/18,0,4,0
87,Hurricane,1955/9/28,20500,16,0
88,Accident,2005/10/15,0,0,0
89,Accident,2005/11/18,0,3,0
90,Accident,2010/2/26,0,4,0
91,Earthquake,2009/5/28,94,0,0
92,Hurricane,2010/10/24,18,0,0
93,Hurricane,2010/10/24,140,0,0
94,Hurricane,2010/10/24,15,0,0
95,Hurricane,2010/10/24,45,0,0
96,Hurricane,2010/10/24,15,0,0
97,Hurricane,2010/10/24,36,0,0
98,Hurricane,2010/10/24,5,0,0
99,Hurricane,2010/10/24,84,0,0
100,Hurricane,2010/10/24,177,0,0
101,Hurricane,2010/10/24,6525,0,0
102,Hurricane,2010/10/24,85,0,0
103,Hurricane,2010/10/24,103,0,0
104,Hurricane,2010/10/25,23,0,0
105,Hurricane,2010/10/24,40,0,0
106,Hurricane,2010/10/24,0,0,0
107,Hurricane,2010/10/24,0,0,0
108,Hurricane,2010/10/24,23,0,0
109,Hurricane,2010/10/24,1978,0,0
110,Hurricane,2010/10/24,0,0,0
111,Hurricane,2010/10/24,0,0,0
112,Hurricane,2010/10/24,104,0,0
113,Hurricane,2010/10/24,0,0,0
114,Hurricane,2010/10/24,15,0,0
115,Hurricane,2010/10/24,175,0,0
116,Hurricane,2010/10/24,0,0,0
117,Hurricane,2010/10/24,100,0,0
118,Hurricane,2010/10/24,20,0,0
119,Hurricane,2010/10/24,10,0,0
120,Hurricane,2010/10/24,650,0,0
121,Hurricane,2010/10/24,0,0,0
122,Hurricane,2010/10/24,689,0,0
123,Hurricane,2010/10/24,17,0,0
124,Hurricane,2010/10/24,24,0,0
125,Hurricane,2010/10/24,603,0,0
126,Hurricane,2010/10/24,115,0,0
127,Hurricane,2010/10/24,1165,0,0
128,Hurricane,1961/10/27,31000,307,0
