,Type,Date,Affected,Deaths,Relocated
0,Drought,2015/11/6,385,0,0
1,Drought,2015/10/6,2755,0,0
2,Drought,2015/9/22,12450,0,0
3,Drought,2015/9/15,1970,0,0
4,Drought,2015/8/30,2005,0,0
5,Nevada,2015/8/12,4850,0,0
6,Nevada,2015/8/12,2155,0,0
7,Nevada,2015/8/11,3760,0,0
8,Epidemic,2015/7/30,1520,0,0
9,Nevada,2015/7/3,5725,0,0
10,Drought,2015/6/15,190,0,0
11,Strong Winds,2015/6/3,4130,0,0
12,Landslide,2015/6/3,125,0,0
13,Pollution,2015/5/20,500,0,0
14,Pollution,2015/5/20,9500,0,0
15,Drought,2015/5/10,1415,0,0
16,Hailstorm,2015/4/15,550,0,0
17,Landslide,2015/3/15,45,0,0
18,Riada,2015/2/18,1990,0,0
19,Frost,2015/2/18,8500,0,0
20,Hailstorm,2015/2/16,1605,0,0
21,Riada,2015/2/16,5835,0,0
22,Flood,2015/2/2,7985,0,0
23,Flood,2015/1/15,3150,0,0
24,Hailstorm,2015/1/15,4395,0,0
25,Frost,2015/1/15,11860,0,0
26,Flood,2015/1/15,1000,0,0
27,Riada,2015/1/15,12285,0,0
28,Flood,2015/1/15,4000,0,0
29,Hailstorm,2015/1/14,9740,0,0
30,Flood,2015/1/12,3115,0,0
31,Flood,2015/1/12,500,0,0
32,Flood,2015/1/12,3000,0,0
33,Hailstorm,2015/1/9,880,0,0
34,Riada,2015/1/7,3295,0,0
35,Flood,2015/1/5,4500,0,0
36,Flood,2014/12/15,2500,0,0
37,Riada,2014/12/15,4500,0,0
38,Flood,2014/12/15,2550,0,0
39,Riada,2014/12/15,2830,0,0
40,Landslide,2014/12/15,3500,0,0
41,Flood,2014/12/15,2925,0,0
42,Flood,2014/12/15,8205,0,0
43,Flood,2014/12/15,7250,0,0
44,Flood,2014/12/15,2500,0,0
45,Frost,2014/11/10,7500,0,0
46,Flood,2014/10/5,2500,0,0
47,Flood,2014/10/2,3500,0,0
48,Frost,2014/10/2,8705,0,0
49,Flood,2014/10/1,2150,0,0
50,Frost,2014/9/20,4250,0,0
51,Flood,2014/9/12,2250,0,0
52,Frost,2014/9/4,4970,0,0
53,Hailstorm,2014/9/2,2800,0,0
54,Frost,2014/8/25,2455,0,0
55,Frost,2014/8/25,4625,0,0
56,Frost,2014/8/20,2600,0,0
57,Frost,2014/8/20,6750,0,0
58,Flood,2014/8/18,3350,0,0
59,Flood,2014/8/15,515,0,0
60,Frost,2014/8/15,4525,0,0
61,Frost,2014/8/15,4660,0,0
62,Flood,2014/8/11,1500,0,0
63,Flood,2014/8/11,2635,0,0
64,Frost,2014/8/10,4490,0,0
