,Type,Date,Affected,Deaths,Relocated
0,Fire,2017/12/25,0,0,0
1,Fire,2017/12/22,0,0,0
2,Gale,2017/12/23,0,0,0
3,Fire,2017/12/17,1,0,0
4,Fire,2017/12/13,0,0,0
5,Structural collapse,2017/12/12,0,0,0
6,Fire,2017/12/12,0,0,0
7,Fire,2017/12/11,0,0,0
8,Leak,2017/12/4,0,0,0
9,Fire,2017/11/16,15,0,0
10,Fire,2017/10/26,1,0,0
11,Structural collapse,2017/10/25,0,0,0
12,Inundation,2017/10/21,0,0,0
13,Structural collapse,2017/10/19,0,0,0
14,Fire,2017/10/16,4,0,0
15,Fire,2017/9/12,0,0,0
16,Gale,2017/9/18,0,0,0
17,Electrical storm,2017/9/18,0,0,0
18,Change in coastline,2017/9/18,1,0,0
19,Gale,2017/9/18,1,0,0
20,Gale,2017/9/18,0,0,0
21,Gale,2017/9/18,0,0,0
22,Gale,2017/9/18,0,0,0
23,Gale,2017/9/5,0,0,0
24,Storm surge,2017/9/5,0,1,0
25,Torrential flow,2017/8/18,5,0,0
26,Gale,2017/8/18,0,0,0
27,Inundation,2017/8/18,0,0,0
28,Fire,2017/8/2,4,0,0
29,Fire,2017/7/21,1,0,0
30,Fire,2017/7/17,3,0,0
31,Fire,2017/7/4,3,0,0
32,Torrential flow,2017/6/28,0,0,0
33,Biological migration or loss,2017/6/23,0,0,0
34,Other,2017/6/22,0,1,0
35,Fire,2017/6/21,0,0,0
36,Fire,2017/6/20,1,0,0
37,Fire,2017/6/4,1,0,0
38,Fire,2017/6/2,1,0,0
39,Fire,2017/6/1,0,0,0
40,Fire,2017/5/30,1,0,0
41,Fire,2017/5/24,0,0,0
42,Fire,2017/5/16,2,0,0
43,Fire,2017/5/5,0,0,0
44,Structural collapse,2017/5/4,0,0,0
45,Fire,2017/4/20,10,0,0
46,Fire,2017/4/19,3,0,0
47,Structural collapse,2017/4/19,0,0,0
48,Fire,2017/4/16,0,1,0
49,Fire,2017/4/14,1,0,0
50,Structural collapse,2017/4/6,0,0,0
51,Fire,2017/4/3,0,0,0
52,Fire,2017/3/29,0,0,0
53,Fire,2017/3/25,4,1,0
54,Forestal fire,2017/3/1,0,0,0
55,Fire,2017/2/4,1,0,0
56,Fire,2017/1/30,0,0,0
57,Fire,2017/1/10,0,0,0
58,Fire,2017/1/14,9,0,0
59,Fire,2016/12/31,0,0,0
60,Structural collapse,2016/12/19,0,0,0
61,Structural collapse,2016/12/13,1,0,0
62,Inundation,2016/11/29,1,0,0
63,Structural collapse,2016/11/29,0,0,0
64,Other,2016/11/29,0,0,0
65,Structural collapse,2016/11/29,0,0,0
66,Structural collapse,2016/11/29,0,0,0
67,Torrential flow,2016/11/29,0,0,0
68,Inundation,2016/11/29,1,0,0
69,Gale,2016/11/29,0,0,0
70,Structural collapse,2016/11/29,0,0,0
71,Inundation,2016/11/29,0,0,0
72,Inundation,2016/11/29,0,0,0
73,Inundation,2016/11/29,0,0,0
74,Torrential flow,2016/11/16,0,0,0
75,Biological migration or loss,2016/11/10,0,0,0
76,Fire,2016/11/8,0,0,0
77,Fire,2016/11/2,0,0,0
78,Fire,2016/11/1,1,0,0
79,Fire,2016/10/21,0,0,0
80,Biological migration or loss,2016/10/0,1,0,0
81,Fire,2016/10/2,0,0,0
82,Gale,2016/9/28,8,0,0
83,Structural collapse,2016/9/28,0,0,0
84,Gale,2016/9/28,0,0,0
85,Gale,2016/9/28,0,0,0
86,Inundation,2016/9/28,0,0,0
87,Gale,2016/9/28,6,0,0
88,Structural collapse,2016/9/19,6,0,0
89,Fire,2016/9/15,5,0,0
90,Fire,2016/9/13,1,0,0
91,Structural collapse,2016/9/9,1,0,0
92,Fire,2016/8/27,1,0,0
93,Fire,2016/8/25,0,1,0
94,Fire,2016/8/9,4,0,0
95,Fire,2016/8/5,7,0,0
96,Fire,2016/8/4,2,0,0
97,Structural collapse,2016/7/24,5,0,0
98,Inundation,2016/7/15,0,0,0
99,Fire,2016/7/9,0,0,0
100,Structural collapse,2016/7/9,2,0,0
101,Structural collapse,2016/7/8,0,0,0
102,Fire,2016/6/30,13,0,0
103,Fire,2016/6/26,1,0,0
104,Fire,2016/6/25,8,0,0
105,Fire,2016/6/24,14,0,0
106,Fire,2016/6/16,5,0,0
107,Fire,2016/6/5,0,1,0
108,Accident,2016/6/4,0,0,0
109,Structural collapse,2016/5/25,0,0,0
110,Forestal fire,2016/5/16,0,0,0
111,Fire,2016/5/12,0,0,0
112,Fire,2016/4/28,0,0,0
113,Fire,2016/5/2,38,0,0
114,Forestal fire,2016/4/26,0,1,0
115,Fire,2016/4/24,0,0,0
116,Biological migration or loss,2016/4/23,0,0,0
117,Fire,2016/4/21,0,0,0
118,Other,2016/4/20,0,0,0
119,Fire,2016/4/15,1,0,0
120,Fire,2016/4/3,0,0,0
121,Forestal fire,2016/3/28,0,0,0
122,Explosion,2016/3/22,0,0,0
