,Type,Date,Affected,Deaths,Relocated
0,FIRE,2015/10/19,2,0,0
1,RAINS,2015/6/1,48,0,0
2,FLOOD,2015/10/23,3,0,0
3,HAILSTORM,2015/10/23,11,0,0
4,HAILSTORM,2015/10/23,25,0,0
5,HAILSTORM,2015/10/23,25,0,0
6,HAILSTORM,2015/10/13,15,0,0
7,HAILSTORM,2015/10/13,20,0,0
8,HAILSTORM,2015/10/10,23,0,0
9,HAILSTORM,2015/10/13,69,0,0
10,HAILSTORM,2015/10/13,164,0,0
11,RAINS,2015/8/26,0,0,0
12,RAINS,2015/5/20,0,0,0
13,Glacial Lake Outburst Flooed,2015/6/28,0,0,0
14,WINDSTORM,2015/5/6,0,0,0
15,FLASH FLOOD,2015/8/30,0,0,0
16,FLASH FLOOD,2015/8/19,0,0,0
17,FLASH FLOOD,2015/6/30,0,0,0
18,FLASH FLOOD,2012/6/20,0,0,0
19,FIRE,2012/6/24,0,0,0
20,WINDSTORM,2014/3/19,0,0,0
21,WINDSTORM,2014/3/19,0,0,0
22,WINDSTORM,2014/3/19,0,0,0
23,WINDSTORM,2014/3/19,0,0,0
24,WINDSTORM,2014/3/19,0,0,0
25,WINDSTORM,2014/3/19,0,0,0
26,FLOOD,2014/3/19,0,0,0
27,WINDSTORM,2014/3/19,0,0,0
28,WINDSTORM,2014/3/19,0,0,0
29,WINDSTORM,2014/3/19,0,0,0
30,WINDSTORM,2014/3/19,0,0,0
31,WINDSTORM,2014/3/19,0,0,0
32,WINDSTORM,2014/3/19,0,0,0
33,WINDSTORM,2014/3/19,0,0,0
34,WINDSTORM,2014/3/19,0,0,0
35,WINDSTORM,2014/3/19,0,0,0
36,WINDSTORM,2014/3/19,0,0,0
37,FLOOD,2014/3/19,0,0,0
38,WINDSTORM,2014/3/19,0,0,0
39,FLOOD,2013/6/4,0,0,0
40,FOREST FIRE,2014/4/10,0,0,0
41,WINDSTORM,2014/3/14,0,0,0
42,FLOOD,2014/2/18,0,0,0
43,FLOOD,2014/2/18,0,0,0
44,WINDSTORM,2014/2/18,0,0,0
45,WINDSTORM,2014/5/11,0,1,0
46,WINDSTORM,2014/5/11,0,0,0
47,WINDSTORM,2014/4/12,0,0,0
48,WINDSTORM,2014/4/12,0,0,0
49,WINDSTORM,2013/12/15,0,0,0
50,WINDSTORM,2013/12/15,0,0,0
51,WINDSTORM,2013/12/15,0,0,0
52,WINDSTORM,2013/12/15,0,0,0
53,WINDSTORM,2013/12/15,0,0,0
54,WINDSTORM,2013/12/15,0,0,0
55,WINDSTORM,2013/12/15,0,0,0
56,WINDSTORM,2013/12/15,0,0,0
57,WINDSTORM,2013/12/15,0,0,0
58,WINDSTORM,2013/12/15,0,0,0
59,WINDSTORM,2013/12/15,0,0,0
60,WINDSTORM,2013/12/15,0,0,0
61,WINDSTORM,2013/12/15,0,0,0
62,WINDSTORM,2013/12/15,0,0,0
63,WINDSTORM,2013/12/15,0,0,0
64,WINDSTORM,2013/12/15,0,0,0
65,WINDSTORM,2013/12/15,0,0,0
66,WINDSTORM,2013/12/15,0,0,0
67,WINDSTORM,2013/12/15,0,0,0
68,WINDSTORM,2013/12/15,0,0,0
69,WINDSTORM,2013/12/15,0,0,0
70,WINDSTORM,2013/12/15,0,0,0
71,FLOOD,2013/12/15,0,0,0
72,WINDSTORM,2013/12/15,0,0,0
73,WINDSTORM,2013/12/15,0,0,0
74,WINDSTORM,2013/12/15,0,0,0
75,WINDSTORM,2013/12/15,0,0,0
76,WINDSTORM,2013/12/15,0,0,0
77,WINDSTORM,2013/12/15,0,0,0
78,WINDSTORM,2013/12/15,0,0,0
79,WINDSTORM,2013/12/15,0,0,0
80,WINDSTORM,2013/12/15,0,0,0
81,WINDSTORM,2013/12/15,0,0,0
82,WINDSTORM,2013/12/15,0,0,0
83,WINDSTORM,2013/12/15,0,0,0
84,WINDSTORM,2013/12/15,0,0,0
85,WINDSTORM,2013/12/15,0,0,0
86,WINDSTORM,2013/12/15,0,0,0
87,WINDSTORM,2013/12/15,0,0,0
88,WINDSTORM,2013/12/15,0,0,0
89,WINDSTORM,2013/12/15,0,0,0
90,WINDSTORM,2013/12/15,0,0,0
91,WINDSTORM,2013/12/15,0,0,0
92,WINDSTORM,2013/12/15,0,0,0
93,WINDSTORM,2013/12/15,0,0,0
