,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,2014-00100,Sismo,2014/8/23,0,0,0,0,0,0,0,0,0
1,2014-00099,Sismo,2014/8/23,0,0,0,0,0,0,0,0,0
2,2014-00098,Sismo,2014/8/23,0,0,0,0,0,0,0,0,0
3,2014-00097,Sismo,2014/8/23,0,0,0,0,0,0,0,0,0
4,2014-00096,Sismo,2014/8/23,0,0,0,0,0,0,0,0,0
5,2014-00095,Sismo,2014/8/23,0,0,0,0,0,0,0,0,0
6,2014-00094,Sismo,2014/8/23,0,0,0,0,0,0,0,0,0
7,2014-00093,Inundación,2014/8/2,0,0,0,0,0,0,0,0,0
8,2014-00092,Inundación,2014/8/2,0,0,0,0,0,0,0,0,0
9,2014-00091,Inundación,2014/8/2,0,0,0,0,0,0,0,0,0
10,2014-00090,Inundación,2014/8/2,0,0,0,0,0,0,0,0,0
11,2014-00089,Inundación,2014/8/2,0,0,0,0,0,0,0,0,0
12,2014-00088,Inundación,2014/8/2,0,0,0,0,0,0,0,0,0
13,2014-00087,Marejada,2014/7/15,0,0,0,0,0,0,0,0,0
14,2014-00086,Marejada,2014/7/15,0,0,0,0,0,0,0,0,0
15,2014-00085,Marejada,2014/7/15,0,0,0,0,0,0,0,0,0
16,2014-00084,Inundación,2014/7/2,0,0,0,0,0,0,0,0,0
17,2014-00083,Vendaval,2014/7/2,0,0,0,0,0,0,0,0,0
18,2014-00082,Vendaval,2014/7/2,0,0,0,0,0,0,0,0,0
19,2014-00081,Marejada,2014/7/2,0,0,0,0,0,0,0,0,0
20,2014-00080,Marejada,2014/7/2,0,0,0,0,0,0,0,0,0
21,2014-00079,Marejada,2014/7/2,0,0,0,0,0,0,0,0,0
22,2014-00078,Marejada,2014/7/2,0,0,0,0,0,0,0,470000,0
23,2014-00077,Lluvias,2014/6/11,0,0,0,0,0,0,0,0,0
24,2014-00076,Lluvias,2014/6/11,0,0,0,0,0,0,0,0,0
25,2014-00075,Lluvias,2014/6/11,0,0,0,0,0,0,0,0,0
26,2014-00074,Lluvias,2014/6/11,0,0,0,0,0,0,0,0,0
