,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,258,ACCIDENT,2014/7/1,1,7,0,0,0,0,0,0,0
1,1,257,Forest Fire,2014/7/1,0,0,0,0,0,0,0,0,0
2,2,256,Others,2014/7/1,0,1,0,0,0,0,0,0,0
3,3,255,Intervention at Sea,2014/6/1,0,0,0,0,0,0,0,0,0
4,4,254,INCENDIE,2014/6/1,0,0,0,0,0,0,0,0,0
5,5,253,FISSURES,2014/4/1,0,0,0,0,0,0,0,0,0
6,6,252,FISSURES,2014/4/1,0,0,0,0,0,0,0,0,0
7,7,251,FISSURES,2014/4/1,0,0,0,0,0,3030,0,0,0
8,8,250,Storm,2014/2/1,0,0,0,0,0,0,0,0,0
9,9,249,Storm,2014/2/1,0,0,0,0,0,0,0,0,0
10,10,248,Lightning,2014/2/1,1,0,0,0,0,0,0,0,0
11,11,247,Lightning,2014/2/1,1,0,0,0,0,0,0,0,0
12,12,246,Flood,2014/2/1,0,0,0,0,0,0,0,0,0
13,13,245,Flood,2014/2/1,0,0,0,0,0,0,0,0,0
14,14,244,Lost at Sea,2014/1/1,1,0,1,1,2,0,1,0,0
15,15,243,Drought,2013/9/1,0,0,0,0,0,0,0,0,0
16,16,242,INCENDIE,2013/8/1,0,0,0,0,1,0,0,0,0
17,17,241,INCENDIE,2013/8/1,1,0,0,0,0,0,0,0,0
18,18,240,INCENDIE,2013/8/1,1,0,0,0,0,0,0,0,0
19,19,239,INCENDIE,2013/8/1,1,0,0,0,0,0,0,0,0
20,20,238,INCENDIE,2013/8/1,1,0,0,0,0,0,0,0,0
21,21,237,Flood,2013/7/1,0,0,0,0,17,0,0,0,0
22,22,236,Flood,2013/7/1,0,0,0,0,8,0,0,0,0
23,23,235,Flood,2013/7/1,0,0,0,0,109,0,0,0,0
24,24,234,Flood,2013/7/1,0,0,0,0,254,0,0,0,0
25,25,233,Flood,2013/7/1,0,0,0,0,22,0,0,0,0
26,26,232,Flood,2013/7/1,0,0,0,0,628,0,0,0,0
27,27,231,INCENDIE,2013/12/24,0,30,0,0,0,0,0,0,0
28,28,230,Flood,2012/4/1,0,0,0,0,0,0,0,0,0
29,29,229,Flood,2012/4/1,0,0,0,0,2133,0,0,0,0
