,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,1312,ÉPIDÉMIE,2009/4/0,0,0,0,0,0,0,0,0,0
1,1,1311,ÉPIDÉMIE,2009/11/0,0,0,0,0,0,0,0,0,0
2,2,1310,ÉPIDÉMIE,2009/11/0,0,0,0,0,0,0,0,0,0
3,3,1309,ÉPIDÉMIE,2009/10/0,0,0,0,0,0,0,0,0,0
4,4,1308,ÉPIDÉMIE,2009/9/0,0,0,0,0,0,0,0,0,0
5,5,1307,ÉPIDÉMIE,2009/9/0,0,0,0,0,0,0,0,0,0
6,6,1306,ÉPIDÉMIE,2009/9/0,0,0,0,0,0,0,0,0,0
7,7,1305,ÉPIDÉMIE,2009/7/0,0,0,0,0,0,0,0,0,0
8,8,1304,ÉPIDÉMIE,2009/7/0,0,0,0,0,0,0,0,0,0
9,9,1303,ÉPIDÉMIE,2009/5/0,0,0,0,0,0,0,0,0,0
10,10,1302,ÉPIDÉMIE,2009/4/0,0,0,0,0,0,0,0,0,0
11,11,1301,ÉPIDÉMIE,2009/4/0,0,0,0,0,0,0,0,0,0
12,12,1300,ÉPIDÉMIE,2009/3/0,0,0,0,0,0,0,0,0,0
13,13,1299,ÉPIDÉMIE,2009/3/0,0,0,0,0,0,0,0,0,0
14,14,1298,ÉPIDÉMIE,2009/2/0,0,0,0,0,0,0,0,0,0
15,15,1297,ÉPIDÉMIE,2009/2/0,0,0,0,0,0,0,0,0,0
16,16,1296,ÉPIDÉMIE,2009/2/0,0,0,0,0,0,0,0,0,0
17,17,1295,ÉPIDÉMIE,2009/1/0,0,0,0,0,0,0,0,0,0
18,18,1294,ÉPIDÉMIE,2009/1/0,0,0,0,0,0,0,0,0,0
19,19,1293,ÉPIDÉMIE,2009/4/0,0,0,0,0,0,0,0,0,0
20,20,1292,ÉPIDÉMIE,2009/3/0,0,0,0,0,0,0,0,0,0
21,21,1291,ÉPIDÉMIE,2009/1/0,0,0,0,0,0,0,0,0,0
22,22,1290,ÉPIDÉMIE,2009/1/0,0,0,0,0,0,0,0,0,0
23,23,1289,ÉPIDÉMIE,2006/12/0,0,0,0,0,0,0,0,0,0
24,24,1288,ÉPIDÉMIE,2006/10/0,0,0,0,0,0,0,0,0,0
25,25,1287,ÉPIDÉMIE,2006/3/0,0,0,0,0,0,0,0,0,0
26,26,1286,ÉPIDÉMIE,2011/12/0,0,0,0,0,0,0,0,0,0
27,27,1285,ÉPIDÉMIE,2011/12/0,0,0,0,0,0,0,0,0,0
28,28,1284,ÉPIDÉMIE,2011/11/0,0,0,0,0,0,0,0,0,0
29,29,1283,ÉPIDÉMIE,2011/11/0,0,0,0,0,0,0,0,0,0
30,30,1282,ÉPIDÉMIE,2011/10/0,0,0,0,0,0,0,0,0,0
31,31,1281,ÉPIDÉMIE,2011/9/0,0,0,0,0,0,0,0,0,0
32,32,1280,ÉPIDÉMIE,2011/4/0,0,0,0,0,0,0,0,0,0
33,33,1279,ÉPIDÉMIE,2011/3/0,0,0,0,0,0,0,0,0,0
34,34,1278,ÉPIDÉMIE,2010/11/0,0,0,0,0,0,0,0,0,0
35,35,1277,ÉPIDÉMIE,2010/11/0,0,0,0,0,0,0,0,0,0
36,36,1276,ÉPIDÉMIE,2010/10/0,0,0,0,0,0,0,0,0,0
37,37,1275,ÉPIDÉMIE,2010/9/0,0,0,0,0,0,0,0,0,0
38,38,1274,ÉPIDÉMIE,2010/9/0,0,0,0,0,0,0,0,0,0
39,39,1273,ÉPIDÉMIE,2010/8/0,0,0,0,0,0,0,0,0,0
40,40,1272,ÉPIDÉMIE,2010/8/0,0,0,0,0,0,0,0,0,0
41,41,1271,ÉPIDÉMIE,2010/8/0,0,0,0,0,0,0,0,0,0
42,42,1270,ÉPIDÉMIE,2010/5/0,0,0,0,0,0,0,0,0,0
43,43,1269,ÉPIDÉMIE,2010/3/0,0,0,0,0,0,0,0,0,0
44,44,1268,ÉPIDÉMIE,2009/11/0,0,0,0,0,0,0,0,0,0
45,45,1267,ÉPIDÉMIE,2009/9/0,0,0,0,0,0,0,0,0,0
46,46,1266,ÉPIDÉMIE,2009/7/0,0,0,0,0,0,0,0,0,0
47,47,1265,ÉPIDÉMIE,2009/1/0,0,0,0,0,0,0,0,0,0
48,48,1264,ÉPIDÉMIE,2009/11/0,0,0,0,0,0,0,0,0,0
49,49,1263,ÉPIDÉMIE,2009/10/0,0,0,0,0,0,0,0,0,0
50,50,1262,ÉPIDÉMIE,2009/10/0,0,0,0,0,0,0,0,0,0
51,51,1261,ÉPIDÉMIE,2009/7/0,0,0,0,0,0,0,0,0,0
52,52,1260,ÉPIDÉMIE,2009/4/0,0,0,0,0,0,0,0,0,0
53,53,1259,ÉPIDÉMIE,2009/1/0,0,0,0,0,0,0,0,0,0
54,54,1258,ÉPIDÉMIE,2009/12/0,0,0,0,0,0,0,0,0,0
55,55,1257,ÉPIDÉMIE,2009/10/0,0,0,0,0,0,0,0,0,0
56,56,1256,ÉPIDÉMIE,2009/10/0,0,0,0,0,0,0,0,0,0
