,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,2006-157,Structural Fire,2006/5/20,0,0,0,5,0,0,0,0.0,0
1,1,2006-156,Structural Fire,2006/5/18,0,0,0,25,0,0,0,0.0,0
2,2,2006-155,Structural Fire,2006/5/16,0,0,0,0,5,0,0,0.0,0
3,3,2006-154,Structural Fire,2006/5/15,0,0,0,0,0,0,0,15000.0,0
4,4,2006-153,Structural Collapse,2006/5/13,0,0,0,0,60,0,10,0.0,0
5,5,2006-152,Other,2006/5/11,0,0,0,0,0,0,0,0.0,0
6,6,2006-151,Flood,2006/5/10,0,0,0,0,0,0,0,0.0,0
7,7,2006-150,Landslide,2006/5/10,0,0,0,0,0,0,0,0.0,0
8,8,2006-149,Structural Fire,2006/5/10,2,0,0,5,0,0,0,0.0,0
9,9,2006-148,Flood,2006/5/9,0,0,0,0,100,0,0,0.0,0
10,10,2006-147,Structural Collapse,2006/5/9,0,0,0,0,5,0,0,0.0,0
11,11,2006-146,Hailstorm,2006/5/9,0,0,0,0,0,0,0,0.0,0
12,12,2006-145,Landslide,2006/5/9,0,0,0,0,0,0,0,0.0,0
13,13,2006-144,Landslide,2006/5/8,0,0,0,5,350,0,0,0.0,0
14,14,2006-143,Flood,2006/5/7,0,0,0,0,0,0,0,0.0,0
15,15,2006-142,Landslide,2006/5/7,0,0,0,5,5,0,0,0.0,30000
16,16,2006-141,Structural Fire,2006/5/5,1,0,0,0,5,0,0,0.0,0
17,17,2006-140,Landslide,2006/5/4,2,0,0,5,100,0,0,0.0,0
18,18,2006-139,Pollution,2006/5/3,0,0,0,0,0,0,0,0.0,0
19,19,2006-138,Landslide,2006/5/1,1,0,0,0,0,0,0,0.0,0
20,20,2006-137,Storm,2006/4/30,0,0,0,75,0,0,0,0.0,0
21,21,2006-136,Structural Fire,2006/4/27,0,0,0,0,0,0,0,0.0,0
22,22,2006-135,Structural Fire,2006/4/25,0,0,0,0,15,0,0,0.0,0
23,23,2006-134,Structural Fire,2006/4/18,0,0,0,0,0,0,0,0.0,0
24,24,2006-133,Flood,2006/4/16,0,0,0,0,20,0,0,0.0,0
25,25,2006-132,Landslide,2006/4/11,0,0,0,0,35,0,0,0.0,0
26,26,2006-131,Landslide,2006/4/11,0,0,0,0,0,0,0,0.0,0
27,27,2006-130,Flood,2006/4/10,0,0,0,0,0,0,100,0.0,0
28,28,2006-129,Flood,2006/4/9,0,0,0,0,0,0,0,0.0,0
29,29,2006-128,Rain,2006/4/8,1,0,0,5,0,0,0,0.0,0
30,30,2006-127,Landslide,2006/4/7,0,0,0,0,0,0,0,0.0,0
31,31,2006-126,Rain,2006/4/5,0,0,0,15,0,0,0,0.0,0
32,32,2006-125,Structural Fire,2006/4/5,0,0,0,0,0,0,0,0.0,0
33,33,2006-124,Flood,2006/4/5,0,0,0,0,100,0,0,0.0,0
34,34,2006-123,Rain,2006/4/5,0,0,0,0,15,0,0,0.0,0
35,35,2006-122,Landslide,2006/4/5,0,0,0,0,0,0,0,0.0,0
36,36,2006-121,Flood,2006/4/5,0,0,0,0,0,0,0,0.0,0
