,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,84,سيولة,1994/1/1,0,0,0,0,0,0,0,0,0.0
1,82,زلزال,1992/10/12,0,0,0,0,0,0,0,0,0.0
2,81,زلزال,1992/10/12,0,0,0,0,0,0,0,0,0.0
3,79,سيولة,1995/1/1,0,0,0,0,20,0,0,0,200.0
4,80,وباء,2010/3/24,1,0,0,0,0,0,0,0,0.0
5,78,وباء,2010/1/21,1,0,0,0,0,0,0,0,0.0
6,75,حريق,2010/9/18,0,0,0,0,0,0,0,0,0.0
7,71,وباء,2007/1/13,1,0,0,0,0,0,0,0,0.0
8,76,سيولة,1992/1/1,0,0,0,0,0,0,0,0,0.0
9,74,سيولة,1986/9/18,0,0,0,0,0,0,0,0,0.0
10,70,فيضان مفاجئ,2010/1/30,0,0,0,0,0,0,0,0,0.0
11,73,زلزال,1983/2/24,0,0,0,0,0,0,0,0,0.0
12,72,زلزال,1981/11/14,0,0,0,0,0,0,0,0,0.0
13,69,سيولة,2010/1/18,4,1,0,0,0,0,0,0,0.0
14,67,وباء,2007/12/25,0,0,0,0,0,0,0,0,0.0
15,68,حريق,2010/9/18,0,0,0,0,0,0,0,0,0.0
16,66,زلزال,2007/4/1,0,0,0,0,0,0,0,0,0.0
17,65,سيولة,2010/1/21,0,0,0,0,0,0,0,0,0.0
18,62,وباء,2009/0/0,2,0,0,0,0,0,0,0,0.0
19,65,زلزال,2004/1/1,0,0,0,0,0,0,0,0,0.0
20,63,زلزال,2000/10/13,0,0,0,0,0,0,0,0,0.0
21,62,سيولة,2009/10/30,0,0,0,0,0,0,0,0,0.0
22,62,سيولة,1991/1/1,0,0,0,0,0,0,0,0,0.0
23,55,حوادث السفن والعبارات,2005/10/17,1,80,0,0,0,0,0,0,0.0
24,57,حريق,2010/9/18,30,39,0,0,0,0,0,0,0.0
25,59,سيولة,2010/1/17,0,0,0,0,0,0,0,0,0.0
26,58,سيولة,2004/10/29,0,0,0,0,0,0,0,0,0.0
