,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
1,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
2,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
3,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
4,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
5,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
6,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
7,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
8,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
9,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
10,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
11,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
12,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
13,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
14,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
15,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
16,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
17,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
18,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
19,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
20,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
21,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
22,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
23,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
24,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
25,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
26,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
27,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
28,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
29,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
30,3123/3123,LLUVIA,2010/2/27,0,0,0,0,0,0,0,0,0
