,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,29842,DROUGHT,2020/5/1,0,0,0,0,0,0,0,0,0
1,1,29841,DROUGHT,2020/5/1,0,0,0,0,0,0,0,0,0
2,2,29840,DROUGHT,2020/5/1,0,0,0,0,0,0,0,0,0
3,3,29839,DROUGHT,2020/5/1,0,0,0,0,0,0,0,0,0
4,4,29837,DROUGHT,2020/4/1,0,0,0,0,0,0,0,0,0
5,5,29836,DROUGHT,2020/4/1,0,0,0,0,0,0,0,0,0
6,6,29835,DROUGHT,2020/4/1,0,0,0,0,0,0,0,0,0
7,7,29834,DROUGHT,2020/4/1,0,0,0,0,0,0,0,0,0
8,8,29833,DROUGHT,2020/4/1,0,0,0,0,0,0,0,0,0
9,9,29832,DROUGHT,2020/4/1,0,0,0,0,0,0,0,0,0
10,10,29831,DROUGHT,2020/4/1,0,0,0,0,0,0,0,0,0
11,11,29830,DROUGHT,2020/4/1,0,0,0,0,0,0,0,0,0
12,12,29829,FLOOD,2020/4/20,5,21,0,0,0,0,0,0,0
13,13,29828,OTHER,2020/6/0,0,0,0,0,0,0,0,0,0
14,14,29827,OTHER,2020/6/0,0,0,0,0,0,0,0,0,0
15,15,29826,OTHER,2020/6/0,0,0,0,0,0,0,0,0,0
16,16,29825,OTHER,2020/6/0,0,0,0,0,0,0,0,0,0
17,17,29824,OTHER,2020/6/0,0,0,0,0,0,0,0,0,0
18,18,29823,OTHER,2020/6/0,0,0,0,0,0,0,0,0,0
19,19,29822,Livestock Disease Outbreak,2020/6/10,0,0,0,0,0,0,0,0,0
20,20,29821,Livestock Disease Outbreak,2020/6/8,0,0,0,0,0,0,0,0,0
21,21,29820,Livestock Disease Outbreak,2020/5/27,0,0,0,0,0,0,0,0,0
22,22,29819,Livestock Disease Outbreak,2020/6/1,0,0,0,0,0,0,0,0,0
23,23,29818,Livestock Disease Outbreak,2020/6/1,0,0,0,0,0,0,0,0,0
24,24,29817,Livestock Disease Outbreak,2020/5/26,0,0,0,0,0,0,0,0,0
25,25,29816,Livestock Disease Outbreak,2020/5/3,0,0,0,0,0,0,0,0,0
26,26,29815,Livestock Disease Outbreak,2020/5/6,0,0,0,0,0,0,0,0,0
27,27,29814,Livestock Disease Outbreak,2020/5/12,0,0,0,0,0,0,0,0,0
28,28,29813,Livestock Disease Outbreak,2020/5/10,0,0,0,0,0,0,0,0,0
29,29,29812,Livestock Disease Outbreak,2020/5/25,0,0,0,0,0,0,0,0,0
30,30,29811,Livestock Disease Outbreak,2020/5/4,0,0,0,0,0,0,0,0,0
31,31,29810,Livestock Disease Outbreak,2020/5/1,0,0,0,0,0,0,0,0,0
32,32,29809,Livestock Disease Outbreak,2020/5/15,0,0,0,0,0,0,0,0,0
33,33,29808,Livestock Disease Outbreak,2020/5/13,0,0,0,0,0,0,0,0,0
34,34,29807,Livestock Disease Outbreak,2020/5/2,0,0,0,0,0,0,0,0,0
35,35,29806,Livestock Disease Outbreak,2020/5/1,0,0,0,0,0,0,0,0,0
36,36,29805,Livestock Disease Outbreak,2020/5/10,0,0,0,0,0,0,0,0,0
37,37,29804,Livestock Disease Outbreak,2020/5/12,0,0,0,0,0,0,0,0,0
38,38,29803,Livestock Disease Outbreak,2020/4/25,0,0,0,0,0,0,0,0,0
39,39,29802,Livestock Disease Outbreak,2020/5/10,0,0,0,0,0,0,0,0,0
40,40,29801,Livestock Disease Outbreak,2020/5/24,0,0,0,0,0,0,0,0,0
41,41,29800,Livestock Disease Outbreak,2020/5/18,0,0,0,0,0,0,0,0,0
42,42,29799,Livestock Disease Outbreak,2020/5/10,0,0,0,0,0,0,0,0,0
43,43,29798,Livestock Disease Outbreak,2020/5/19,0,0,0,0,0,0,0,0,0
44,44,29797,Livestock Disease Outbreak,2020/5/19,0,0,0,0,0,0,0,0,0
45,45,29796,Livestock Disease Outbreak,2020/5/3,0,0,0,0,0,0,0,0,0
46,46,29795,Livestock Disease Outbreak,2020/5/1,0,0,0,0,0,0,0,0,0
47,47,29794,Livestock Disease Outbreak,2020/5/11,0,0,0,0,0,0,0,0,0
48,48,29793,Livestock Disease Outbreak,2020/5/13,0,0,0,0,0,0,0,0,0
49,49,29792,Livestock Disease Outbreak,2020/5/14,0,0,0,0,0,0,0,0,0
50,50,29791,Livestock Disease Outbreak,2020/5/24,0,0,0,0,0,0,0,0,0
51,51,29790,Livestock Disease Outbreak,2020/5/21,0,0,0,0,0,0,0,0,0
52,52,29789,Livestock Disease Outbreak,2020/5/15,0,0,0,0,0,0,0,0,0
53,53,29788,Livestock Disease Outbreak,2020/5/2,0,0,0,0,0,0,0,0,0
54,54,29787,Livestock Disease Outbreak,2020/5/6,0,0,0,0,0,0,0,0,0
55,55,29786,Livestock Disease Outbreak,2020/4/2,0,0,0,0,0,0,0,0,0
56,56,29785,Livestock Disease Outbreak,2020/4/2,0,0,0,0,0,0,0,0,0
57,57,29784,Livestock Disease Outbreak,2020/4/1,0,0,0,0,0,0,0,0,0
58,58,29783,Livestock Disease Outbreak,2020/4/12,0,0,0,0,0,0,0,0,0
59,59,29782,Livestock Disease Outbreak,2020/4/19,0,0,0,0,0,0,0,0,0
60,60,29781,Livestock Disease Outbreak,2020/4/18,0,0,0,0,0,0,0,0,0
61,61,29780,Livestock Disease Outbreak,2020/4/12,0,0,0,0,0,0,0,0,0
62,62,29779,Livestock Disease Outbreak,2020/4/23,0,0,0,0,0,0,0,0,0
63,63,29778,Livestock Disease Outbreak,2020/4/15,0,0,0,0,0,0,0,0,0
64,64,29777,Livestock Disease Outbreak,2020/4/8,0,0,0,0,0,0,0,0,0
