,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,6214,BUSH FIRE,2021/10/19,0,0,0,0,0,0,0,0,0
1,6213,BUSH FIRE,2021/11/12,0,0,0,0,0,0,0,0,0
2,6212,BUSH FIRE,2021/12/19,0,0,0,0,0,0,0,0,0
3,6211,DOMESTIC FIRE,2021/11/15,0,0,0,0,0,0,0,0,0
4,6210,DOMESTIC FIRE,2021/11/21,0,0,0,0,0,0,0,0,0
5,6209,DOMESTIC FIRE,2021/10/20,0,0,0,0,0,0,0,0,0
6,6208,DOMESTIC FIRE,2021/10/5,0,0,0,0,0,0,0,0,0
7,6207,DOMESTIC FIRE,2021/9/10,0,0,0,0,0,0,0,0,0
8,6206,DOMESTIC FIRE,2021/9/8,0,0,0,0,0,0,0,0,0
9,6205,DOMESTIC FIRE,2021/8/14,0,0,0,0,0,0,0,0,0
10,6204,RAINSTORM,2021/7/15,0,0,0,0,0,0,0,0,0
11,6203,RAINSTORM,2021/8/24,0,0,0,0,0,0,0,0,0
12,6202,RAINSTORM,2021/7/17,0,0,0,0,0,0,0,0,0
13,6201,RAINSTORM,2021/8/21,0,0,0,0,0,0,0,0,0
14,6200,FLOOD,2021/9/9,0,0,0,0,0,0,0,0,0
15,6199,FLOOD,2021/9/7,0,0,0,0,0,0,0,0,0
16,6198,FLOOD,2021/8/14,0,0,0,0,0,0,0,0,0
17,6197,FLOOD,2021/7/4,0,0,0,0,0,0,0,0,0
18,6196,FLOOD,2021/7/24,0,0,0,0,0,0,0,0,0
19,6195,FLOOD,2021/8/14,0,0,0,0,0,0,0,0,0
20,6194,FLOOD,2021/8/15,0,0,0,0,0,0,0,0,0
21,6193,FLOOD,2021/7/120,0,0,0,0,0,0,0,0,0
22,6192,FLOOD,2021/6/10,0,0,0,0,0,0,0,0,0
23,6191,FLOOD,2021/6/26,0,0,0,0,0,0,0,0,0
24,6190,DROUGHT,2021/4/30,0,0,0,0,0,0,0,0,0
25,6189,DROUGHT,2021/5/4,0,0,0,0,0,0,0,0,0
26,6188,DROUGHT,2021/5/29,0,0,0,0,0,0,0,0,0
27,6187,DROUGHT,2021/6/27,0,0,0,0,0,0,0,0,0
28,6186,DOMESTIC FIRE,2021/6/12,0,0,0,0,0,0,0,0,0
29,6185,DOMESTIC FIRE,2021/4/7,0,0,0,0,0,0,0,0,0
30,6184,DOMESTIC FIRE,2021/6/21,0,0,0,0,0,0,0,0,0
31,6183,DOMESTIC FIRE,2021/5/28,0,0,0,0,0,0,0,0,0
32,6182,DOMESTIC FIRE,2021/6/10,0,0,0,0,0,0,0,0,0
33,6181,RAINSTORM,2021/6/2,0,0,0,0,0,0,0,0,0
34,6180,RAINSTORM,2021/5/20,0,0,0,0,0,0,0,0,0
35,6179,RAINSTORM,2021/5/6,0,0,0,0,0,0,0,0,0
36,6178,RAINSTORM,2021/4/1,0,0,0,0,0,0,0,0,0
37,6177,RAINSTORM,2021/6/8,0,0,0,0,0,0,0,0,0
38,6176,RAINSTORM,2021/5/18,0,0,0,0,0,0,0,0,0
39,6175,RAINSTORM,2021/4/7,0,0,0,0,0,0,0,0,0
40,6174,RAINSTORM,2021/5/17,0,0,0,0,0,0,0,0,0
41,6173,RAINSTORM,2021/4/20,0,0,0,0,0,0,0,0,0
42,6172,OTHER,2021/3/16,0,0,0,0,0,0,0,0,0
43,6171,BUSH FIRE,2021/2/23,0,0,0,0,0,0,0,0,0
44,6170,BUSH FIRE,2021/3/26,0,0,0,0,0,0,0,0,0
45,6169,BUSH FIRE,2021/3/1,0,0,0,0,0,0,0,0,0
46,6168,DOMESTIC FIRE,2021/3/19,0,0,0,0,0,0,0,0,0
47,6167,DOMESTIC FIRE,2021/3/17,0,0,0,0,0,0,0,0,0
48,6166,DOMESTIC FIRE,2021/2/27,0,0,0,0,0,0,0,0,0
49,6165,DOMESTIC FIRE,2021/1/6,0,0,0,0,0,0,0,0,0
