,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,145,Wind Storm ,2017/7/8,2,1962,0,0,0,0,0,0,0
1,1,144,Wind Storm ,2017/9/0,0,0,0,0,0,0,0,0,0
2,2,143,Wind Storm ,2017/9/0,0,0,0,0,0,0,0,0,0
3,3,142,Fire,2017/3/0,0,19,0,0,0,0,0,0,0
4,4,141,Fire,2017/1/0,0,32,0,0,0,0,0,0,0
5,5,140,Fire,2017/3/14,0,16,0,0,0,0,0,0,0
6,6,139,Fire,2017/3/15,0,68,0,0,0,0,0,0,0
7,7,138,TSUNAMI,2017/2/26,0,7,0,0,0,0,0,0,0
8,8,137,Fire,2017/3/29,2,18,0,0,0,0,0,0,0
9,9,136,Naval Accident,2017/3/15,1,1,0,0,0,0,0,0,0
10,10,134,Naval Accident,2017/2/20,1,1,0,0,0,0,0,0,0
11,11,133,Naval Accident,2017/10/28,0,2,0,0,0,0,0,0,0
12,12,132,Naval Accident,2017/10/13,2,2,2,0,0,0,0,0,0
13,13,131,Naval Accident,2017/10/10,1,15,0,0,0,0,0,0,0
14,14,130,Naval Accident,2017/10/10,2,2,2,0,0,0,0,0,0
15,15,129,Naval Accident,2017/10/10,2,2,2,0,0,0,0,0,0
16,16,128,TSUNAMI,2017/10/8,2,2,2,0,0,0,0,0,0
17,17,127,Wind Storm ,2017/9/0,0,20,0,0,0,0,0,0,0
18,18,126,Fire,2017/12/23,0,0,0,0,0,0,0,0,0
19,19,125,Fire,2017/12/17,0,0,0,0,0,0,0,0,0
20,20,124,Fire,2017/12/12,0,0,0,0,0,0,0,0,0
21,21,123,Fire,2017/12/14,0,0,0,0,0,0,0,0,0
22,22,122,Fire,2017/12/10,0,0,0,0,0,0,0,0,0
23,23,121,Fire,2017/12/9,0,0,0,0,0,0,0,0,0
24,24,120,Fire,2017/12/9,0,0,0,0,0,0,0,0,0
25,25,119,Fire,2017/12/6,0,0,0,0,0,0,0,0,0
26,26,117,Fire,2017/11/25,0,0,0,0,0,0,0,0,0
27,27,116,Fire,2017/11/22,0,0,0,0,0,0,0,0,0
28,28,115,Fire,2017/11/12,0,0,0,0,0,0,0,0,0
29,29,114,Fire,2017/11/10,0,0,0,0,0,0,0,0,0
30,30,113,Fire,2017/10/14,0,0,0,0,0,0,0,0,0
31,31,112,Fire,2017/10/10,0,0,0,0,0,0,0,0,0
32,32,111,Fire,2017/10/4,0,0,0,0,0,0,0,0,0
33,33,110,Fire,2017/9/21,0,0,0,0,0,0,0,0,0
34,34,109,Fire,2017/9/2,0,0,0,0,0,0,0,0,0
35,35,108,Fire,2017/7/14,0,0,0,0,0,0,0,0,0
36,36,107,Fire,2017/7/4,0,0,0,0,0,0,0,0,0
37,37,106,Fire,2017/7/2,1,0,0,0,0,0,0,0,0
38,38,105,Fire,2017/7/1,0,0,0,0,0,0,0,0,0
39,39,103,Naval Accident,2017/9/25,1,5,0,0,0,0,0,0,0
40,40,102,Naval Accident,2017/9/23,1,4,0,0,0,0,0,0,0
41,41,101,TSUNAMI,2017/9/16,2,2,2,0,0,0,0,0,0
42,42,100,Naval Accident,2017/9/4,1,1,1,0,0,0,0,0,0
43,43,99,Naval Accident,2017/8/26,1,1,1,0,0,0,0,0,0
44,44,98,Naval Accident,2017/8/9,1,1,1,0,0,0,0,0,0
45,45,97,Naval Accident,2017/8/9,2,2,0,0,0,0,0,0,0
46,46,96,Naval Accident,2017/8/1,1,30,0,0,0,0,0,0,0
47,47,95,Naval Accident,2017/7/26,0,7,0,0,0,0,0,0,0
48,48,94,Wind Storm ,2017/8/2,0,0,0,0,0,0,1,0,0
49,49,93,Fire,2017/6/22,0,0,0,0,0,0,0,0,0
50,50,92,Fire,2017/6/19,0,0,0,0,0,0,0,0,0
51,51,91,Fire,2017/6/17,0,0,0,0,0,0,0,0,0
52,52,90,Fire,2017/6/15,0,0,0,0,0,0,0,0,0
53,53,89,Fire,2017/6/14,0,0,0,0,0,0,0,0,0
54,54,88,Fire,2017/6/14,0,0,0,0,0,0,0,0,0
55,55,87,Fire,2017/6/4,0,0,0,0,0,0,0,0,0
