,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,215,Fire,2021/6/30,0,0,0,0,0,0,0,0,0
1,1,214,Fire,2021/6/30,0,0,0,0,0,0,0,0,0
2,2,214,Fire,2021/6/30,0,0,0,0,0,0,0,0,0
3,3,213,Fire,2021/6/30,0,0,0,0,0,0,0,0,0
4,4,212,Fire,2021/6/30,0,0,0,0,0,0,0,0,0
5,5,211,Accident  ,2021/6/30,0,0,0,0,0,0,0,0,0
6,6,209,Accident  ,2021/6/28,0,0,0,0,0,0,0,0,0
7,7,207,Accident  ,2021/6/28,0,0,0,0,0,0,0,0,0
8,8,206,Accident  ,2021/6/28,0,0,0,0,0,0,0,0,0
9,9,206,Accident  ,2021/6/28,0,0,0,0,0,0,0,0,0
10,10,205,Accident  ,2021/6/28,0,0,0,0,0,0,0,0,0
11,11,204,Accident  ,2021/6/28,0,0,0,0,0,0,0,0,0
12,12,203,Accident  ,2021/6/28,0,0,0,0,0,0,0,0,0
13,13,202,Accident  ,2021/6/28,0,0,0,0,0,0,0,0,0
14,14,201,Accident  ,2021/6/28,0,0,0,0,0,0,0,0,0
15,15,200,Accident  ,2021/6/28,0,0,0,0,8,0,0,0,0
16,16,199,Fire,2021/6/28,0,0,0,16,16,0,0,0,0
17,17,197,Accident  ,2021/6/28,0,0,0,0,56,0,0,0,0
18,18,198,Fire,2021/6/28,1,0,0,16,16,0,0,0,0
19,19,193,Accident  ,2021/6/28,0,0,0,0,8,0,0,0,0
20,20,194,Accident  ,2021/6/28,0,0,0,0,0,0,0,0,0
21,21,192,Accident  ,2021/6/28,2,3,0,0,5,0,0,0,0
22,22,191,Fire,2021/6/28,0,4,0,32,32,0,0,0,0
23,23,190,Fire,2021/6/28,0,0,0,24,24,0,0,0,0
24,24,189,Fire,2021/6/28,0,0,0,8,8,0,0,0,0
25,25,188,Fire,2021/6/28,0,0,0,8,8,0,0,0,0
26,26,182,Fire,2021/6/24,0,0,0,0,0,0,0,0,0
27,27,181,Forest Fire,2021/6/24,0,0,0,0,0,0,0,0,0
28,28,180,Fire,2021/6/24,1,20,0,480,480,0,0,0,0
29,29,179,Fire,2021/6/24,0,0,0,8,8,0,0,0,0
30,30,178,Fire,2021/6/24,0,0,0,0,0,0,0,0,0
31,31,177,Fire,2021/6/24,1,0,0,1,4,0,0,0,0
32,32,162,Flood,2019/4/9,0,0,0,0,0,0,0,0,0
33,33,161,Flood,2018/10/22,0,0,0,0,0,0,0,0,0
34,34,160,Flood,2019/4/16,0,0,0,0,0,0,0,0,0
35,35,159,Flood,2019/4/11,0,0,0,0,0,0,0,0,0
36,36,158,Fire,2019/1/8,0,0,0,0,0,0,0,0,0
37,37,156,Fire,2017/8/6,0,1,0,0,5,0,0,0,0
38,38,155,Accident  ,2017/8/14,1,0,0,0,0,0,0,0,0
39,39,154,Accident  ,2017/8/14,1,0,0,0,2,0,0,0,0
40,40,152,Fire,2017/8/13,0,0,0,0,0,0,0,0,0
41,41,151,Fire,2017/8/13,0,0,0,0,15,0,0,0,0
42,42,150,Fire,2017/8/11,0,0,0,0,16,0,0,0,0
43,43,148,Accident  ,2017/4/17,3,0,0,0,0,0,0,0,0
44,44,147,Accident  ,2017/4/10,3,0,0,0,0,0,0,0,0
