,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,198,COASTAL EROSION,2008/10/15,0,0,0,0,0,0,0,0,0
1,197,BIOLOGICAL,1978/0/0,0,0,0,0,0,0,0,0,600000
2,202,EPIDEMIC,1854/7/0,193,0,0,0,0,0,0,0,0
3,200,EPIDEMIC,1854/7/0,386,0,0,0,0,0,0,0,0
4,195,EPIDEMIC,1951/0/0,8,0,0,1612,0,0,0,0,0
5,194,STORM,2012/8/3,0,0,0,0,0,0,0,0,0
6,193,STORM,2010/10/26,0,0,0,0,0,0,0,0,0
7,192,STORM,2004/8/14,0,0,0,0,0,0,0,0,0
8,191,STORM,2001/10/8,0,0,0,0,0,0,0,0,0
9,190,STORM,1993/0/0,0,0,0,0,0,0,0,0,0
10,189,STORM,1988/10/1,0,0,0,0,0,0,0,0,0
11,187,STORM,1978/8/11,0,0,0,0,0,0,0,0,0
12,186,STORM,1974/10/2,0,0,0,0,0,0,0,0,0
13,185,STORM,1974/8/14,0,0,0,0,0,0,0,0,0
14,184,STORM,1971/8/0,0,0,0,0,0,0,0,0,0
15,183,HURRICANE,1970/9/20,0,0,0,0,0,0,0,0,0
16,182,STORM,1961/7/20,0,0,0,0,0,0,0,0,0
17,163,FLOOD,2011/12/6,0,0,0,0,0,0,0,0,0
18,159,OTHER,2011/6/11,0,0,0,0,0,0,0,0,0
19,136,BIOLOGICAL,1940/0/0,0,0,0,0,0,0,0,0,0
20,134,EPIDEMIC,1854/7/0,616,0,0,1599,0,0,0,0,0
21,133,EPIDEMIC,1854/7/0,182,0,0,295,0,0,0,0,0
22,132,EPIDEMIC,1854/7/0,347,0,0,724,0,0,0,0,0
23,131,HURRICANE,1955/9/22,13,0,0,0,0,0,0,0,0
24,129,HURRICANE,1955/9/22,21,2,0,0,0,0,0,0,0
25,128,HURRICANE,1955/9/22,10,0,0,0,0,0,0,0,0
26,120,DROUGHT,2010/0/0,0,0,0,0,100000,0,0,0,0
27,119,FLOOD,1975/9/11,0,0,0,0,0,0,0,0,0
28,118,FLOOD,1975/9/11,0,0,0,0,0,0,0,0,0
29,117,FLOOD,1975/9/11,0,0,0,0,0,0,0,0,0
30,116,FLOOD,1975/9/11,0,0,0,0,0,0,0,0,0
31,115,FLOOD,1975/11/9,0,0,0,0,0,0,0,4237000,10000000
32,113,EPIDEMIC,1793/0/0,1154,0,0,0,0,0,0,0,0
33,110,FIRE,1952/8/26,0,0,0,100,0,0,0,0,25000
34,104,ACCIDENT,1991/1/16,9,3,0,0,0,0,0,0,0
35,103,EPIDEMIC,1854/6/24,1250,0,0,0,0,0,0,0,0
36,102,EPIDEMIC,1854/6/10,804,0,0,0,0,0,0,0,0
37,101,STORM,1988/10/15,0,0,0,0,0,0,0,0,0
38,100,FLOOD,1955/9/22,32,0,0,0,0,0,0,0,0
39,99,HURRICANE,1955/9/22,27,500,0,5000,0,0,0,0,0
40,97,EPIDEMIC,2014/6/0,0,0,0,2120,0,0,0,0,0
41,94,STORM,2007/9/1,0,0,0,0,0,0,0,0,0
42,181,COASTAL EROSION,1990/5/0,0,0,0,0,0,0,0,0,0
43,179,COASTAL EROSION,1991/12/22,0,0,0,0,0,0,0,0,0
44,176,BIOLOGICAL,1991/11/0,0,0,0,0,0,0,0,0,0
45,173,THUNDERSTORM,1988/8/4,0,0,0,2,0,0,0,0,9000
46,93,HURRICANE,1955/9/22,4,0,0,0,0,0,0,0,0
47,92,HURRICANE,1954/10/6,0,0,0,0,0,0,0,0,0
48,91,HURRICANE,1866/8/16,0,0,0,0,0,0,0,0,0
49,90,HURRICANE,1878/9/2,0,0,0,0,0,0,0,0,0
50,89,HURRICANE,1877/9/22,0,0,0,0,0,0,0,0,0
51,86,BIOLOGICAL,2009/7/28,0,1,0,28,0,0,0,0,0
52,153,BIOLOGICAL,2011/3/0,0,0,0,0,0,0,0,0,0
53,114,FLOOD,2003/12/13,0,0,0,0,0,0,36,0,0
54,82,HURRICANE,2005/7/14,1,0,0,4311,39085,0,3097,75478000,0
55,80,BIOLOGICAL,1999/9/17,0,0,0,0,0,0,0,0,0
56,76,LANDSLIDE,2002/9/24,0,0,0,0,0,0,0,0,0
57,75,STORM,2002/9/24,0,0,0,0,0,0,0,0,0
58,180,OTHER,1994/7/0,0,0,0,0,0,0,0,0,0
59,126,FLOOD,1955/9/22,8,0,0,0,0,0,0,0,0
60,124,LANDSLIDE,1938/11/20,3,6,0,10,0,0,0,0,0
61,123,FIRE,2010/3/0,0,0,0,0,0,0,0,0,0
62,122,FOREST FIRE,2007/3/0,0,0,0,0,0,0,0,0,0
63,121,FIRE,2007/0/0,1,0,0,0,0,0,0,0,40843000
64,74,STORM,2002/9/24,0,0,0,0,0,0,0,0,0
65,73,STORM,2002/9/24,0,0,0,0,0,0,0,0,0
66,72,COASTAL FLOOD,1999/11/17,0,12,0,40,0,0,0,94340000,250000000
67,71,COASTAL EROSION,1999/11/17,0,0,0,45,0,0,46,0,0
68,70,COASTAL EROSION,1999/11/17,0,0,0,0,0,0,0,0,0
69,69,OTHER,1944/8/5,65,0,0,0,0,0,0,0,0
70,68,EARTHQUAKE,1990/3/26,0,0,0,0,0,0,0,0,0
71,67,EARTHQUAKE,1977/11/4,0,0,0,0,0,0,0,0,0
72,66,EARTHQUAKE,1974/9/5,0,0,0,0,0,0,0,0,0
73,65,EARTHQUAKE,1972/7/5,0,0,0,0,0,0,0,0,0
74,64,EARTHQUAKE,1966/8/6,0,0,0,0,0,0,0,0,0
75,63,EARTHQUAKE,1965/10/25,0,0,0,0,0,0,0,0,0
76,62,VOLCANO,1953/10/30,0,0,0,0,0,0,0,0,0
77,172,FLOOD,1988/8/4,0,0,0,0,0,0,0,0,0
78,171,THUNDERSTORM,1988/8/4,0,0,0,0,0,0,0,0,0
79,169,THUNDERSTORM,1988/7/21,0,0,0,0,0,0,2,0,0
80,167,FLOOD,2010/11/26,0,0,0,40,0,0,0,0,0
81,166,FLOOD,2010/11/27,0,0,0,0,0,0,0,0,0
82,165,FIRE,2010/2/0,0,0,0,0,0,0,0,0,0
83,61,VOLCANO,1943/9/5,0,0,0,0,0,0,0,0,0
84,60,LANDSLIDE,1986/10/0,0,0,0,0,0,0,0,0,0
85,59,STORM,1986/9/8,0,0,0,0,0,0,0,0,0
86,58,EARTHQUAKE,1986/11/28,0,0,0,0,0,0,0,0,0
87,57,LANDSLIDE,2005/7/14,0,0,0,0,0,0,0,0,0
