,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,2013-00032,Flooding,2013/12/30,0,0,0,0,0,0,0,0.0,0.0
1,1,2013-00031,Flooding,2013/12/29,0,0,0,0,0,0,0,0.0,0.0
2,2,2013-00030,Flooding,2013/12/13,0,0,0,0,0,0,0,0.0,0.0
3,3,2013-00029,Flooding,2013/12/13,0,0,0,0,0,0,0,0.0,0.0
4,4,2013-00028,Flooding,2013/12/13,0,0,0,0,0,0,0,0.0,0.0
5,5,2013-00027,Flooding,2013/12/13,0,0,0,0,0,0,0,0.0,0.0
6,6,2013-00026,Flooding,2013/12/13,0,0,0,0,0,0,0,0.0,0.0
7,7,2013-00025,Flooding,2013/12/13,0,0,0,0,0,0,0,0.0,0.0
8,8,2013-00024,Flooding,2013/11/26,0,0,0,0,0,0,0,0.0,0.0
9,9,2013-00023,Fog,2013/10/22,0,0,0,0,0,0,0,0.0,0.0
10,10,2013-00022,Epidemic,2013/8/18,0,0,0,0,0,0,0,0.0,0.0
11,11,2013-00021,Other,2013/6/11,0,246,0,0,0,0,0,0.0,0.0
12,12,2013-00020,Flooding,2013/11/26,0,0,0,0,0,0,0,0.0,0.0
13,13,2013-00019,Flooding,2013/11/10,0,0,0,0,0,0,0,0.0,0.0
14,14,2013-00018,Flooding,2013/9/10,0,0,0,0,0,0,0,0.0,0.0
15,15,2013-00017,Electrical storm,2013/8/30,0,7,0,0,0,0,0,0.0,0.0
16,16,2013-00016,Flooding,2013/7/16,0,0,0,0,0,0,0,0.0,0.0
17,17,2013-00015,Other,2013/6/5,0,0,0,0,0,0,0,0.0,0.0
18,18,2013-00014,Epidemic,2013/6/11,0,246,0,0,0,0,0,0.0,0.0
19,19,2013-00013,Epidemic,2013/6/11,0,0,0,0,0,0,0,0.0,0.0
20,20,2013-00012,Flooding,2013/5/25,0,0,0,0,0,0,0,0.0,0.0
21,21,2013-00011,Flooding,2013/5/25,0,0,0,0,0,0,0,0.0,0.0
22,22,2013-00010,Flooding,2013/5/25,0,0,0,0,0,0,0,0.0,0.0
23,23,2013-00009,Flooding,2013/5/25,0,0,0,0,0,0,0,0.0,0.0
24,24,2013-00008,Flooding,2013/4/27,0,0,0,0,0,0,0,0.0,0.0
25,25,2013-00007,Flooding,2013/4/27,0,0,0,0,0,0,0,0.0,0.0
26,26,2013-00006,Flooding,2013/4/27,0,0,0,0,0,0,0,0.0,0.0
27,27,2013-00005,Contamination,2013/2/10,3,250,0,0,0,0,0,0.0,0.0
28,28,2013-00004,Flooding,2013/3/11,0,0,0,0,100,0,0,0.0,0.0
29,29,2013-00003,Flooding,2013/3/12,0,0,0,0,0,0,0,0.0,0.0
30,30,2013-00002,Epidemic,2013/1/23,0,54,0,0,0,0,0,0.0,0.0
31,31,2013-00001,Flooding,2013/1/14,0,0,0,0,0,0,0,0.0,0.0
32,32,2012-00077,Flooding,2012/12/24,0,0,0,0,0,0,0,0.0,0.0
33,33,2012-00076,Gale,2012/12/24,0,0,0,3,3,0,0,0.0,0.0
34,34,2012-00075,Other,2012/9/20,0,0,0,0,0,0,0,0.0,0.0
35,35,2012-00074,Storm,2012/9/17,0,0,0,0,0,0,0,0.0,0.0
36,36,2012-00073,Flooding,2012/6/5,0,0,0,0,0,0,0,0.0,0.0
37,37,2012-00072,Gale,2012/6/5,0,0,0,12,0,0,0,0.0,0.0
38,38,2012-00071,Flooding,2012/6/9,1,0,0,0,0,0,0,0.0,0.0
39,39,2012-00069,Flooding,2012/5/5,0,0,0,0,0,0,0,0.0,0.0
40,40,2012-00068,Flooding,2012/5/8,0,0,0,0,0,0,0,0.0,0.0
41,41,2012-00067,Flooding,2012/5/8,0,0,0,0,0,0,0,0.0,0.0
42,42,2012-00066,Flooding,2012/5/5,0,0,0,0,0,0,0,0.0,0.0
43,43,2012-00065,Flooding,2012/5/5,0,0,0,0,0,0,0,0.0,0.0
44,44,2012-00064,Flooding,2012/5/5,0,0,0,0,0,0,0,0.0,0.0
45,45,2012-00063,Flooding,2012/5/5,0,0,0,0,0,0,0,0.0,0.0
46,46,2012-00062,Flooding,2012/2/28,0,0,0,0,0,0,0,0.0,0.0
47,47,2012-00061,Flooding,2012/2/28,0,0,0,0,0,0,0,0.0,0.0
48,48,2012-00060,Flooding,2012/2/28,0,0,0,0,0,0,0,0.0,0.0
49,49,2012-00059,Flooding,2012/2/28,0,0,0,0,0,0,0,0.0,0.0
50,50,2012-00058,Flooding,2012/4/7,0,0,0,0,0,0,0,0.0,0.0
51,51,2012-00057,Flooding,2012/4/6,0,0,0,0,0,0,0,0.0,0.0
52,52,2012-00056,Flooding,2012/2/28,0,0,0,0,0,0,0,0.0,0.0
53,53,2012-00055,Flooding,2012/2/28,0,0,0,0,0,0,0,0.0,0.0
54,54,2012-00054,Flooding,2012/2/28,0,0,0,0,0,0,0,0.0,0.0
