,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,18478,Rain,2004/12/13,0,0,0,0,0,0,0,0,0.0
1,1,18477,Rain,2004/2/4,0,0,0,0,0,0,0,0,0.0
2,2,18476,Rain,2004/1/14,0,0,0,0,0,0,0,0,0.0
3,3,18475,Rain,2004/1/9,0,0,0,0,0,0,0,0,0.0
4,4,18474,Rain,2004/1/8,0,0,0,0,0,0,0,0,0.0
5,5,18473,Rain,2003/12/6,0,0,0,0,0,0,0,0,0.0
6,6,18472,Rain,2003/8/11,0,0,0,0,0,0,0,0,0.0
7,7,18471,Rain,2003/8/6,0,3,0,0,0,0,0,0,0.0
8,8,18470,Rain,2003/8/2,3,0,0,0,0,0,0,0,0.0
9,9,18469,Rain,2003/7/29,0,0,0,0,0,0,0,0,0.0
10,10,18468,Rain,2002/2/3,9,0,0,0,0,0,0,0,0.0
11,11,18467,Rain,2002/2/2,0,0,0,0,0,0,0,0,0.0
12,12,18466,Rain,2002/1/12,1,0,0,0,0,0,0,0,0.0
13,13,18465,Rain,2002/1/12,0,0,0,0,0,0,0,0,0.0
14,14,18464,Rain,2002/1/11,0,0,0,0,0,0,0,0,0.0
15,15,18463,Rain,2002/1/11,4,0,0,0,0,0,0,0,0.0
16,16,18462,Rain,2002/1/11,1,0,0,0,0,0,0,0,0.0
17,17,18461,Rain,2002/1/11,0,0,0,0,0,0,0,0,0.0
18,18,18460,Rain,2002/1/11,0,0,0,0,0,0,0,0,0.0
19,19,18459,Rain,2001/12/20,0,0,0,0,0,0,0,0,0.0
20,20,18458,Rain,2001/12/16,0,0,0,0,0,0,0,0,0.0
21,21,18457,Rain,2000/12/11,0,0,0,0,0,0,0,0,0.0
22,22,18456,Rain,2000/8/14,0,0,0,0,0,0,0,0,0.0
23,23,18455,Rain,2000/8/7,0,0,0,0,0,0,0,0,0.0
24,24,18454,Rain,1999/3/16,0,0,0,0,0,0,0,0,0.0
25,25,18453,Rain,1999/3/8,0,0,0,0,0,0,0,0,0.0
26,26,18452,Rain,1999/3/7,0,0,0,0,0,0,0,0,0.0
27,27,18451,Rain,1999/3/2,0,0,0,0,0,0,0,0,0.0
28,28,18450,Rain,1999/3/2,0,0,0,0,0,0,0,0,0.0
29,29,18449,Rain,1999/3/2,0,0,0,0,0,0,0,0,0.0
30,30,18448,Rain,1999/3/2,0,0,0,0,0,0,0,0,0.0
31,31,18447,Rain,1999/3/2,0,0,0,0,0,0,0,0,0.0
32,32,18446,Rain,1999/3/2,0,0,0,0,0,0,0,0,0.0
33,33,18445,Rain,1999/3/1,0,0,0,0,0,0,0,0,0.0
34,34,18444,Rain,1999/3/1,0,0,0,0,0,0,0,0,0.0
35,35,18443,Rain,1999/2/6,0,0,0,0,0,0,0,0,0.0
36,36,18442,Rain,1999/2/6,0,0,0,0,0,0,0,0,0.0
37,37,18441,Rain,1999/2/6,0,0,0,0,0,0,0,0,0.0
38,38,18440,Rain,1999/2/6,0,0,0,0,0,0,0,0,0.0
39,39,18439,Rain,1999/1/18,0,0,0,0,0,0,0,0,0.0
40,40,18438,Rain,1998/7/9,0,0,0,0,0,0,0,0,0.0
41,41,18437,Rain,1998/6/28,0,0,0,0,0,0,0,0,0.0
42,42,18436,Rain,1998/6/19,0,0,0,0,0,0,0,0,0.0
