,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,2014-00014,Inundation,2014/12/15,0,0,0,0,0,0,0,0.0,0.0
1,2014-00012,Inundation,2014/12/15,0,0,0,0,0,0,0,0.0,0.0
2,2014-00011,Inundation,2014/12/15,0,0,0,0,0,0,0,0.0,0.0
3,2014-00010,Inundation,2014/12/15,0,0,0,0,0,0,0,0.0,0.0
4,2014-00009,Landslide,2014/12/15,0,0,0,0,0,0,0,0.0,0.0
5,2014-00008,Inundation,2014/12/15,0,0,0,0,0,0,0,0.0,0.0
6,2014-00007,Inundation,2014/12/15,0,0,0,0,0,0,0,0.0,0.0
7,2014-00006,Landslide,2014/12/15,0,0,0,0,0,0,0,0.0,0.0
8,2014-00005,Landslide,2014/12/15,0,0,0,0,0,0,0,0.0,0.0
9,2014-00004,Inundation,2014/12/15,0,0,0,0,0,0,0,0.0,0.0
10,2014-00003,Landslide,2014/12/15,0,0,0,0,0,0,0,0.0,0.0
11,2014-00002,Landslide,2014/12/15,0,0,0,0,0,0,0,0.0,0.0
12,2014-00001,Inundation,2014/12/15,0,0,0,0,0,0,0,0.0,0.0
13,2012-00015,Hurricane,2012/10/24,0,0,0,21,0,25,0,0.0,9330000.0
14,2012-00014,Hurricane,2012/10/24,0,0,0,12,3846,0,35,414677.7,37321000.0
15,2012-00013,Hurricane,2012/10/24,0,0,0,0,0,0,4,479557.426,43160168.34
16,2012-00012,Hurricane,2012/10/24,0,0,0,0,0,0,0,142111.1,12790000.0
17,2012-00011,Hurricane,2012/10/24,0,0,0,0,0,0,38,50277.7,4525000.0
18,2012-00010,Hurricane,2012/10/24,0,0,0,806,2227,0,44,163555.5,14720000.0
19,2012-00009,Hurricane,2012/10/24,0,0,0,1855,3855,0,41,1717777.7,154600000.0
20,2012-00008,Hurricane,2012/10/24,0,0,0,1,65147,0,257,832111.1,74890000.0
21,2012-00007,Hurricane,2012/10/24,0,0,0,2204,339158,0,402,1670111.11,150310000.0
22,2012-00006,Hurricane,2012/10/24,0,0,0,66,34591,0,326,1218311.1,109648000.0
23,2012-00005,Hurricane,2012/10/24,1,0,0,1998,135558,0,544,1735222.2,156170000.0
