,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,762,Fire,2020/10/15,0,0,0,0,0,0,0,0,0
1,1,761,Accident,2020/9/30,0,16,0,0,0,0,0,0,0
2,2,759,Fire,2019/9/4,0,1,0,0,0,0,0,0,0
3,3,758,Accident,2019/9/9,0,6,0,0,0,0,0,0,20000
4,4,755,Accident,2019/8/28,0,27,0,0,0,0,0,0,6000
5,5,754,Accident,2019/8/9,0,11,0,0,0,0,0,0,0
6,6,753,Accident,2019/8/8,0,10,0,0,0,0,0,0,5000
7,7,752,Fire,2019/7/29,0,0,0,0,0,0,0,0,1000
8,8,751,Fire,2019/7/12,0,0,0,0,0,0,0,0,0
9,9,749,Flood,2019/7/9,0,0,0,0,0,0,0,0,0
10,10,747,Fire,2019/7/6,0,0,0,0,0,0,0,0,0
11,11,745,Fire,2019/6/21,0,0,0,0,0,0,0,0,0
12,12,744,Accident,2019/5/8,5,0,0,0,0,0,0,0,0
13,13,743,Fire,2019/5/6,0,0,0,0,0,0,0,0,0
14,14,742,Fire,2019/5/5,0,0,0,0,0,0,0,0,0
15,15,740,Accident,2019/4/23,0,16,0,0,0,0,0,0,0
16,16,739,Flood,2019/4/12,0,9,0,0,0,0,0,0,0
17,17,738,Accident,2019/4/4,0,8,0,0,0,0,0,0,5000
18,18,736,Fire,2019/3/21,0,5,0,0,0,0,0,0,0
19,19,735,Accident,2019/3/7,0,11,0,0,0,0,0,0,5000
20,20,732,Fire,2019/2/26,0,19,0,0,0,0,0,0,0
21,21,731,Accident,2019/2/21,0,7,0,0,0,0,0,0,0
22,22,728,Landslide,2019/2/9,0,10,0,0,0,0,0,0,0
23,23,726,Accident,2019/2/9,0,10,0,0,0,0,0,0,5000
24,24,724,Accident,2019/2/1,0,7,0,0,0,0,0,0,2500
25,25,719,Fire,2019/1/13,0,14,0,0,0,0,0,0,0
26,26,717,Accident,2019/1/4,0,7,0,0,0,0,0,4500,3000
27,27,715,Fire,2019/1/6,3,0,0,0,0,0,2,0,0
28,28,706,Accident,2018/10/18,0,59,0,0,0,0,0,0,0
29,29,705,Accident,2018/8/11,4,29,0,0,0,0,0,0,0
30,30,704,Fire,2018/8/5,0,8,0,0,0,0,0,0,0
31,31,703,Fire,2018/8/5,0,0,0,0,0,0,0,0,0
32,32,702,Accident,2018/7/31,6,1,0,0,0,0,0,0,0
33,33,701,Accident,2018/7/30,6,2,0,0,0,0,0,0,0
34,34,699,Accident,2018/7/11,0,17,0,0,0,0,0,0,0
35,35,698,Accident,2018/7/4,5,8,0,0,0,0,0,0,0
36,36,697,Accident,2018/6/28,3,2,0,0,0,0,0,0,0
37,37,696,Fire,2018/7/4,1,5,0,0,0,0,0,0,0
38,38,694,Accident,2018/4/13,1,38,0,0,0,0,0,0,0
39,39,693,Accident,2018/7/1,1,44,0,0,0,0,0,0,0
40,40,690,Flash Flood,2018/11/9,12,23,0,0,0,0,81,0,0
41,41,685,Flood,2018/4/25,0,55,0,0,0,0,0,0,0
42,42,684,Accident,2018/4/11,1,35,0,0,0,0,35,0,1000
43,43,683,Accident,2018/3/9,2,1,0,0,0,0,0,0,2000
44,44,681,Flood,2018/2/17,0,35,0,0,35,0,35,0,5000
45,45,680,Accident,2018/2/9,0,54,0,0,0,0,0,0,0
46,46,679,Accident,2018/2/1,1,8,0,0,0,0,0,0,1000
47,47,678,Fire,2018/1/30,3,0,0,0,0,0,0,0,1500
48,48,679,Accident,2018/1/27,0,10,0,0,0,0,0,0,3000
49,49,675,Accident,2018/1/25,0,23,0,0,0,0,0,0,0
50,50,674,Accident,2018/1/16,0,15,0,0,0,0,0,0,8000
51,51,669,Flood,2018/10/25,21,33,0,0,0,0,0,0,0
52,52,668,Flash Flood,2011/4/4,0,0,0,0,0,0,0,0,0
53,53,667,Flash Flood,2010/10/26,0,0,0,0,0,0,0,0,0
54,54,666,Flash Flood,2010/1/20,0,0,0,0,0,0,0,0,0
55,55,665,Flash Flood,2009/11/29,0,0,0,0,0,0,0,0,0
56,56,664,Flash Flood,2005/12/15,0,0,0,0,0,0,0,0,0
57,57,663,Flash Flood,2004/3/15,0,0,0,0,0,0,0,0,0
58,58,662,Flash Flood,2001/4/0,3,0,0,0,0,0,0,0,0
59,59,661,Flash Flood,1996/11/0,1,0,0,0,0,0,0,0,0
60,60,64,سيولة,1991/3/23,0,0,0,0,0,0,9,0,0
61,61,660,Earthquake,2011/1/1,0,0,0,0,0,0,0,0,0
62,62,659,Earthquake,2002/11/19,0,0,0,0,0,0,0,0,0
63,63,658,Earthquake,2001/12/25,0,0,0,0,0,0,0,0,0
64,64,657,Earthquake,2000/11/3,0,0,0,0,0,0,0,0,0
65,65,656,Earthquake,2000/10/8,0,0,0,0,0,0,0,0,0
66,66,655,Earthquake,2000/4/6,0,0,0,0,0,0,0,0,0
67,67,654,Earthquake,1999/10/28,0,0,0,0,0,0,0,0,0
68,68,653,Earthquake,1999/10/5,0,0,0,0,0,0,0,0,0
69,69,652,Earthquake,1999/6/13,0,0,0,0,0,0,0,0,0
70,70,651,Earthquake,1992/9/25,0,0,0,0,0,0,0,0,0
71,71,650,Earthquake,1991/10/18,0,0,0,0,0,0,0,0,0
72,72,649,Earthquake,1990/9/13,0,0,0,0,0,0,0,0,0
73,73,648,Earthquake,1990/3/15,0,0,0,0,0,0,0,0,0
74,74,647,Earthquake,1989/3/31,0,0,0,0,0,0,0,0,0
75,75,646,Earthquake,1987/10/18,0,0,0,0,0,0,0,0,0
76,76,645,Earthquake,1985/12/31,0,0,0,0,0,0,0,0,0
77,77,644,Earthquake,1985/1/25,0,0,0,0,0,0,0,0,0
78,78,643,Earthquake,1984/8/24,0,0,0,0,0,0,0,0,0
79,79,642,Earthquake,1983/1/31,0,0,0,0,0,0,0,0,0
80,80,641,Earthquake,1982/5/25,0,0,0,0,0,0,0,0,0
81,81,640,Earthquake,1982/5/23,0,0,0,0,0,0,0,0,0
82,82,639,Earthquake,1982/3/23,0,0,0,0,0,0,0,0,0
83,83,638,Frost,2011/12/27,0,0,0,0,0,0,0,0,0
84,84,637,Flood,2011/12/11,0,0,0,0,0,0,0,0,0
85,85,636,Frost,2011/11/22,0,0,0,0,0,0,0,0,0
86,86,635,Frost,2011/11/17,0,0,0,0,0,0,0,0,0
87,87,634,Frost,2011/11/18,0,0,0,0,0,0,0,0,0
88,88,633,Frost,2011/4/15,0,0,0,0,0,0,0,0,0
89,89,632,Frost,2011/3/26,0,0,0,0,0,0,0,0,0
90,90,631,Frost,2011/3/10,0,0,0,0,0,0,0,0,0
91,91,630,Frost,2011/3/1,0,0,0,0,0,0,0,0,0
92,92,629,Frost,2011/2/28,0,0,0,0,0,0,0,0,0
93,93,628,Frost,2011/12/12,0,0,0,0,0,0,0,0,0
94,94,627,Frost,2011/2/2,0,0,0,0,0,0,0,0,0
95,95,626,Frost,2011/1/20,0,0,0,0,0,0,0,0,0
96,96,625,Frost,2011/1/10,0,0,0,0,0,0,0,0,0
97,97,624,Frost,2011/1/5,0,0,0,0,0,0,0,0,0
98,98,623,Frost,2011/1/2,0,0,0,0,0,0,0,0,0
99,99,622,Frost,2010/12/18,0,0,0,0,0,0,0,0,0
100,100,621,Frost,2010/12/13,0,0,0,0,0,0,0,0,0
101,101,620,Frost,2010/12/9,0,0,0,0,0,0,0,0,0
102,102,619,Frost,2010/12/7,0,0,0,0,0,0,0,0,0
103,103,618,Frost,2010/12/5,0,0,0,0,0,0,0,0,0
104,104,617,Frost,2010/11/22,0,0,0,0,0,0,0,0,0
105,105,616,Frost,2010/4/24,0,0,0,0,0,0,0,0,0
106,106,615,Frost,2010/4/14,0,0,0,0,0,0,0,0,0
107,107,614,Frost,2010/4/1,0,0,0,0,0,0,0,0,0
108,108,613,Frost,2010/2/24,0,0,0,0,0,0,0,0,0
109,109,612,Frost,2010/2/4,0,0,0,0,0,0,0,0,0
110,110,611,Frost,2010/1/27,0,0,0,0,0,0,0,0,0
111,111,610,Frost,2010/1/24,0,0,0,0,0,0,0,0,0
112,112,609,Frost,2010/1/22,0,0,0,0,0,0,0,0,0
113,113,608,Frost,2010/1/16,0,0,0,0,0,0,0,0,0
114,114,607,Frost,2010/1/14,0,0,0,0,0,0,0,0,0
115,115,606,Frost,2010/1/5,0,0,0,0,0,0,0,0,0
116,116,605,Frost,2010/1/2,0,0,0,0,0,0,0,0,0
117,117,604,Frost,2011/12/27,0,0,0,0,0,0,0,0,0
118,118,603,Frost,2011/12/16,0,0,0,0,0,0,0,0,0
119,119,602,Frost,2011/12/11,0,0,0,0,0,0,0,0,0
120,120,601,Frost,2011/12/1,0,0,0,0,0,0,0,0,0
121,121,600,Frost,2011/3/14,0,0,0,0,0,0,0,0,0
122,122,599,Frost,2011/2/3,0,0,0,0,0,0,0,0,0
123,123,598,Frost,2011/1/19,0,0,0,0,0,0,0,0,0
124,124,597,Frost,2010/12/25,0,0,0,0,0,0,0,0,0
125,125,596,Frost,2010/12/15,0,0,0,0,0,0,0,0,0
126,126,595,Frost,2010/2/6,0,0,0,0,0,0,0,0,0
127,127,594,Frost,2010/2/4,0,0,0,0,0,0,0,0,0
128,128,593,Frost,2010/1/27,0,0,0,0,0,0,0,0,0
129,129,592,Frost,2010/2/2,0,0,0,0,0,0,0,0,0
130,130,591,Frost,2010/2/24,0,0,0,0,0,0,0,0,0
131,131,590,Frost,2010/1/27,0,0,0,0,0,0,0,0,0
132,132,589,Frost,2011/12/29,0,0,0,0,0,0,0,0,0
133,133,588,Frost,2011/12/16,0,0,0,0,0,0,0,0,0
134,134,587,Frost,2011/11/26,0,0,0,0,0,0,0,0,0
135,135,586,Frost,2011/3/14,0,0,0,0,0,0,0,0,0
136,136,585,Frost,2011/3/2,0,0,0,0,0,0,0,0,0
137,137,584,Frost,2011/1/26,0,0,0,0,0,0,0,0,0
138,138,583,Frost,2011/1/21,0,0,0,0,0,0,0,0,0
139,139,582,Frost,2010/10/21,0,0,0,0,0,0,0,0,0
140,140,581,Frost,2010/12/25,0,0,0,0,0,0,0,0,0
141,141,580,Frost,2010/12/19,0,0,0,0,0,0,0,0,0
