,Serial,Event,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,31067,ROAD ACCIDENT,2022/11/21,2,1,0,0,0,0,0,0,0
1,31066,ROAD ACCIDENT,2022/11/21,1,2,0,0,0,0,0,0,0
2,31065,DROWNING,2022/11/21,1,0,0,0,0,0,0,0,0
3,31064,ROAD ACCIDENT,2022/11/20,2,0,0,0,0,0,0,0,0
4,31063,DROWNING,2022/11/20,1,0,0,0,0,0,0,0,0
5,31062,WINDSTORM,2022/11/11,1,0,0,0,0,0,0,0,0
6,31061,ROAD ACCIDENT,2022/12/20,1,0,0,0,0,0,0,0,0
7,31060,FIRE,2022/11/17,0,1,0,0,0,0,0,0,0
8,31049,WINDSTORM,2022/11/17,0,0,0,0,0,0,0,0,0
9,31048,WINDSTORM,2022/11/16,0,1,0,0,0,0,0,0,0
10,31047,WINDSTORM,2022/11/16,1,0,0,0,0,0,0,0,0
11,31045,ROAD ACCIDENT,2022/11/14,1,0,0,0,0,0,0,0,0
12,31044,FIRE,2022/11/14,0,0,0,0,0,0,0,0,0
13,31043,ROAD ACCIDENT,2022/11/15,2,0,0,0,0,0,0,0,0
14,31042,ROAD ACCIDENT,2022/11/15,0,1,0,0,0,0,0,0,0
15,31041,DROWNING,2022/11/15,1,0,0,0,0,0,0,0,0
16,31040,DROWNING,2022/11/15,1,0,0,0,0,0,0,0,0
17,31039,ROAD ACCIDENT,2022/11/15,0,1,0,0,0,0,0,0,0
18,31038,STRUCTURAL COLLAPSE,2022/11/15,0,0,0,0,0,0,0,0,0
19,31037,FIRE,2022/11/13,1,0,0,0,0,0,0,0,0
20,31036,FIRE,2022/11/13,0,0,0,0,0,0,0,0,0
21,31035,FIRE,2022/11/12,0,0,0,0,0,0,0,0,0
22,31034,FIRE,2022/11/12,0,0,0,0,0,0,0,0,0
23,31033,WINDSTORM,2022/11/11,1,0,0,0,0,0,0,0,0
24,31032,FIRE,2022/11/11,0,0,0,0,0,0,0,0,0
25,31031,FIRE,2022/11/11,0,0,0,0,0,0,0,0,0
26,31030,FIRE,2022/11/10,0,0,0,0,0,0,0,0,0
27,31029,FIRE,2022/11/10,0,0,0,0,0,0,0,0,0
28,31028,DROWNING,2022/11/9,1,0,0,0,0,0,0,0,0
29,31027,FIRE,2022/11/8,2,0,0,0,0,0,0,0,0
30,31026,DROWNING,2022/11/9,1,0,0,0,0,0,0,0,0
31,31025,ROAD ACCIDENT,2022/11/8,0,3,0,0,0,0,0,0,0
32,31024,FIRE,2022/11/8,3,0,0,0,0,0,0,0,0
33,31023,DROWNING,2022/11/8,1,0,0,0,0,0,0,0,0
34,31022,DROWNING,2022/11/8,1,0,0,0,0,0,0,0,0
35,31021,FIRE,2022/11/8,0,0,0,0,0,0,0,0,0
36,31020,DROWNING,2022/11/8,2,0,0,0,0,0,0,0,0
37,31018,ROAD ACCIDENT,2022/11/8,1,2,0,0,0,0,0,0,0
38,31017,DROWNING,2022/11/8,1,0,0,0,0,0,0,0,0
39,31016,ROAD ACCIDENT,2022/11/7,0,2,0,0,0,0,0,0,0
40,31015,DROWNING,2022/11/6,1,0,0,0,0,0,0,0,0
41,31014,ROAD ACCIDENT,2022/11/6,2,2,0,0,0,0,0,0,0
42,31013,ROAD ACCIDENT,2022/11/6,3,0,0,0,0,0,0,0,0
43,31012,ROAD ACCIDENT,2022/11/6,1,0,0,0,0,0,0,0,0
44,31011,DROWNING,2022/11/6,1,0,0,0,0,0,0,0,0
45,31010,ROAD ACCIDENT,2022/11/6,1,0,0,0,0,0,0,0,0
46,31009,ROAD ACCIDENT,2022/11/6,1,0,0,0,0,0,0,0,0
47,31008,ROAD ACCIDENT,2022/11/6,1,1,0,0,0,0,0,0,0
48,31007,ROAD ACCIDENT,2022/11/5,1,2,0,0,0,0,0,0,0
49,31006,ROAD ACCIDENT,2022/11/5,1,2,0,0,0,0,0,0,0
50,31005,ROAD ACCIDENT,2022/11/5,1,0,0,0,0,0,0,0,0
51,31004,ROAD ACCIDENT,2022/11/5,1,0,0,0,0,0,0,0,0
52,31003,DROWNING,2022/11/5,1,0,0,0,0,0,0,0,0
53,31002,ROAD ACCIDENT,2022/11/5,1,0,0,0,0,0,0,0,0
54,31001,DROWNING,2022/11/5,1,0,0,0,0,0,0,0,0
55,31000,FIRE,2022/11/6,1,0,0,0,0,0,0,0,0
56,30999,ROAD ACCIDENT,2022/11/5,1,0,0,0,0,0,0,0,0
57,30998,DROWNING,2022/11/5,1,0,0,0,0,0,0,0,0
58,30997,ROAD ACCIDENT,2022/11/5,1,0,0,0,0,0,0,0,0
59,30996,ROAD ACCIDENT,2022/11/6,1,0,0,0,0,0,0,0,0
60,30995,FIRE,2022/11/6,1,0,0,0,0,0,0,0,0
61,30994,ROAD ACCIDENT,2022/11/5,1,0,0,0,0,0,0,0,0
62,30993,ROAD ACCIDENT,2022/11/4,1,6,0,0,0,0,0,0,0
63,30992,DROWNING,2022/11/4,1,0,0,0,0,0,0,0,0
64,30991,DROWNING,2022/11/4,1,1,0,0,0,0,0,0,0
65,30990,DROWNING,2022/11/4,1,0,0,0,0,0,0,0,0
66,30989,ROAD ACCIDENT,2022/11/4,1,0,0,0,0,0,0,0,0
67,30988,DROWNING,2022/11/4,0,1,0,0,0,0,0,0,0
68,30987,FIRE,2022/11/6,1,0,0,0,0,0,0,0,0
69,30986,ROAD ACCIDENT,2022/11/5,1,0,0,0,0,0,0,0,0
70,30985,ROAD ACCIDENT,2022/11/5,1,0,0,0,0,0,0,0,0
71,30984,DROWNING,2022/11/5,1,0,0,0,0,0,0,0,0
72,30983,ELECTROCUTION,2022/11/5,2,0,0,0,0,0,0,0,0
73,30982,ROAD ACCIDENT,2022/11/5,1,0,0,0,0,0,0,0,0
74,30981,ROAD ACCIDENT,2022/11/5,1,0,0,0,0,0,0,0,0
75,30979,ROAD ACCIDENT,2022/11/5,1,0,0,0,0,0,0,0,0
76,30978,DROWNING,2022/11/5,1,0,0,0,0,0,0,0,0
77,30977,DROWNING,2022/11/4,1,0,0,0,0,0,0,0,0
