,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,St2018,ខ្យល់ព្យុះ,2018/5/1,0,2,0,0,0,0,0,0,0
1,St2019,ខ្យល់ព្យុះ,2018/4/5,0,0,0,0,0,0,0,0,0
2,St2018,ខ្យល់ព្យុះ,2018/4/25,0,0,0,0,0,0,0,0,0
3,St2018,ខ្យល់ព្យុះ,2018/3/20,0,0,0,0,0,0,0,0,0
4,St2018,ខ្យល់ព្យុះ,2018/3/20,0,0,0,0,0,0,0,0,0
5,St2018,ខ្យល់ព្យុះ,2018/3/20,0,0,0,0,0,0,0,0,0
6,St2018,ខ្យល់ព្យុះ,2018/9/1,0,5,0,0,0,0,0,0,0
7,St2019,ខ្យល់ព្យុះ,2019/3/1,0,0,0,0,0,0,0,0,0
8,St2018,ខ្យល់ព្យុះ,2018/6/25,0,2,0,0,0,0,0,0,0
9,St2018,រន្ទះបាញ់,2018/9/25,0,0,0,0,0,0,0,0,0
10,St2018,ខ្យល់ព្យុះ,2018/6/25,0,0,0,0,0,0,0,0,0
11,St2018,ខ្យល់ព្យុះ,2018/7/25,0,0,0,0,0,0,0,0,0
12,St2018,ខ្យល់ព្យុះ,2018/5/1,1,0,0,0,0,0,0,0,0
13,St2018,ខ្យល់ព្យុះ,2018/9/1,0,0,0,0,0,0,0,0,0
14,St2018,ខ្យល់ព្យុះ,2018/7/25,0,0,0,0,0,0,0,0,0
15,St2018,ខ្យល់ព្យុះ,2018/9/25,0,3,0,0,0,0,0,0,0
16,St2018,ខ្យល់ព្យុះ,2018/5/25,1,4,0,0,0,0,0,0,0
17,St2018,ខ្យល់ព្យុះ,2018/6/1,0,2,0,0,0,0,0,0,0
18,St2018,ខ្យល់ព្យុះ,2018/8/25,0,2,0,0,0,0,0,0,0
19,St2018,ខ្យល់ព្យុះ,2018/9/1,0,0,0,0,0,0,0,0,0
20,St2018,ខ្យល់ព្យុះ,2018/8/25,0,0,0,0,0,0,0,0,0
21,Li2018,រន្ទះបាញ់,2018/6/1,2,2,0,0,0,0,0,0,0
22,St2018,ខ្យល់ព្យុះ,2018/6/1,0,1,0,0,0,0,0,0,0
23,Li2018,រន្ទះបាញ់,2018/9/24,6,7,0,0,0,0,0,0,0
24,St2018,ខ្យល់ព្យុះ,2018/4/1,0,0,0,0,0,0,0,0,0
25,St2018,ខ្យល់ព្យុះ,2018/6/25,0,0,0,0,0,0,0,0,0
26,St2018,ខ្យល់ព្យុះ,2018/5/25,0,7,0,0,0,0,0,0,0
27,Li2018,រន្ទះបាញ់,2018/6/1,4,2,0,0,0,0,0,0,0
28,Li2018,រន្ទះបាញ់,2018/4/1,14,6,0,0,0,0,0,0,0
29,Fi2018,រន្ទះបាញ់,2018/5/1,8,2,0,0,0,0,0,0,0
30,Li2018,រន្ទះបាញ់,2018/5/24,0,0,0,0,0,0,0,0,0
31,Fi2018,អគ្គីភ័យ,2018/5/1,0,0,0,0,0,0,0,0,0
32,Li2018,រន្ទះបាញ់,2018/6/1,10,11,0,0,0,0,0,0,0
33,Li2018,រន្ទះបាញ់,2018/9/24,0,0,0,0,0,0,0,0,0
34,Li2018,រន្ទះបាញ់,2018/8/1,8,8,0,0,0,0,0,0,0
35,Li2018,រន្ទះបាញ់,2018/7/1,1,1,0,0,0,0,0,0,0
36,Li2018,រន្ទះបាញ់,2018/9/24,0,0,0,0,0,0,0,0,0
37,Li2018,រន្ទះបាញ់,2018/7/1,9,6,0,0,0,0,0,0,0
38,Li2018,រន្ទះបាញ់,2018/5/1,7,3,0,0,0,0,0,0,0
39,Li2018,រន្ទះបាញ់,2018/4/1,1,0,0,0,0,0,0,0,0
40,Li2018,រន្ទះបាញ់,2015/4/1,0,0,0,0,0,0,0,0,0
41,Li2018,រន្ទះបាញ់,2018/5/1,3,0,0,0,0,0,0,0,0
42,Fi2018,អគ្គីភ័យ,2018/4/1,0,0,0,0,0,0,0,0,0
43,Li2018,រន្ទះបាញ់,2018/5/1,8,8,0,0,0,0,0,0,0
44,Li2018,រន្ទះបាញ់,2018/6/1,11,3,0,0,0,0,0,0,0
45,Fi2018,អគ្គីភ័យ,2018/4/1,1,0,0,0,0,0,0,0,0
46,Fi2018,អគ្គីភ័យ,2018/2/1,1,1,0,0,0,0,0,0,0
47,Li2018,រន្ទះបាញ់,2018/5/1,3,6,0,0,0,0,0,0,0
48,Li2019,រន្ទះបាញ់,2019/7/1,0,0,0,0,0,0,0,0,0
49,Fi2018,អគ្គីភ័យ,2018/4/1,0,0,0,0,0,0,0,0,0
