,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,2302,Forest Fire,2010/0/0,0,0,0,0,0,0,0,0.0,529930000.0
1,1,2300,Flood,2010/4/17,0,0,0,0,38,0,0,0.0,12270000.0
2,2,2299,Fire,2010/7/7,0,0,0,0,7,0,0,0.0,30000000.0
3,3,2298,Rain,2010/8/4,0,0,0,0,11,0,0,0.0,4700000.0
4,4,2297,Fire,2010/3/26,0,0,0,0,4,0,0,0.0,8227000.0
5,5,2295,Fire,2010/2/16,0,0,0,0,14,0,0,0.0,37000000.0
6,6,2296,Fire,2010/2/1,0,0,0,0,11,0,0,0.0,24216000.0
7,7,2295,Flood,2010/2/16,0,0,0,0,14,0,0,0.0,37000000.0
8,8,2294,ພະຍູ,2010/5/8,0,0,0,0,36,0,0,0.0,14329000.0
9,9,2293,Flood,2011/11/20,0,0,0,0,4,0,0,0.0,5250000.0
10,10,2292,Fire,2010/3/20,0,0,0,0,8,0,0,0.0,7520000.0
11,11,2291,Fire,2010/3/25,0,0,0,0,6,0,0,0.0,10200000.0
12,12,2289,ພະຍູ,2011/4/11,0,0,0,0,15,0,0,0.0,26650000.0
13,13,2290,Fire,2011/4/15,0,0,0,0,8,0,0,0.0,7500000.0
14,14,2289,ພະຍູ,2011/4/11,0,0,0,0,15,0,0,0.0,26650000.0
15,15,2288,Fire,2011/5/12,0,0,0,0,5,0,0,0.0,16500000.0
16,16,2286,Fire,2011/7/6,0,0,0,0,3,0,0,0.0,3300600.0
17,17,2286,Fire,2011/7/6,0,0,0,0,3,0,0,0.0,3300600.0
18,18,2285,Fire,2011/3/28,0,0,0,0,23,0,0,0.0,12014000.0
19,19,2284,Fire,2011/3/6,0,0,0,0,8,0,0,0.0,3750000.0
20,20,2283,Fire,2011/3/24,0,0,0,0,4,0,0,0.0,7087000.0
21,21,2281,Fire,2011/3/23,0,0,0,0,23,0,0,0.0,29550000.0
22,22,2281,Flood,2011/3/23,0,0,0,0,23,0,0,0.0,29550000.0
23,23,2279,Fire,2011/5/31,0,0,0,0,7,0,0,0.0,105588400.0
24,24,2278,Fire,2011/5/28,0,0,0,0,11,0,0,0.0,10233000.0
25,25,2278,Fire,2011/5/28,0,0,0,0,7,0,0,0.0,10233000.0
26,26,2277,Fire,2011/5/11,0,0,0,0,16,0,0,0.0,76256000.0
27,27,2275,Fire,2011/7/23,0,0,0,0,6,0,0,0.0,2755000.0
28,28,2276,Fire,2012/9/1,0,0,0,0,6,0,0,0.0,459099000.0
29,29,2275,Fire,2011/7/23,0,0,0,0,6,0,0,0.0,2755000.0
30,30,2274,Fire,2011/5/15,0,0,0,0,8,0,0,0.0,19500000.0
31,31,2273,Forest Flood,2011/8/8,0,0,0,0,92,0,0,0.0,125084000.0
32,32,2272,Fire,2011/8/30,0,0,0,0,4,0,0,0.0,7161000.0
33,33,2272,Fire,2011/8/30,0,0,0,0,4,0,0,0.0,750000.0
34,34,2271,Fire,2011/11/22,0,0,0,0,23,0,0,0.0,79565000.0
35,35,2270,Flood,2011/4/16,0,0,0,0,5,0,0,0.0,15000000.0
36,36,2269,Fire,2011/4/13,0,0,0,0,9,0,0,0.0,23100000.0
37,37,2267,ພະຍູ,2011/4/22,0,0,0,0,0,0,0,0.0,55353981.0
38,38,2267,Flood,2011/4/22,0,0,0,0,0,0,0,0.0,55353981.0
39,39,2266,Flood,2011/4/15,0,0,0,0,7,0,0,0.0,14630000.0
40,40,2265,Fire,2011/4/24,0,0,0,0,9,0,0,0.0,3402000.0
41,41,2264,Flood,2011/2/25,0,0,0,0,16,0,0,0.0,10335000.0
42,42,2261,Fire,2011/3/26,0,0,0,0,9,0,0,0.0,1200000.0
43,43,2261,Flood,2011/3/26,0,0,0,0,9,0,0,0.0,1200000.0
44,44,2260,Fire,2011/4/1,0,0,0,0,27,0,0,0.0,23500000.0
45,45,2259,Fire,2011/4/2,0,0,0,0,8,0,0,0.0,9764000.0
46,46,2258,Fire,2011/2/28,0,0,0,0,8,0,0,0.0,18250000.0
47,47,2256,Fire,2012/9/1,0,0,0,0,8,0,0,0.0,87760000.0
48,48,2255,Flood,2011/3/23,0,0,0,0,12,0,0,0.0,25000000.0
49,49,2254,Fire,2011/3/8,0,0,0,0,7,0,0,0.0,13530000.0
50,50,2252,Flood,2011/4/15,0,0,0,0,9,0,0,0.0,16604000.0
51,51,2251,Fire,2011/3/7,0,0,0,0,5,0,0,0.0,3500000.0
52,52,2250,Fire,2011/10/15,0,0,0,0,7,0,0,0.0,13020000.0
53,53,2249,Fire,2011/5/10,0,0,0,0,5,0,0,0.0,1500000.0
54,54,2248,Fire,2011/5/3,0,0,0,0,0,0,0,0.0,18700000.0
55,55,2247,Flood,2011/3/12,0,0,0,0,7,0,0,0.0,38700000.0
56,56,2246,Flood,2011/4/25,0,0,0,0,8,0,0,0.0,14300000.0
57,57,2245,Flood,2011/4/5,0,0,0,0,5,0,0,0.0,16500000.0
58,58,2244,Fire,2011/3/29,0,0,0,0,10,0,0,0.0,8500000.0
59,59,2243,Fire,2011/2/6,0,0,0,0,4,0,0,0.0,7390000.0
60,60,2242,Fire,2011/4/21,0,0,0,0,5,0,0,0.0,2640000.0
61,61,2241,ພະຍູ,2011/3/9,0,0,0,0,6,0,0,0.0,25780000.0
62,62,2240,Fire,2011/5/14,0,0,0,0,7,0,0,0.0,7930000.0
63,63,2239,Fire,2011/2/15,0,0,0,0,5,0,0,0.0,2940000.0
64,64,2238,ພະຍູ,2011/4/16,0,0,0,0,6,0,0,0.0,56970000.0
65,65,2237,ພະຍູ,2011/4/16,0,0,0,0,3,0,0,0.0,4405000.0
66,66,2236,ພະຍູ,2011/4/16,0,0,0,0,10,0,0,0.0,8975000.0
67,67,2235,ພະຍູ,2011/5/5,0,0,0,0,429,0,0,0.0,7430000.0
68,68,2234,Flood,2011/5/4,0,0,0,0,5,0,0,0.0,38090000.0
69,69,2233,Fire,2011/3/10,0,0,0,0,6,0,0,0.0,20400000.0
70,70,2233,Fire,2011/3/10,0,0,0,0,6,0,0,0.0,20400000.0
71,71,2232,Fire,2012/9/1,0,0,0,0,0,0,0,0.0,0.0
72,72,2231,Fire,2011/1/7,0,0,0,0,6,0,0,0.0,36675000.0
73,73,2230,Fire,2011/2/28,0,0,0,0,8,0,0,0.0,46220000.0
