,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,20200823001,Forest Fire,2020/8/23,0,0,0,0,0,0,0,0,0
1,1,20201026001,Forest Fire,2020/10/26,0,0,0,0,0,0,0,0,0
2,2,20201009002,Forest Fire,2020/10/9,0,0,0,0,0,0,0,0,0
3,3,20200910001,Forest Fire,2020/9/10,0,0,0,0,0,0,0,0,0
4,4,20210217002,Landslide,2021/2/17,0,0,0,0,582,0,0,0,0
5,5,20210219001,River Flood,2021/2/19,0,0,0,0,0,0,0,0,0
6,6,20210217001,River Flood,2021/2/17,0,0,0,0,0,0,0,0,0
7,7,20210120001,Flood,2021/1/20,0,0,0,0,0,0,0,0,0
8,8,20210531001,Forest Fire,2021/5/31,0,0,0,0,0,0,0,0,0
9,9,20211209001,Forest Fire,2021/9/12,0,0,0,0,0,0,0,0,0
10,10,20210916001,Forest Fire,2021/9/16,0,0,0,0,0,0,0,0,0
11,11,20210508001,Forest Fire,2021/5/8,0,0,0,0,0,0,0,0,0
12,12,20210407001,Forest Fire,2021/7/4,0,0,0,0,0,0,0,0,0
13,13,20211114001,Forest Fire,2021/11/14,0,0,0,0,0,0,0,0,0
14,14,20211130001,Forest Fire,2021/11/30,0,0,0,0,0,0,0,0,0
15,15,20212907001,Forest Fire,2021/7/29,0,0,0,0,0,0,0,0,0
16,16,202120807001,Forest Fire,2021/7/28,0,0,0,0,0,0,0,0,0
17,17,20211113001,Forest Fire,2021/11/13,0,0,0,0,0,0,0,0,0
18,18,20211701001,Flood,2021/1/17,0,0,0,0,0,0,0,0,0
19,19,20200804001,Explosion,2020/8/4,215,6500,0,0,0,0,0,0,0
20,20,20190107001,Snowstorm,2019/1/7,0,0,0,0,0,0,4,0,0
21,21,20201025001,Forest Fire,2020/10/25,1,0,0,0,0,0,0,0,0
22,22,20200910002,Forest Fire,2020/9/19,0,0,0,0,0,0,0,0,0
