,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,120,ANIMAL INCIDENT,2016/9/28,0,0,0,0,8,0,0,0,0
1,1,548,Epidemic,2014/9/0,2,0,0,0,0,0,0,0,0
2,2,547,Epidemic,2014/9/0,7,0,0,0,0,0,0,0,0
3,3,546,Epidemic,2014/9/0,1,0,0,0,0,0,0,0,0
4,4,545,Epidemic,2014/9/0,615,0,0,0,0,0,0,0,0
5,5,544,Epidemic,2014/9/0,8,0,0,0,0,0,0,0,0
6,6,543,Epidemic,2014/9/0,139,0,0,0,0,0,0,0,0
7,7,542,Epidemic,2014/9/0,11,0,0,0,0,0,0,0,0
8,8,541,Epidemic,2014/9/0,0,0,0,0,0,0,0,0,0
9,9,540,Epidemic,2014/9/0,6,0,0,0,0,0,0,0,0
10,10,539,Epidemic,2014/9/0,25,0,0,0,0,0,0,0,0
11,11,538,Epidemic,2014/9/0,73,0,0,0,0,0,0,0,0
12,12,537,Epidemic,2014/9/0,35,0,0,0,0,0,0,0,0
13,13,536,Epidemic,2014/10/0,8,0,0,0,0,0,0,0,0
14,14,535,Epidemic,2014/10/0,4,0,0,0,0,0,0,0,0
15,15,534,Epidemic,2014/10/0,2,0,0,0,0,0,0,0,0
16,16,533,Epidemic,2014/10/0,44,0,0,0,0,0,0,0,0
17,17,532,Epidemic,2014/10/0,483,0,0,0,0,0,0,0,0
18,18,531,Epidemic,2014/10/0,6,0,0,0,0,0,0,0,0
19,19,530,Epidemic,2014/10/0,271,0,0,0,0,0,0,0,0
20,20,529,Epidemic,2014/10/0,35,0,0,0,0,0,0,0,0
21,21,528,Epidemic,2014/10/0,11,0,0,0,0,0,0,0,0
22,22,527,Epidemic,2014/10/0,1,0,0,0,0,0,0,0,0
23,23,526,Epidemic,2014/10/0,29,0,0,0,0,0,0,0,0
24,24,525,Epidemic,2014/10/0,13,0,0,0,0,0,0,0,0
25,25,524,Epidemic,2014/10/0,3,0,0,0,0,0,0,0,0
26,26,523,Epidemic,2014/10/0,17,0,0,0,0,0,0,0,0
27,27,522,Epidemic,2014/11/0,4,0,0,0,0,0,0,0,0
28,28,521,Epidemic,2014/11/0,13,0,0,0,0,0,0,0,0
29,29,520,Epidemic,2014/11/0,0,0,0,0,0,0,0,0,0
30,30,519,Epidemic,2014/11/0,9,0,0,0,0,0,0,0,0
31,31,518,Epidemic,2014/11/0,184,0,0,0,0,0,0,0,0
32,32,517,Epidemic,2014/11/0,3,0,0,0,0,0,0,0,0
33,33,516,Epidemic,2014/11/0,33,0,0,0,0,0,0,0,0
34,34,515,Epidemic,2014/11/0,38,0,0,0,0,0,0,0,0
35,35,514,Epidemic,2014/11/0,4,0,0,0,0,0,0,0,0
36,36,513,Epidemic,2014/11/0,2,0,0,0,0,0,0,0,0
37,37,512,Epidemic,2014/11/0,31,0,0,0,0,0,0,0,0
38,38,511,Epidemic,2014/11/0,12,0,0,0,0,0,0,0,0
39,39,510,Epidemic,2014/11/0,7,0,0,0,0,0,0,0,0
40,40,509,Epidemic,2014/11/0,10,0,0,0,0,0,0,0,0
41,41,508,Epidemic,2014/11/0,73,0,0,0,0,0,0,0,0
42,42,507,Epidemic,2015/1/0,26,0,0,0,0,0,0,0,0
43,43,506,Epidemic,2015/1/0,2,0,0,0,0,0,0,0,0
44,44,505,Epidemic,2015/1/0,2,0,0,0,0,0,0,0,0
45,45,504,Epidemic,2015/1/0,0,0,0,0,0,0,0,0,0
46,46,503,Epidemic,2015/1/0,10,0,0,0,0,0,0,0,0
47,47,502,Epidemic,2015/1/0,1,0,0,0,0,0,0,0,0
48,48,501,Epidemic,2014/12/0,6,0,0,0,0,0,0,0,0
49,49,500,Epidemic,2014/12/0,1,0,0,0,0,0,0,0,0
50,50,499,Epidemic,2014/12/0,0,0,0,0,0,0,0,0,0
51,51,498,Epidemic,2014/12/0,5,0,0,0,0,0,0,0,0
52,52,497,Epidemic,2014/12/0,179,0,0,0,0,0,0,0,0
53,53,496,Epidemic,2014/12/0,2,0,0,0,0,0,0,0,0
54,54,495,Epidemic,2014/12/0,25,0,0,0,0,0,0,0,0
55,55,494,Epidemic,2014/12/0,3,0,0,0,0,0,0,0,0
56,56,493,Epidemic,2014/12/0,1,0,0,0,0,0,0,0,0
57,57,492,Epidemic,2014/12/0,1,0,0,0,0,0,0,0,0
58,58,491,Epidemic,2014/12/0,49,0,0,0,0,0,0,0,0
59,59,490,Epidemic,2014/12/0,17,0,0,0,0,0,0,0,0
60,60,489,Epidemic,2014/12/0,2,0,0,0,0,0,0,0,0
61,61,488,Epidemic,2014/12/0,13,0,0,0,0,0,0,0,0
62,62,487,Epidemic,2014/12/0,10,0,0,0,0,0,0,0,0
63,63,486,Epidemic,2014/8/0,1,0,0,0,0,0,0,0,0
64,64,485,Epidemic,2014/8/0,5,0,0,0,0,0,0,0,0
65,65,484,Epidemic,2014/8/0,366,0,0,0,0,0,0,0,0
66,66,483,Epidemic,2014/8/0,106,0,0,0,0,0,0,0,0
67,67,482,Epidemic,2014/8/0,311,0,0,0,0,0,0,0,0
68,68,481,Epidemic,2014/8/0,2,0,0,0,0,0,0,0,0
69,69,480,Epidemic,2014/8/0,8,0,0,0,0,0,0,0,0
70,70,479,Epidemic,2014/8/0,12,0,0,0,0,0,0,0,0
71,71,478,Epidemic,2014/8/0,33,0,0,0,0,0,0,0,0
72,72,43,Epidemic,2014/12/22,1,0,0,1,0,0,0,0,0
73,73,42,Epidemic,2014/12/27,0,0,0,1,1,0,0,0,0
74,74,40,Epidemic,2014/12/1,1,0,0,1,1,0,0,0,0
75,75,39,Epidemic,2014/11/22,9,0,0,16,16,0,0,0,0
76,76,38,Epidemic,2014/11/27,0,0,0,0,1,0,0,0,0
