,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,316,STORM,2008/8/15,0,0,0,0,0,0,0,0,0
1,312,LANDSLIDE,2011/8/1,0,0,0,1,0,0,0,0,0
2,310,LANDSLIDE,2008/10/14,0,0,0,0,0,0,0,0,0
3,309,STORM,2008/10/14,0,0,0,0,0,0,0,0,0
4,308,TSUNAMI,1867/11/18,0,0,0,0,0,0,0,0,0
5,299,Hurricane,2004/9/8,0,1,0,0,0,0,0,0,0
6,298,FLOOD,2004/9/8,0,0,0,0,0,0,0,0,0
7,297,FLOOD,2004/9/8,0,0,0,0,0,0,0,0,5000
8,296,Hurricane,2004/9/8,0,0,0,0,0,0,0,0,0
9,295,Hurricane,2004/9/8,0,0,0,0,0,0,0,0,0
10,293,OTHER,2002/9/23,0,0,0,7,0,0,0,0,0
11,307,EARTHQUAKE,1982/1/20,0,0,0,0,0,0,0,0,0
12,306,STORM,2008/10/14,0,0,0,0,0,0,0,0,0
13,305,LANDSLIDE,2008/10/14,0,0,0,0,0,0,0,0,0
14,304,STORM,2008/10/14,0,0,0,0,0,0,0,2359000,6250000
15,303,STORM,2008/10/14,0,0,0,0,0,0,0,0,0
16,302,STORM,2008/10/14,0,0,0,0,0,0,0,0,0
17,301,Hurricane,2004/9/8,0,0,0,0,0,0,0,0,0
18,300,FLOOD,2004/9/8,0,0,0,0,0,0,0,0,0
19,292,DROUGHT,2001/1/1,0,0,0,0,0,0,0,0,0
20,291,DROUGHT,2001/1/1,0,0,0,0,0,0,0,0,0
21,288,STORM,1995/8/4,0,0,0,1,0,0,0,0,0
22,287,STORM,1995/8/4,0,0,0,0,0,0,0,0,0
23,286,STORM,1995/8/3,0,0,0,0,0,0,0,0,0
24,285,STORM,1995/8/26,0,0,0,7,0,0,0,0,0
25,266,FLOOD,1992/11/23,0,0,0,0,0,0,0,0,0
26,265,LANDSLIDE,1992/11/23,0,0,0,0,0,0,0,0,0
27,264,FLOOD,1992/11/23,0,0,0,0,0,0,0,0,0
28,263,STORM,1988/9/9,0,0,0,0,0,0,0,0,0
29,262,FLOOD,1986/10/14,0,0,0,0,0,0,0,0,0
30,260,LANDSLIDE,1996/8/13,0,0,0,0,0,0,0,0,0
31,259,FLOOD,1996/7/25,0,0,0,0,0,0,0,0,0
32,252,DROUGHT,2009/10/1,0,0,0,2400,23000,0,0,0,0
33,257,FLOOD,1996/11/20,0,0,0,0,0,0,0,0,0
34,254,FLOOD,1996/10/26,0,0,0,0,0,0,0,0,0
35,253,FLOOD,1996/10/26,0,0,0,0,0,0,0,0,0
36,250,DROUGHT,2009/10/1,0,0,0,469,8500,0,0,0,0
37,249,DROUGHT,2009/10/1,0,0,0,162,14000,0,0,0,0
38,248,DROUGHT,2009/10/1,0,0,0,137,8000,0,0,0,0
