,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,2747,CYCLONES,2018/7/3,2,0,0,576,0,576,0,0.0,0
1,1,2746,CYCLONES,2018/7/3,2,0,0,0,0,0,0,0.0,0
2,2,2745,CYCLONES,2018/7/3,0,0,0,80,0,80,0,0.0,0
3,3,2744,CYCLONES,2018/7/3,0,20,0,296,0,0,0,0.0,0
4,4,2743,CYCLONES,2018/7/3,0,0,4,11227,0,815,0,0.0,0
5,5,2742,CYCLONES,2018/7/3,2,3,0,1648,0,0,0,0.0,0
6,6,2741,CYCLONES,2018/7/3,1,0,0,0,0,0,0,0.0,0
7,7,2740,CYCLONES,2018/7/3,0,0,1,7336,0,2115,0,0.0,0
8,8,2739,CYCLONES,2018/7/3,6,0,0,539,0,539,0,0.0,0
9,9,2738,CYCLONES,2018/7/3,1,0,0,320,0,0,0,0.0,0
10,10,2737,CYCLONES,2018/7/3,0,1,0,5874,0,5874,0,0.0,0
11,11,2736,CYCLONES,2018/7/3,0,0,0,1193,0,1193,0,0.0,0
12,12,2735,CYCLONES,2018/7/3,0,0,0,2411,0,300,0,0.0,0
13,13,2734,CYCLONES,2018/7/3,0,0,0,80,0,20,0,0.0,0
14,14,2733,CYCLONES,2018/7/3,0,0,0,17246,0,6690,0,0.0,0
15,15,2732,CYCLONES,2018/7/3,0,0,0,0,0,0,0,0.0,0
16,16,2731,CYCLONES,2018/7/3,0,0,0,1064,0,380,0,0.0,0
17,17,2730,CYCLONES,2018/7/3,0,0,0,0,0,0,0,0.0,0
18,18,2729,CYCLONES,2018/7/3,0,0,0,857,0,857,0,0.0,0
19,19,2728,CYCLONES,2018/7/3,4,0,0,125,0,0,0,0.0,0
20,20,2727,CYCLONES,2018/7/3,1,0,0,0,0,0,0,0.0,0
21,21,2726,CYCLONES,2018/7/3,2,0,0,0,0,0,0,0.0,0
22,22,2725,CYCLONES,2018/7/2,0,0,0,0,0,0,0,0.0,0
23,23,2724,CYCLONES,2018/7/2,0,0,0,0,0,0,0,0.0,0
24,24,2723,CYCLONES,2018/7/2,0,0,0,0,0,0,0,0.0,0
25,25,2721,CYCLONES,2018/7/2,0,0,0,0,0,0,0,0.0,0
26,26,2720,CYCLONES,2018/7/2,0,0,0,1980,0,1365,0,0.0,0
27,27,2719,CYCLONES,2018/7/2,0,0,0,0,0,0,0,0.0,0
28,28,2718,CYCLONES,2018/7/2,1,0,0,480,0,480,0,0.0,0
29,29,2717,CYCLONES,2018/7/2,3,0,0,530,0,0,0,0.0,0
30,30,2716,CYCLONES,2018/7/2,0,0,0,0,0,0,0,0.0,0
31,31,2715,CYCLONES,2018/7/2,6,1,1,7921,0,6694,0,0.0,0
32,32,2714,CYCLONES,2018/7/2,0,0,0,64,0,38,0,0.0,0
33,33,2713,CYCLONES,2018/7/2,0,0,0,1000,0,340,0,0.0,0
34,34,2712,CYCLONES,2018/7/2,17,0,3,0,0,0,0,0.0,0
35,35,2711,CYCLONES,2018/7/2,0,0,0,60,0,0,0,0.0,0
36,36,2710,CYCLONES,2018/7/2,0,0,0,5271,0,761,0,0.0,0
37,37,2709,CYCLONES,2018/7/2,0,0,0,10181,0,970,0,0.0,0
38,38,2708,CYCLONES,2018/7/2,3,0,1,25730,0,901,0,0.0,0
39,39,2707,CYCLONES,2018/7/2,0,1,0,40,0,0,0,0.0,0
40,40,2706,CYCLONES,2018/7/2,0,0,0,7977,0,2437,0,0.0,0
41,41,2705,CYCLONES,2018/7/2,0,0,0,800,0,0,0,0.0,0
42,42,2704,CYCLONES,2018/7/2,0,0,0,1530,0,400,0,0.0,0
43,43,2703,CYCLONES,2018/7/2,0,1,0,6578,0,2138,0,0.0,0
44,44,2702,CYCLONES,2018/7/2,0,0,0,0,0,0,0,0.0,0
45,45,2701,CYCLONES,2018/7/2,0,0,0,0,0,0,0,0.0,0
46,46,2699,CYCLONES,2018/7/2,0,0,0,0,0,0,0,0.0,0
47,47,2698,CYCLONES,2018/7/2,2,0,0,0,0,0,0,0.0,0
48,48,2697,CYCLONES,2018/7/2,0,0,0,0,0,0,0,0.0,0
49,49,2696,CYCLONES,2018/7/2,1,0,1,250,0,0,0,0.0,0
50,50,2695,CYCLONES,2018/7/2,0,0,0,230,0,0,0,0.0,0
51,51,2694,CYCLONES,2018/7/2,0,0,5,4399,0,100,0,0.0,0
52,52,2693,CYCLONES,2018/7/2,2,0,0,650,0,0,0,0.0,0
53,53,2692,CYCLONES,2018/7/2,5,0,9,7530,0,1059,0,0.0,0
54,54,2691,CYCLONES,2018/7/2,0,0,0,2391,0,0,0,0.0,0
55,55,2688,CYCLONES,2018/7/2,0,0,0,500,0,500,0,0.0,0
56,56,2687,CYCLONES,2018/7/2,1,0,0,8445,0,0,0,0.0,0
57,57,2686,CYCLONES,2018/7/2,0,0,0,18253,0,0,0,0.0,0
58,58,2685,CYCLONES,2018/7/2,0,0,0,0,0,0,0,0.0,0
59,59,2684,CYCLONES,2018/7/2,2,0,2,141,0,0,0,0.0,0
60,60,2683,CYCLONES,2018/7/2,0,0,0,4726,0,4726,0,0.0,0
61,61,2763,Flood,2016/2/2,1,0,0,18304,0,0,0,0.0,0
62,62,2682,CYCLONES,2018/7/2,1,0,0,612,0,0,0,0.0,0
63,63,2680,CYCLONES,2018/7/2,0,0,0,150,0,150,0,0.0,0
64,64,2679,CYCLONES,2018/7/2,0,0,0,570,0,311,0,0.0,0
65,65,2678,CYCLONES,2018/7/2,0,0,0,0,0,0,0,0.0,0
66,66,2677,CYCLONES,2018/7/2,0,0,0,0,0,0,0,0.0,0
67,67,2676,CYCLONES,2018/7/2,0,0,0,82,0,0,0,0.0,0
68,68,2751,CYCLONES,2018/7/18,0,0,0,0,0,0,0,0.0,0
69,69,2750,CYCLONES,2018/7/18,1,2,0,10666,0,7313,0,0.0,0
70,70,2666,CYCLONES,2018/6/29,0,0,0,0,0,0,0,0.0,0
71,71,2665,CYCLONES,2018/6/29,1,0,0,2076,0,810,0,0.0,0
72,72,2664,CYCLONES,2018/6/29,1,1,0,27045,0,20932,0,0.0,0
73,73,2663,CYCLONES,2018/6/29,0,0,0,0,0,0,0,0.0,0
74,74,2662,CYCLONES,2018/6/29,0,0,0,0,0,0,0,0.0,0
75,75,2661,CYCLONES,2018/6/29,0,0,0,0,0,0,0,0.0,0
76,76,2660,CYCLONES,2018/6/29,2,0,0,849,0,849,0,0.0,0
77,77,2659,CYCLONES,2018/6/29,1,0,0,0,0,0,0,0.0,0
78,78,2762,Flood,2016/2/2,2,0,0,4146,0,1566,0,0.0,0
79,79,2658,CYCLONES,2018/6/29,0,0,0,68,0,0,0,0.0,0
80,80,2656,CYCLONES,2018/6/29,0,0,0,0,0,0,0,0.0,0
81,81,2655,CYCLONES,2018/6/29,0,0,0,78,0,78,0,0.0,0
82,82,2654,CYCLONES,2018/6/29,0,0,0,995,0,995,0,0.0,0
83,83,2652,CYCLONES,2018/6/29,0,0,0,0,0,0,0,0.0,0
84,84,2651,CYCLONES,2018/6/29,0,0,0,0,0,0,0,0.0,0
85,85,2650,CYCLONES,2018/6/29,0,0,0,0,0,0,0,0.0,0
86,86,2649,CYCLONES,2018/6/29,0,0,0,480,0,480,0,0.0,0
87,87,2636,CYCLONES,2017/3/16,0,0,0,1787,0,887,0,0.0,0
88,88,2761,Flood,2016/2/2,3,0,0,7593,0,100,0,0.0,0
89,89,2760,Flood,2016/2/2,0,32,0,1165,0,151,0,0.0,0
90,90,2759,Flood,2016/2/2,0,0,0,0,0,0,0,0.0,0
91,91,2635,ACCIDENT,2017/3/16,0,0,0,11826,0,9110,0,0.0,0
92,92,2634,CYCLONES,2017/3/16,1,0,0,0,0,0,0,0.0,0
93,93,2633,CYCLONES,2017/3/15,0,3,0,19858,0,18546,0,0.0,0
94,94,2626,CYCLONES,2017/3/16,0,3,0,8811,0,0,0,0.0,0
95,95,2625,CYCLONES,2017/3/16,0,0,0,6017,0,0,0,0.0,0
96,96,2624,CYCLONES,2017/3/16,1,0,0,0,0,0,0,0.0,0
97,97,2623,CYCLONES,2017/3/16,0,0,0,9133,0,0,0,0.0,0
98,98,2646,CYCLONES,2017/3/16,1,0,0,138,0,46,0,0.0,0
99,99,2622,CYCLONES,2017/3/16,2,4,0,5340,0,8,0,0.0,0
100,100,2621,CYCLONES,2017/3/16,1,0,0,3330,0,54,0,0.0,0
101,101,2620,CYCLONES,2017/3/16,0,0,0,903,0,0,0,0.0,0
102,102,2619,CYCLONES,2017/3/16,1,0,0,2323,0,0,0,0.0,0
103,103,2618,CYCLONES,2017/3/16,4,8,0,5574,0,5574,0,0.0,0
104,104,2617,CYCLONES,2017/3/16,0,0,0,450,0,282,0,0.0,0
105,105,2616,CYCLONES,2017/3/16,2,176,0,224571,0,105453,0,0.0,0
106,106,2614,CYCLONES,2017/3/16,17,3,1,2786,0,2786,0,0.0,0
107,107,2612,ACCIDENT,2017/3/16,0,0,0,300,0,0,0,0.0,0
108,108,2611,CYCLONES,2017/3/16,1,0,0,360,0,360,0,0.0,0
109,109,2610,CYCLONES,2017/3/16,0,0,0,1397,0,225,0,0.0,0
110,110,2609,CYCLONES,2017/3/16,0,0,2,5420,0,5420,0,0.0,0
111,111,2608,CYCLONES,2017/3/16,2,0,10,2527,0,2292,0,0.0,0
112,112,2607,CYCLONES,2017/3/16,0,0,1,3200,0,3200,0,0.0,0
113,113,2605,CYCLONES,2017/3/16,0,0,0,429,0,49,0,0.0,0
114,114,2604,CYCLONES,2017/3/16,0,0,0,311,0,311,0,0.0,0
115,115,2603,CYCLONES,2017/3/16,1,6,0,58401,0,55961,0,0.0,0
116,116,2602,CYCLONES,2017/3/16,4,0,0,2348,0,2348,0,0.0,0
117,117,2600,CYCLONES,2017/3/16,2,0,0,2095,0,752,0,0.0,0
118,118,2598,CYCLONES,2017/3/16,16,2,2,9646,0,5589,0,0.0,0
119,119,2597,CYCLONES,2017/3/16,0,0,0,0,0,0,0,0.0,0
120,120,2757,CYCLONES,2018/9/26,1,0,0,0,0,0,0,0.0,0
121,121,2755,CYCLONES,2018/9/26,0,0,2,0,0,0,0,0.0,0
122,122,2596,CYCLONES,2017/3/16,0,0,0,18,0,0,0,0.0,0
123,123,2595,CYCLONES,2017/3/16,1,0,0,1300,0,1200,0,0.0,0
124,124,2594,CYCLONES,2017/3/15,1,0,0,2509,0,2509,0,0.0,0
125,125,2593,CYCLONES,2017/3/15,0,0,0,1980,0,1980,0,0.0,0
126,126,2592,CYCLONES,2017/3/15,0,0,1,810,0,493,0,0.0,0
127,127,2590,CYCLONES,2017/3/15,0,0,0,0,0,0,0,0.0,0
128,128,2585,CYCLONES,2017/3/15,0,0,0,63,0,63,0,0.0,0
129,129,2584,CYCLONES,2017/3/15,0,0,0,0,0,0,0,0.0,0
130,130,2582,CYCLONES,2017/3/15,0,2,0,0,0,0,0,0.0,0
131,131,2645,CYCLONES,2017/3/16,0,0,0,300,0,0,0,0.0,0
132,132,2581,CYCLONES,2017/3/15,0,0,0,0,0,0,0,0.0,0
133,133,2580,CYCLONES,2017/3/15,0,0,0,21,0,0,0,0.0,0
134,134,2579,CYCLONES,2017/3/15,1,0,0,2538,0,0,0,0.0,0
135,135,2577,CYCLONES,2017/3/15,1,0,0,200,0,185,0,0.0,0
136,136,2576,CYCLONES,2017/3/15,0,0,0,173,0,173,0,0.0,0
137,137,2574,CYCLONES,2017/3/15,1,0,0,0,0,0,0,0.0,0
138,138,2570,CYCLONES,2017/3/15,15,43,0,24285,0,15374,0,0.0,0
139,139,2569,CYCLONES,2017/3/15,0,0,0,914,0,914,0,0.0,0
140,140,2568,CYCLONES,2017/3/15,0,0,0,95,0,95,0,0.0,0
141,141,2567,CYCLONES,2017/3/15,0,0,0,392,0,392,0,0.0,0
142,142,2644,CYCLONES,2017/3/16,0,0,0,11826,0,9110,0,0.0,0
143,143,2639,CYCLONES,2017/5/23,0,0,1,8381,0,3191,0,0.0,0
144,144,2566,CYCLONES,2017/3/15,0,0,0,2130,0,0,0,0.0,0
145,145,2565,CYCLONES,2017/3/15,3,3,0,274,0,194,0,0.0,0
146,146,2563,CYCLONES,2017/3/15,0,0,0,1260,0,791,0,0.0,0
147,147,2561,CYCLONES,2017/3/15,1,0,0,484,0,115,0,0.0,0
148,148,2560,CYCLONES,2017/3/15,0,0,0,70,0,70,0,0.0,0
149,149,2556,CYCLONES,2017/3/15,1,0,0,227,0,227,0,0.0,0
