,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,2107,FIRE,2007/10/30,0,0,0,0,0,0,0,0,0.0
1,1,2106,FIRE,2007/10/19,0,0,0,0,0,0,0,0,0.0
2,2,2105,FIRE,2007/8/24,0,0,0,0,0,0,0,0,0.0
3,3,2104,FIRE,2007/8/7,0,0,0,0,0,0,0,0,0.0
4,4,2103,FIRE,2006/7/26,0,0,0,0,0,0,0,0,0.0
5,5,2102,FIRE,2007/6/29,1,0,0,0,0,0,0,0,0.0
6,6,2101,FIRE,2007/6/12,0,0,0,0,0,0,0,0,0.0
7,7,2100,FIRE,2007/6/7,0,0,0,0,0,0,0,0,0.0
8,8,2099,FIRE,2007/5/11,0,0,0,0,0,0,0,0,0.0
9,9,2098,FIRE,2007/3/4,0,0,0,0,0,0,0,0,0.0
10,10,2097,FIRE,2007/2/12,0,0,0,0,0,0,0,0,0.0
11,11,2096,FIRE,2007/2/27,0,0,0,0,0,0,0,0,0.0
12,12,2095,FIRE,2007/2/8,0,0,0,0,0,0,0,0,0.0
13,13,2094,FIRE,2007/2/8,0,0,0,0,0,0,0,0,0.0
14,14,2093,FIRE,2007/1/13,0,2,0,0,0,0,0,0,0.0
15,15,2092,FIRE,2006/9/4,0,0,0,0,0,0,0,0,0.0
16,16,2091,FIRE,2006/7/28,0,0,0,0,0,0,0,0,0.0
17,17,2090,FIRE,2006/6/20,0,0,0,0,0,0,0,0,0.0
18,18,2089,FIRE,2006/4/2,0,0,0,0,0,0,0,0,0.0
19,19,2088,FIRE,2006/3/29,0,0,0,0,0,0,0,0,0.0
20,20,2087,FIRE,2006/3/23,0,0,0,0,0,0,0,0,0.0
21,21,2086,FIRE,2006/2/27,0,0,0,0,0,0,0,0,0.0
22,22,2085,FIRE,2008/5/16,0,0,0,0,0,0,0,0,0.0
23,23,2084,FIRE,2006/2/15,0,0,0,0,0,0,0,0,0.0
24,24,2083,FIRE,2006/2/8,0,0,0,0,0,0,0,0,0.0
25,25,2079,FIRE,2006/1/30,0,0,0,0,0,0,0,0,0.0
26,26,2081,FIRE,2006/12/28,0,0,0,0,0,0,0,0,0.0
27,27,2080,FIRE,2006/12/20,0,0,0,0,0,0,0,0,0.0
28,28,2079,FIRE,2006/12/2,0,2,0,0,0,0,0,0,0.0
29,29,2078,FIRE,2006/11/26,0,0,0,0,0,0,0,0,0.0
30,30,2077,FIRE,2006/10/19,0,0,0,0,0,0,0,0,0.0
31,31,2076,FIRE,2006/10/16,0,0,0,0,0,0,0,0,0.0
32,32,2075,FIRE,2006/10/9,0,0,0,0,0,0,0,0,0.0
33,33,2074,FIRE,2006/7/22,0,0,0,0,0,0,0,0,0.0
34,34,2073,FIRE,2006/7/17,0,0,0,0,0,0,0,0,0.0
35,35,2072,FIRE,2006/7/13,0,0,0,0,0,0,0,0,0.0
36,36,2071,FIRE,2006/6/15,0,2,0,0,0,0,0,0,0.0
37,37,2070,FIRE,2006/6/5,0,0,0,0,0,0,0,0,0.0
38,38,2069,FIRE,2006/4/20,0,0,0,0,0,0,0,0,0.0
39,39,2068,FIRE,2006/4/20,0,0,0,0,0,0,0,0,0.0
40,40,2067,FIRE,2006/4/10,0,0,0,0,0,0,0,0,0.0
41,41,2066,FIRE,2006/2/27,0,0,0,0,0,0,0,0,0.0
42,42,2065,FIRE,2006/2/22,0,0,0,0,0,0,0,0,0.0
43,43,2064,FIRE,2006/1/11,0,2,0,0,0,0,0,0,0.0
44,44,2063,FIRE,2006/2/11,0,0,0,0,0,0,0,0,0.0
45,45,2062,FIRE,2006/2/11,0,0,0,0,0,0,0,0,0.0
46,46,2060,FIRE,2006/2/22,0,0,0,0,0,0,0,0,0.0
47,47,2059,FIRE,2006/1/3,0,0,0,0,0,0,0,0,0.0
48,48,2058,FIRE,2005/12/7,0,0,0,0,0,0,0,0,0.0
49,49,2057,FIRE,2005/11/9,0,0,0,0,0,0,0,0,0.0
50,50,2056,FIRE,2005/11/7,0,0,0,0,0,0,0,0,0.0
51,51,2055,FIRE,2005/11/6,0,0,0,0,0,0,0,0,0.0
52,52,2054,FIRE,2005/10/21,0,0,0,0,0,0,0,0,0.0
53,53,2053,FIRE,2005/10/20,0,0,0,0,0,0,0,0,0.0
54,54,2052,FIRE,2005/10/7,0,0,0,0,0,0,0,0,0.0
55,55,2051,FIRE,2005/9/24,0,0,0,0,0,0,0,0,0.0
56,56,2050,FIRE,2005/9/20,0,0,0,0,0,0,0,0,0.0
57,57,2049,FIRE,2005/9/8,0,0,0,0,0,0,0,0,0.0
58,58,2048,FIRE,2005/8/24,0,0,0,0,0,0,0,0,0.0
59,59,2047,FIRE,2005/8/15,0,0,0,0,0,0,0,0,0.0
60,60,2046,FIRE,2005/8/12,0,0,0,0,0,0,0,0,0.0
61,61,2045,FIRE,2005/8/11,0,1,0,0,0,0,0,0,0.0
62,62,2044,FIRE,2008/5/14,0,0,0,0,0,0,0,0,0.0
63,63,2043,FIRE,2005/8/4,1,0,0,0,0,0,0,0,0.0
64,64,2042,FIRE,2005/8/1,0,0,0,0,0,0,0,0,0.0
65,65,2041,FIRE,2008/5/14,0,1,0,0,0,0,0,0,0.0
66,66,2040,FIRE,2005/7/16,0,0,0,0,0,0,0,0,0.0
67,67,2039,FIRE,2005/7/14,0,0,0,0,0,0,0,0,0.0
