,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,2013-02786,Hailstorm,2013/6/14,0,0,0,0,0,0,0,0,0
1,1,2013-02785,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
2,2,2013-02784,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
3,3,2013-02783,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
4,4,2013-02782,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
5,5,2013-02781,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
6,6,2013-02780,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
7,7,2013-02779,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
8,8,2013-02778,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
9,9,2013-02777,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
10,10,2013-02776,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
11,11,2013-02775,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
12,12,2013-02774,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
13,13,2013-02773,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
14,14,2013-02772,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
15,15,2013-02771,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
16,16,2013-02770,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
17,17,2013-02769,Frost,2013/12/27,0,0,0,0,0,0,0,0,0
18,18,2013-02768,Flood,2013/11/13,0,0,0,0,0,0,0,0,0
19,19,2013-02767,Flood,2013/11/13,0,0,0,0,0,0,0,0,0
20,20,2013-02766,Flood,2013/11/13,0,0,0,0,0,0,0,0,0
21,21,2013-02765,Flood,2013/11/13,0,0,0,0,0,0,0,0,0
22,22,2013-02764,Flood,2013/11/13,0,0,0,0,0,0,0,0,0
23,23,2013-02763,Flood,2013/11/13,0,0,0,0,0,0,0,0,0
24,24,2013-02762,Flood,2013/11/13,0,0,0,0,0,0,0,0,0
25,25,2013-02761,Flood,2013/11/13,0,0,0,0,0,0,0,0,0
26,26,2013-02760,Flood,2013/11/13,0,0,0,0,0,0,0,0,0
27,27,2013-02759,Flood,2013/11/13,0,0,0,0,0,0,0,0,0
28,28,2013-02758,Flood,2013/11/13,0,0,0,0,0,0,0,0,0
29,29,2013-02757,Flood,2013/11/13,0,0,0,0,0,0,0,0,0
30,30,2013-02756,Flood,2013/11/13,0,0,0,0,0,0,0,0,0
31,31,2013-02755,Flood,2013/11/13,0,0,0,0,0,0,0,0,0
32,32,2013-02754,Flood,2013/12/24,0,0,0,0,0,0,0,0,0
33,33,2013-02753,Flood,2013/12/24,0,0,0,0,0,0,0,0,0
34,34,2013-02752,Flood,2013/12/24,0,0,0,0,0,0,0,0,0
35,35,2013-02751,Flood,2013/12/24,0,0,0,0,0,0,0,0,0
36,36,2013-02750,Flood,2013/12/24,0,0,0,0,0,0,0,0,0
37,37,2013-02749,Flood,2013/12/24,0,0,0,0,0,0,0,0,0
38,38,2013-02748,Flood,2013/12/24,0,0,0,0,0,0,0,0,0
39,39,2013-02747,Flood,2013/12/24,0,0,0,0,0,0,0,0,0
40,40,2013-02746,Flood,2013/12/24,0,0,0,0,0,0,0,0,0
41,41,2013-02745,Flood,2013/12/24,0,0,0,0,0,0,0,0,0
42,42,2013-02744,Plague,2013/12/28,0,0,0,0,0,0,0,0,0
43,43,2013-02743,Plague,2013/12/28,0,0,0,0,0,0,0,0,0
44,44,2013-02742,Plague,2013/12/28,0,0,0,0,0,0,0,0,0
45,45,2013-02741,Plague,2013/12/28,0,0,0,0,0,0,0,0,0
46,46,2013-02740,Plague,2013/12/28,0,0,0,0,0,0,0,0,0
47,47,2013-02739,Plague,2013/12/28,0,0,0,0,0,0,0,0,0
48,48,2013-02738,Plague,2013/12/28,0,0,0,0,0,0,0,0,0
49,49,2013-02737,Plague,2013/12/28,0,0,0,0,0,0,0,0,0
50,50,2013-02736,Plague,2013/12/28,0,0,0,0,0,0,0,0,0
51,51,2013-02735,Cold Wave,2013/12/12,0,0,0,0,0,0,0,0,0
52,52,2013-02734,Cold Wave,2013/12/12,0,0,0,0,0,0,0,0,0
53,53,2013-02733,Cold Wave,2013/12/12,0,0,0,0,0,0,0,0,0
54,54,2013-02732,Cold Wave,2013/12/12,0,0,0,0,0,0,0,0,0
55,55,2013-02731,Nevada,2013/12/23,0,0,0,0,0,0,0,0,0
56,56,2013-02730,Nevada,2013/12/23,0,0,0,0,0,0,0,0,0
57,57,2013-02729,Nevada,2013/12/23,0,0,0,0,0,0,0,0,0
58,58,2013-02728,Nevada,2013/12/23,0,0,0,0,0,0,0,0,0
59,59,2013-02727,Nevada,2013/12/23,0,0,0,0,0,0,0,0,0
60,60,2013-02726,Nevada,2013/12/23,0,0,0,0,0,0,0,0,0
61,61,2013-02725,Nevada,2013/12/23,0,0,0,0,0,0,0,0,0
62,62,2013-02724,Nevada,2013/12/23,0,0,0,0,0,0,0,0,0
63,63,2013-02723,Nevada,2013/12/23,0,0,0,0,0,0,0,0,0
64,64,2013-02722,Nevada,2013/12/23,0,0,0,0,0,0,0,0,0
65,65,2013-02721,Nevada,2013/12/23,0,0,0,0,0,0,0,0,0
66,66,2013-02720,Nevada,2013/12/23,0,0,0,0,0,0,0,0,0
67,67,2013-02719,Rain,2013/12/23,0,0,0,0,0,0,0,0,0
68,68,2013-02718,Rain,2013/12/23,0,0,0,0,0,0,0,0,0
69,69,2013-02717,Rain,2013/12/23,0,0,0,0,0,0,0,0,0
70,70,2013-02716,Rain,2013/12/23,0,0,0,0,0,0,0,0,0
