,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,3811,Flood,2014/8/23,0,0,0,108,0,0,0,0,0.0
1,1,3765,INCENDIE,2008/0/0,0,0,0,0,6,0,0,0,0.0
2,2,4000,Drought,1973/12/1,0,0,0,0,6000000,0,0,0,0.0
3,3,3999,Flood,1995/5/25,0,0,0,29,0,0,0,0,0.0
4,4,3998,Flood,1974/8/23,0,0,0,500,0,0,0,0,0.0
5,5,3997,Flood,2013/9/7,0,0,0,0,0,0,0,0,0.0
6,6,3996,Flood,1999/8/10,1,0,0,0,0,0,0,0,0.0
7,7,3995,Flood,1999/8/5,6,0,1,294,0,0,0,0,0.0
8,8,3994,Flood,1999/8/11,0,0,0,0,0,0,0,0,0.0
9,9,3993,Flood,1999/8/11,0,0,0,589,0,0,0,0,0.0
10,10,3992,Flood,1999/8/6,0,1,0,0,0,0,0,0,0.0
11,11,3991,Flood,1999/8/23,2,0,0,0,0,0,0,0,0.0
12,12,3990,Flood,1999/8/5,0,0,0,0,0,0,0,0,0.0
13,13,3989,Flood,1999/8/20,0,0,0,0,0,0,0,0,0.0
14,14,3988,Flood,1999/8/17,0,0,0,0,250,0,0,0,0.0
15,15,3987,Lightning,1954/8/24,0,0,0,0,0,0,0,0,0.0
16,16,3986,Flood,1954/8/20,0,0,0,57,0,0,0,0,0.0
17,17,3985,Flood,1954/8/20,0,0,0,243,0,0,0,0,0.0
18,18,3984,Flood,1954/8/20,0,0,0,686,0,0,0,0,0.0
19,19,3983,Flood,1954/8/25,0,0,0,90,0,0,0,0,0.0
20,20,3982,Flood,1954/8/25,0,0,0,45,0,0,0,0,0.0
21,21,3981,Flood,1954/8/25,0,0,0,14,0,0,0,0,0.0
22,22,3980,Flood,1954/8/25,0,0,0,86,0,0,0,0,0.0
23,23,3979,Flood,1954/8/25,0,0,0,5,0,0,0,0,0.0
24,24,3978,Flood,1954/8/25,0,0,0,7,0,0,0,0,0.0
