,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,OTR 28775,Others,2018/0/0,0,0,0,705,0,132,0,0.0,0.0
1,1,OTR28386,Others,2018/7/7,0,1,0,0,0,0,0,0.0,0.0
2,2,OTR28345,Others,2018/7/10,0,0,0,12,0,0,0,0.0,0.0
3,3,OTR28197,Others,2018/6/14,0,0,0,7,0,0,0,0.0,0.0
4,4,OTR28196,Others,2018/7/0,0,0,0,7732,0,0,0,0.0,0.0
5,5,OTR28193,Others,2018/7/16,0,0,0,830,0,0,0,0.0,0.0
6,6,OTR28192,Others,2018/7/16,0,0,0,663,0,0,0,0.0,0.0
7,7,OTR28191,Others,2018/7/11,0,0,0,130,0,0,0,0.0,0.0
8,8,OTR28034,Others,2018/3/31,0,0,0,6,0,0,0,0.0,175000.0
9,9,OTR28033,Others,2018/5/4,0,2,0,0,0,0,0,0.0,0.0
10,10,OTR27993,Others,2018/6/0,0,0,0,1225,0,0,0,0.0,0.0
11,11,OTR27988,Others,2018/6/0,0,0,0,104,0,0,0,0.0,0.0
12,12,OTR27858,Others,2018/5/27,0,0,0,10,0,0,0,0.0,0.0
13,13,OTR27759,Others,2018/0/0,0,0,0,0,0,0,0,0.0,0.0
14,14,OTR27757,Others,2018/0/0,0,0,0,62,0,0,0,0.0,0.0
15,15,OTR27756,Others,2018/0/0,0,0,0,9,0,0,0,0.0,0.0
16,16,OTR27687,Others,2018/6/17,0,0,0,0,0,0,0,0.0,0.0
17,17,OTR27685,Others,2018/6/16,0,0,0,0,0,0,0,0.0,0.0
18,18,OTR27029,Others,2018/5/7,0,0,0,73,0,0,0,0.0,0.0
19,19,OTR28194,Others,2018/7/18,0,0,0,665,0,0,0,0.0,0.0
20,20,OTR27525,Others,2018/5/26,0,0,0,7,0,0,0,0.0,0.0
21,21,OTR27503,Others,2018/5/4,0,0,0,132,0,27,0,0.0,0.0
22,22,OTR27501,Others,2018/5/2,0,0,0,301,0,57,0,0.0,0.0
23,23,OTR27362,Others,2018/5/17,0,0,0,247,0,0,0,0.0,0.0
24,24,OTR27360,Others,2017/11/0,0,0,0,159,0,0,0,0.0,0.0
25,25,OTR26794,Others,2018/4/26,0,0,0,1396,0,283,0,0.0,0.0
26,26,OTR26792,Others,2018/4/24,0,0,0,1155,0,260,0,0.0,0.0
27,27,OTR26789,Others,2018/4/23,0,0,0,22,0,0,0,0.0,0.0
28,28,OTR26761,Others,2018/3/10,0,0,0,191,0,0,0,0.0,0.0
29,29,OTR26760,Others,2018/3/20,0,0,0,128,0,0,0,0.0,0.0
30,30,OTR26529,Others,2018/4/7,0,0,0,0,0,11,0,0.0,0.0
31,31,OTR26656,Others,2018/5/26,2,0,0,0,0,0,0,0.0,0.0
32,32,OTR26616,Others,2018/4/14,0,0,0,0,0,13,0,0.0,0.0
33,33,OTR26615,Others,2018/4/14,0,0,0,0,0,11,0,0.0,0.0
34,34,OTR26612,Others,2018/4/0,0,0,0,0,0,0,0,0.0,0.0
35,35,OTR26382,Others,2018/3/28,0,0,0,886,0,0,0,0.0,0.0
36,36,OTR26381,Others,2018/3/28,0,0,0,607,0,0,0,0.0,0.0
37,37,OTR26380,Others,2018/3/28,0,0,0,1589,0,0,0,0.0,0.0
38,38,OTR26379,Others,2018/3/28,0,0,0,482,0,0,0,0.0,0.0
39,39,OTR26363,Others,2018/5/14,1,0,0,0,0,0,0,0.0,0.0
40,40,OTR26352,Others,2018/5/12,0,4,0,0,0,0,0,0.0,0.0
41,41,OTR26025,Others,2018/4/16,0,1,0,0,0,0,0,0.0,0.0
42,42,OTR26225,Others,2018/5/3,1,0,1,0,0,0,0,0.0,0.0
43,43,OTR26220,Others,2018/5/7,1,2,0,0,0,0,0,0.0,0.0
44,44,OTR26150,Others,2018/3/21,0,0,0,882,0,0,0,0.0,0.0
45,45,OTR26148,Others,2018/3/20,0,0,0,137,0,0,0,0.0,0.0
46,46,OTR25963,Others,2018/4/13,2,0,0,0,0,0,0,0.0,0.0
47,47,OTR26130,Others,2018/3/15,0,0,0,7574,0,0,0,0.0,0.0
48,48,OTR26129,Others,2018/3/17,0,0,0,374,0,0,0,0.0,0.0
49,49,OTR26128,Others,2018/3/12,0,0,0,656,0,0,0,0.0,0.0
50,50,OTR26127,Others,2018/3/11,0,0,0,1108,0,0,0,0.0,0.0
51,51,OTR26100,Others,2018/5/2,0,1,0,0,0,0,0,0.0,0.0
52,52,OTR26073,Others,2018/5/4,0,1,0,0,0,0,0,0.0,0.0
53,53,OTR26013,Others,2018/3/1,0,0,0,0,0,0,0,0.0,0.0
54,54,OTR26003,Others,2018/3/20,0,0,0,0,0,9,0,0.0,0.0
55,55,OTR26002,Others,2018/3/19,0,0,0,0,0,14,0,0.0,0.0
56,56,OTR26001,Others,2018/3/18,0,0,0,0,0,7,0,0.0,0.0
57,57,OTR26000,Others,2018/3/17,0,0,0,0,0,14,0,0.0,0.0
58,58,OTR25999,Others,2018/3/16,0,0,0,0,0,17,0,0.0,0.0
59,59,OTR25998,Others,2018/3/15,0,0,0,0,0,15,0,0.0,0.0
60,60,OTR25997,Others,2018/3/14,0,0,0,0,0,33,0,0.0,0.0
61,61,OTR25996,Others,2018/3/13,0,0,0,0,0,20,0,0.0,0.0
62,62,OTR25885,Others,2017/11/0,0,0,0,713,0,0,0,0.0,0.0
63,63,OTR25995,Others,2018/3/12,0,0,0,0,0,17,0,0.0,0.0
64,64,OTR25994,Others,2018/3/11,0,0,0,0,0,19,0,0.0,0.0
65,65,OTR25992,Others,2018/3/10,0,0,0,0,0,19,0,0.0,0.0
66,66,OTR25956,Others,2018/3/6,0,0,0,0,0,10,0,0.0,0.0
67,67,OTR25955,Others,2018/3/5,0,0,0,0,0,12,0,0.0,0.0
68,68,OTR25953,Others,2018/3/4,0,0,0,0,0,6,0,0.0,0.0
69,69,OTR25952,Others,2018/3/3,0,0,0,0,0,12,0,0.0,0.0
70,70,OTR25951,Others,2018/3/2,0,0,0,0,0,9,0,0.0,0.0
71,71,WID25947,Others,2018/3/10,0,0,0,80,0,0,0,0.0,0.0
72,72,OTR26531,Others,2018/4/30,0,0,0,0,0,60,0,0.0,0.0
73,73,OTR26530,Others,2018/4/8,0,0,0,0,0,7,0,0.0,0.0
74,74,OTR25990,Others,2018/3/8,0,0,0,0,0,8,0,0.0,0.0
75,75,OTR25906,Others,2018/4/10,1,0,0,0,0,0,0,0.0,0.0
76,76,OTR25862,Others,2018/3/14,0,1,0,0,0,0,0,0.0,0.0
77,77,OTR25864,Others,2018/3/31,1,0,0,0,0,0,0,0.0,0.0
78,78,OTR25846,Others,2018/3/1,1,0,0,0,0,0,0,0.0,0.0
79,79,OTR26528,Others,2018/4/6,0,0,0,0,0,10,0,0.0,0.0
80,80,OTR25957,Others,2018/3/7,0,0,0,0,0,17,0,0.0,0.0
81,81,OTR25950,Others,2018/3/1,0,0,0,0,0,16,0,0.0,0.0
82,82,OTR25839,Others,2018/3/30,1,1,0,0,0,0,0,0.0,0.0
83,83,OTR25783,Others,2018/2/5,0,0,0,158,0,0,0,0.0,0.0
84,84,OTR25782,Others,2018/2/5,0,0,0,51,0,0,0,0.0,0.0
85,85,OTR25781,Others,2018/2/14,0,0,0,146,0,0,0,0.0,0.0
86,86,OTR25763,Others,2018/3/25,0,3,0,0,0,0,0,0.0,0.0
87,87,OTR25749,Others,2018/2/25,9,0,0,0,0,0,0,0.0,0.0
88,88,OTR25907,Others,2018/4/8,0,1,0,0,0,0,0,0.0,0.0
89,89,OTR25747,Others,2018/2/1,0,0,0,46,0,12,0,0.0,0.0
90,90,OTR25762,Others,2018/2/23,0,0,0,0,0,9,0,0.0,0.0
91,91,OTR25748,Others,2018/1/31,0,0,0,99,0,0,0,0.0,0.0
92,92,OTR25672,Others,2018/2/5,0,0,0,0,0,11,0,0.0,0.0
93,93,OTR25758,Others,2018/3/26,1,0,0,0,0,0,0,0.0,0.0
94,94,OTR25729,Others,2017/11/0,0,0,0,125,0,0,0,0.0,0.0
95,95,OTR25486,Others,2018/1/26,0,0,0,0,0,9,0,0.0,0.0
96,96,OTR25671,Others,2018/2/4,0,0,0,0,0,9,0,0.0,0.0
97,97,OTR25669,Others,2018/2/3,0,0,0,0,0,20,0,0.0,0.0
98,98,OTR25731,Others,2018/1/31,0,0,0,0,0,16,0,0.0,0.0
99,99,OTR25708,Others,2018/2/25,0,0,0,0,0,6,0,0.0,0.0
100,100,OTR25711,Others,2018/2/28,0,0,0,0,0,15,0,0.0,0.0
101,101,OTR25710,Others,2018/2/27,0,0,0,0,0,10,0,0.0,0.0
102,102,OTR25709,Others,2018/2/26,0,0,0,0,0,9,0,0.0,0.0
103,103,OTR25707,Others,2018/2/24,0,0,0,0,0,12,0,0.0,0.0
104,104,OTR25704,Others,2018/3/23,0,0,0,0,0,9,0,0.0,0.0
105,105,OTR25703,Others,2018/2/22,0,0,0,0,0,3,0,0.0,0.0
106,106,OTR25700,Others,2018/2/20,0,0,0,0,0,1,0,0.0,0.0
107,107,OTR25699,Others,2018/2/19,0,0,0,0,0,11,0,0.0,0.0
108,108,OTR25698,Others,2018/2/18,0,0,0,0,0,7,0,0.0,0.0
109,109,OTR25697,Others,2018/2/17,0,0,0,0,0,9,0,0.0,0.0
110,110,OTR25696,Others,2018/2/16,0,0,0,0,0,19,0,0.0,0.0
111,111,OTR25695,Others,2018/2/15,0,0,0,0,0,24,0,0.0,0.0
112,112,OTR25694,Others,2018/2/14,0,0,0,2,0,0,0,0.0,0.0
113,113,OTR25693,Others,2018/2/14,0,0,0,0,0,21,0,0.0,0.0
114,114,OTR25689,Others,2018/2/10,0,0,0,0,0,6,0,0.0,0.0
115,115,OTR25692,Others,2018/2/13,0,0,0,0,0,34,0,0.0,0.0
116,116,OTR25691,Others,2018/2/12,0,0,0,0,0,18,0,0.0,0.0
117,117,OTR25647,Others,2018/3/13,3,0,0,89,0,0,0,0.0,28480000.0
118,118,OTR25643,Others,2018/3/6,0,1,0,0,0,0,0,0.0,0.0
