,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,637,FLOOD,2022/2/22,0,0,0,0,0,0,0,0.0,0.0
1,641,LANDSLIDE,2021/0/0,0,0,0,0,0,0,0,0.0,0.0
2,629,URBAN / RURAL FIRE,2020/9/12,0,0,0,0,0,0,0,4320.54,3985.0
3,642,FLOOD,2021/2/22,0,0,0,0,0,0,0,0.0,0.0
4,638,STORM,2021/5/24,0,0,0,0,0,0,0,0.0,0.0
5,643,HEAVY SNOW,2021/5/20,0,0,0,0,0,0,0,0.0,0.0
6,630,URBAN / RURAL FIRE,2020/1/8,0,0,0,0,0,0,0,5551.1,5120.0
7,631,URBAN / RURAL FIRE,2020/7/4,0,0,0,0,0,0,0,16826.78,15520.0
8,636,EARTHQUAKE,2018/1/4,0,0,0,0,0,0,0,0.0,0.0
9,639,EARTHQUAKE,2021/6/8,0,0,0,0,0,0,0,0.0,0.0
10,640,EARTHQUAKE,2021/11/2,0,0,0,0,0,0,0,0.0,0.0
11,414,URBAN / RURAL FIRE,2021/4/7,0,0,0,0,0,0,0,3295.25,3000.0
12,627,URBAN / RURAL FIRE,2019/7/16,0,0,0,0,0,0,0,4548.22,4195.0
13,626,URBAN / RURAL FIRE,2020/7/13,0,0,0,0,0,0,0,7833.34,7225.0
14,625,URBAN / RURAL FIRE,2019/12/16,0,0,0,0,0,0,0,31707.42,29245.0
15,621,URBAN / RURAL FIRE,2020/7/9,0,0,0,0,0,0,0,1301.04,1200.0
16,623,URBAN / RURAL FIRE,2020/7/2,0,0,0,0,0,0,0,1301.04,1200.0
17,617,URBAN / RURAL FIRE,2020/1/4,0,0,0,0,0,0,0,4336.79,4000.0
18,615,URBAN / RURAL FIRE,2020/8/7,0,0,0,0,0,0,0,4336.79,4000.0
19,614,URBAN / RURAL FIRE,2020/8/4,0,0,0,0,0,0,0,6722.04,6200.0
20,616,URBAN / RURAL FIRE,2020/9/17,0,0,0,0,0,0,0,4336.79,4000.0
21,619,URBAN / RURAL FIRE,2020/4/7,0,0,0,0,0,0,0,2320.19,2140.0
22,613,URBAN / RURAL FIRE,2020/9/17,0,0,0,0,0,0,0,4336.79,4000.0
23,620,URBAN / RURAL FIRE,2020/6/29,0,0,0,0,0,0,0,1951.56,1800.0
24,622,URBAN / RURAL FIRE,2020/6/26,0,0,0,0,0,0,0,2168.39,2000.0
25,624,URBAN / RURAL FIRE,2020/6/25,0,0,0,0,0,0,0,10148.11,9360.0
26,618,URBAN / RURAL FIRE,2020/2/16,0,0,0,0,0,0,0,3294.01,3130.0
27,628,URBAN / RURAL FIRE,2020/9/7,0,0,0,0,0,0,0,5637.84,5200.0
28,596,FLOOD,2019/7/31,0,0,0,0,0,0,0,1029.99,950.0
29,600,THUNDERSTORM,2019/11/9,0,0,0,0,0,0,0,1994.93,1840.0
30,608,URBAN / RURAL FIRE,2020/4/25,0,0,0,0,0,0,0,2608.58,2406.0
31,604,HAIL,2020/9/4,0,0,0,0,0,0,0,1680.51,1550.0
32,606,URBAN / RURAL FIRE,2020/1/28,0,0,0,0,0,0,0,4531.95,4180.0
33,609,URBAN / RURAL FIRE,2020/1/8,0,0,0,0,0,0,0,14289.75,13180.0
34,607,URBAN / RURAL FIRE,2019/10/25,0,0,0,0,0,0,0,4477.74,4130.0
35,597,FLOOD,2020/8/4,0,0,0,0,0,0,0,10059.21,9278.0
36,599,THUNDERSTORM,2019/10/7,0,0,0,0,0,0,0,715.57,660.0
37,612,URBAN / RURAL FIRE,2020/7/9,0,0,0,0,0,0,0,2842.77,2622.0
38,601,THUNDERSTORM,2020/5/1,0,0,0,0,0,0,0,1441.98,1330.0
39,611,URBAN / RURAL FIRE,2019/7/10,0,0,0,0,0,0,0,4640.37,4280.0
40,610,URBAN / RURAL FIRE,2020/7/22,0,0,0,0,0,0,0,4612.18,4254.0
41,603,HAIL,2020/8/27,0,0,0,0,0,0,0,1273.93,1175.0
42,605,HAIL,2020/10/18,0,0,0,0,0,0,0,6396.78,5900.0
43,602,HAIL,2020/8/15,0,0,0,0,0,0,0,118248.24,109065.0
44,592,STORM,2020/10/4,0,0,0,0,0,0,0,9107.28,8400.0
45,590,STORM,2019/12/19,0,0,0,0,0,0,0,1886.51,1740.0
46,594,EARTHQUAKE,2019/11/29,0,0,0,0,0,0,0,384.89,355.0
47,583,STORM,2020/1/20,0,0,0,0,0,0,0,2723.51,2512.0
48,589,STORM,2020/4/20,0,0,0,0,0,0,0,1095.04,1010.0
49,585,STORM,2020/6/10,0,0,0,0,0,0,0,4139.47,3818.0
50,588,STORM,2019/7/9,0,0,0,0,0,0,0,1154.67,1065.0
51,581,URBAN / RURAL FIRE,2018/12/22,0,0,0,0,0,0,0,2711.58,2501.0
52,591,STORM,2020/5/25,0,0,0,0,0,0,0,2276.82,2100.0
53,584,STORM,2020/7/7,0,0,0,0,0,0,0,4098.27,3780.0
54,593,FROST,2020/4/9,0,0,0,0,0,0,0,3295.97,3040.0
55,580,URBAN / RURAL FIRE,2019/3/4,0,0,0,0,0,0,0,2753.87,2540.0
56,586,STORM,2020/5/25,0,0,0,0,0,0,0,2276.82,2100.0
57,595,FLOOD,2019/11/6,0,0,0,0,0,0,0,23197.54,21396.0
58,582,STORM,2020/0/5,0,0,0,0,0,0,0,17596.56,16230.0
59,587,STORM,2020/3/3,0,0,0,0,0,0,0,2537.03,2340.0
60,574,URBAN / RURAL FIRE,2018/12/29,0,0,0,0,0,0,0,3225.49,2975.0
61,575,URBAN / RURAL FIRE,2018/12/25,0,0,0,0,0,0,0,3903.12,3600.0
62,570,URBAN / RURAL FIRE,2019/6/19,0,0,0,0,0,0,0,5157.54,4757.0
63,578,URBAN / RURAL FIRE,2019/9/29,0,0,0,0,0,0,0,1333.56,1230.0
64,568,URBAN / RURAL FIRE,2018/12/28,0,0,0,0,0,0,0,2883.97,2660.0
65,571,URBAN / RURAL FIRE,2019/2/12,0,0,0,0,0,0,0,3122.49,2880.0
66,572,URBAN / RURAL FIRE,2019/2/4,0,0,0,0,0,0,0,4651.22,4290.0
67,577,URBAN / RURAL FIRE,2019/7/16,0,0,0,0,0,0,0,390.31,360.0
68,567,URBAN / RURAL FIRE,2019/4/3,0,0,0,0,0,0,0,9757.79,9000.0
69,573,URBAN / RURAL FIRE,2019/1/4,0,0,0,0,0,0,0,1257.67,1160.0
70,564,THUNDERSTORM,2019/3/12,0,0,0,0,0,0,0,477.05,440.0
71,566,FOREST FIRE / WILD FIRE,2019/6/11,0,0,0,0,0,0,0,1366.09,1260.0
72,569,URBAN / RURAL FIRE,2019/1/30,0,0,0,0,0,0,0,1888.67,1742.0
73,565,THUNDERSTORM,2019/8/26,0,0,0,0,0,0,0,3848.91,3550.0
74,576,URBAN / RURAL FIRE,2019/7/4,0,0,0,0,0,0,0,2168.39,2000.0
75,579,URBAN / RURAL FIRE,2019/7/29,0,0,0,0,0,0,0,1138.41,1050.0
76,561,FLOOD,2019/11/11,0,0,0,0,0,0,0,2831.92,2612.0
77,551,HAIL,2019/6/3,0,0,0,0,0,0,0,4756.8,4376.0
78,560,STORM,2019/5/5,0,0,0,0,0,0,0,13899.44,12820.0
79,558,STORM,2019/9/6,0,0,0,0,0,0,0,1141.37,1050.0
80,563,THUNDERSTORM,2019/10/9,0,0,0,0,0,0,0,3773.01,3480.0
81,553,HAIL,2019/9/14,0,0,0,0,0,0,0,6772.13,6230.0
82,559,STORM,2019/3/11,0,0,0,0,0,0,0,14345.05,13231.0
83,562,HEAVY SNOW,2019/2/20,0,0,0,0,0,0,0,4994.91,4607.0
84,552,HAIL,2019/6/11,0,0,0,0,0,0,0,15461.77,14224.0
85,554,STORM,2019/1/9,0,0,0,0,0,0,0,2059.9,1895.0
86,555,STORM,2019/2/5,0,0,0,0,0,0,0,3103.22,2772.0
87,550,HAIL,2019/5/10,0,0,0,0,0,0,0,9457.07,8700.0
88,557,STORM,2019/4/25,0,0,0,0,0,0,0,3880.66,3570.0
89,548,HAIL,2019/4/30,0,0,0,0,0,0,0,2174.04,2000.0
90,556,STORM,2019/2/23,0,0,0,0,0,0,0,131425.4,120904.31
91,549,HAIL,2019/5/5,0,0,0,0,0,0,0,108028.05,99380.0
92,540,FLOOD,2021/2/19,0,0,0,0,0,0,0,5886.21,5415.0
93,542,FLOOD,2021/2/23,0,0,0,0,0,0,0,1087.02,1000.0
94,546,URBAN / RURAL FIRE,2021/8/24,0,0,0,0,0,0,0,42393.78,39000.0
95,532,STORM,2021/1/8,0,0,0,0,0,0,0,3532.81,3250.0
96,543,URBAN / RURAL FIRE,2021/3/12,0,0,0,0,0,0,0,5978.61,5500.0
97,547,STORM,2021/6/10,0,0,0,0,0,0,0,7495.13,6862.0
98,539,FLOOD,2021/3/5,0,0,0,0,0,0,0,2608.85,2400.0
99,544,URBAN / RURAL FIRE,2021/6/4,0,0,0,0,0,0,0,6848.23,6300.0
100,541,FLOOD,2021/2/15,0,0,0,0,0,0,0,5239.44,4820.0
101,537,STORM,2021/2/14,0,0,0,0,0,0,0,7609.14,7000.0
102,536,FLOOD,2021/2/10,0,0,0,0,0,0,0,122676.73,112856.0
103,533,FLOOD,2021/2/1,0,0,0,0,0,0,0,5956.87,5480.0
104,545,URBAN / RURAL FIRE,2021/7/14,0,0,0,0,0,0,0,11831.13,10884.0
105,534,FLOOD,2021/1/10,0,0,0,0,0,0,0,18800.01,17295.0
106,538,FLOOD,2021/1/31,0,0,0,0,0,0,0,5761.21,5300.0
107,535,FLOOD,2021/1/26,0,0,0,0,0,0,0,10761.5,9900.0
108,524,URBAN / RURAL FIRE,2021/7/21,0,0,0,0,0,0,0,37765.64,34895.0
109,531,STORM,2020/12/28,0,0,0,0,0,0,0,18653.26,17160.0
110,529,URBAN / RURAL FIRE,2020/9/21,0,0,0,0,0,0,0,543.51,500.0
111,526,URBAN / RURAL FIRE,2020/7/24,0,0,0,0,0,0,0,3695.87,3400.0
112,528,THUNDERSTORM,2020/9/22,0,0,0,0,0,0,0,2032.73,1870.0
113,523,STORM,2021/7/1,0,0,0,0,0,0,0,9610.51,8880.0
114,522,STORM,2021/6/11,0,0,0,0,0,0,0,108611.79,100356.0
115,527,URBAN / RURAL FIRE,2020/8/3,0,0,0,0,0,0,0,1826.19,1680.0
116,530,THUNDERSTORM,2020/12/26,0,0,0,0,0,0,0,1413.13,1300.0
117,516,URBAN / RURAL FIRE,2021/1/16,0,0,0,0,0,0,0,1195.9,1105.0
118,517,FLOOD,2021/2/16,0,0,0,0,0,0,0,3246.8,3000.0
119,525,DROUGHT,2021/8/20,0,0,0,0,0,0,0,2705.66,2500.0
120,518,URBAN / RURAL FIRE,2021/3/4,0,0,0,0,0,0,0,3008.7,2780.0
121,519,URBAN / RURAL FIRE,2021/3/19,0,0,0,0,0,0,0,12811.85,11838.0
122,521,URBAN / RURAL FIRE,2021/3/26,0,0,0,0,0,0,0,3896.15,3600.0
123,520,URBAN / RURAL FIRE,2021/3/30,0,0,0,0,0,0,0,5243.57,4845.0
124,514,URBAN / RURAL FIRE,2021/1/27,0,0,0,0,0,0,0,2380.98,2200.0
125,512,URBAN / RURAL FIRE,2020/9/16,0,0,0,0,0,0,0,8224.13,7599.0
126,503,URBAN / RURAL FIRE,2020/8/3,0,0,0,0,0,0,0,1623.4,1500.0
127,511,URBAN / RURAL FIRE,2020/12/3,0,0,0,0,0,0,0,4242.48,3920.0
128,509,THUNDERSTORM,2020/9/23,0,0,0,0,0,0,0,2380.98,2200.0
129,513,FLOOD,2020/12/28,0,0,0,0,0,0,0,13106.23,12110.0
130,515,STORM,2021/2/3,0,0,0,0,0,0,0,4264.12,3940.0
131,506,STORM,2020/8/17,0,0,0,0,0,0,0,17456.93,16130.0
132,505,URBAN / RURAL FIRE,2020/8/3,0,0,0,0,0,0,0,4242.48,3920.0
133,508,URBAN / RURAL FIRE,2020/8/21,0,0,0,0,0,0,0,3355.02,3100.0
134,510,URBAN / RURAL FIRE,2020/11/10,0,0,0,0,0,0,0,2922.12,2700.0
135,504,URBAN / RURAL FIRE,2020/8/10,0,0,0,0,0,0,0,833.34,770.0
136,501,STORM,2020/7/3,0,0,0,0,0,0,0,380.96,352.0
137,500,URBAN / RURAL FIRE,2021/8/27,0,0,0,0,0,0,0,5971.19,5517.31
138,499,URBAN / RURAL FIRE,2021/9/1,0,0,0,0,0,0,0,26645.48,24620.11
139,502,FLOOD,2020/8/4,0,0,0,0,0,0,0,11915.75,11010.0
140,493,STORM,2021/412/21,0,0,0,0,0,0,0,595.51,550.24
141,484,URBAN / RURAL FIRE,2022/1/20,0,0,0,0,0,0,0,8008.76,7400.0
142,482,HAIL,2021/9/18,0,0,0,0,0,0,0,3219.74,2975.0
143,483,STORM,2022/1/10,0,0,0,0,0,0,0,29422.39,27185.94
144,498,URBAN / RURAL FIRE,2021/11/1,0,0,0,0,0,0,0,3306.47,3055.14
145,492,FLOOD,2021/2/9,0,0,0,0,0,0,0,11945.72,11037.7
146,488,EARTHQUAKE,2017/1/4,0,0,0,0,0,0,0,2658181.37,2456128.0
147,497,URBAN / RURAL FIRE,2021/7/26,0,0,0,0,0,0,0,33440.43,30898.56
148,489,STORM,2020/2/6,0,0,0,0,0,0,0,36255.88,33500.0
149,490,HEAVY SNOW,2021/1/12,0,0,0,0,0,0,0,14783.74,13660.0
150,491,HEAVY SNOW,2020/12/0,0,0,0,0,0,0,0,217338.29,200818.0
151,494,FLOOD,2021/3/19,0,0,0,0,0,0,0,9062.02,8373.2
152,495,STORM,2021/2/8,0,0,0,0,0,0,0,2293.8,2119.44
153,496,URBAN / RURAL FIRE,2021/9/20,0,0,0,0,0,0,0,5425.29,5012.9
154,485,STORM,2022/2/7,0,0,0,0,0,0,0,1793.85,1657.5
155,486,STORM,2022/3/9,0,0,0,0,0,0,0,6439.48,5950.0
156,475,STORM,2020/8/19,0,0,0,0,0,0,0,14672.81,13557.5
157,467,URBAN / RURAL FIRE,2020/2/16,0,0,0,0,0,0,0,6742.52,6125.0
158,478,STORM,2020/12/29,0,0,0,0,0,0,0,11496.9,10623.0
159,476,URBAN / RURAL FIRE,2020/9/29,0,0,0,0,0,0,0,2478.39,2290.0
160,477,STORM,2020/10/20,0,0,0,0,0,0,0,1103.91,1020.0
161,464,URBAN / RURAL FIRE,2020/8/1,0,0,0,0,0,0,0,8999.2,8175.0
162,474,FOREST FIRE / WILD FIRE,2020/7/31,0,0,0,0,0,0,0,128669.83,118812.0
163,471,FLOOD,2020/3/4,0,0,0,0,0,0,0,1624.45,1500.0
164,480,STORM,2021/2/10,0,0,0,0,0,0,0,10190.07,9415.5
165,469,STORM,2019/2/0,0,0,0,0,0,0,0,296742.44,274008.0
166,479,FLOOD,2021/1/7,0,0,0,0,0,0,0,33880.31,31305.0
167,470,STORM,2020/1/5,0,0,0,0,0,0,0,25340.39,23445.15
168,466,URBAN / RURAL FIRE,2020/8/5,0,0,0,0,0,0,0,12395.23,11260.0
169,472,STORM,2020/5/25,0,0,0,0,0,0,0,920.52,850.0
170,473,STORM,2020/7/9,0,0,0,0,0,0,0,4140.19,3823.0
171,465,URBAN / RURAL FIRE,2020/2/14,0,0,0,0,0,0,0,20530.29,18650.0
172,462,STORM,2019/12/1,0,0,0,0,0,0,0,2311.72,2100.0
173,461,STORM,2019/11/11,0,0,0,0,0,0,0,5065.97,4602.0
174,459,STORM,2019/11/1,0,0,0,0,0,0,0,8806.559999999998,8000.0
175,463,STORM,2019/12/22,0,0,0,0,0,0,0,11668.69,10600.0
176,458,URBAN / RURAL FIRE,2019/9/1,0,0,0,0,0,0,0,24801.47,22530.0
177,452,STORM,2018/2/2,0,0,0,0,0,0,0,3152.75,2864.0
178,450,URBAN / RURAL FIRE,2018/9/28,0,0,0,0,0,0,0,2053.03,1865.0
179,448,URBAN / RURAL FIRE,2018/6/0,0,0,0,0,0,0,0,1287.69,1170.0
180,449,URBAN / RURAL FIRE,2018/9/2,0,0,0,0,0,0,0,8178.49,7920.0
181,460,STORM,2019/11/25,0,0,0,0,0,0,0,9610.160000000002,8730.0
182,456,STORM,2019/2/22,0,0,0,0,0,0,0,766646.7099999998,696432.4
183,455,THUNDERSTORM,2018/6/17,0,0,0,0,0,0,0,3902.42,3545.0
184,453,HAIL,2018/7/29,0,0,0,0,0,0,0,1761.31,1600.0
185,451,STORM,2018/6/25,0,0,0,0,0,0,0,11008.2,10000.0
186,457,URBAN / RURAL FIRE,2019/7/10,0,0,0,0,0,0,0,10903.62,9905.0
187,454,THUNDERSTORM,2018/6/21,0,0,0,0,0,0,0,45133.22,41000.0
188,431,THUNDERSTORM,2017/6/15,0,0,0,0,0,0,0,5018.6,4569.0
189,447,URBAN / RURAL FIRE,2018/3/18,0,0,0,0,0,0,0,1499.32,1362.0
190,446,URBAN / RURAL FIRE,2018/4/28,0,0,0,0,0,0,0,9678.410000000002,8792.0
191,445,URBAN / RURAL FIRE,2018/7/22,0,0,0,0,0,0,0,6197.92,5630.0
192,430,HAIL,2017/6/1,0,0,0,0,0,0,0,16492.75,15015.0
