,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,6039,Epidemic,2019/6/20,0,0,0,0,0,0,0,0,0
1,1,7010,Fire,2013/1/7,0,0,0,0,0,0,0,0,0
2,2,7009,Fire,2013/1/7,0,0,0,0,0,0,0,0,0
3,3,7008,Fire,2013/1/6,0,0,0,0,0,0,0,0,0
4,4,7007,Fire,2013/1/6,0,0,0,0,0,0,0,0,0
5,5,7006,Fire,2013/1/6,0,0,0,0,0,0,0,0,0
6,6,7005,Fire,2013/1/5,0,0,0,0,0,0,0,0,0
7,7,7004,Fire,2013/1/5,0,0,0,0,0,0,0,0,0
8,8,7003,Fire,2013/1/6,0,0,0,0,0,0,0,0,0
9,9,7002,Fire,2013/1/5,0,0,0,0,0,0,0,0,0
10,10,7001,Fire,2013/1/5,0,0,0,0,0,0,0,0,0
11,11,7000,Fire,2013/1/5,0,0,0,0,0,0,0,0,0
12,12,6999,Fire,2013/1/4,0,0,0,0,0,0,0,0,0
13,13,6998,Fire,2013/1/4,0,0,0,0,0,0,0,0,0
14,14,6997,Fire,2013/1/4,0,0,0,0,0,0,0,0,0
15,15,6996,Fire,2013/1/4,0,0,0,0,0,0,0,0,0
16,16,6995,Fire,2013/1/3,0,0,0,0,0,0,0,0,0
17,17,6994,Fire,2013/1/3,0,0,0,0,0,0,0,0,0
18,18,6993,Fire,2013/1/3,0,0,0,0,0,0,0,0,0
19,19,6992,Fire,2013/1/4,0,0,0,0,0,0,0,0,0
20,20,6991,Fire,2013/1/4,0,0,0,0,0,0,0,0,0
21,21,6990,Fire,2013/1/3,0,0,0,0,0,0,0,0,0
22,22,6989,Fire,2013/1/3,0,0,0,0,0,0,0,0,0
23,23,6988,Fire,2013/1/2,0,0,0,0,0,0,0,0,0
24,24,6985,Fire,2013/1/2,0,0,0,0,0,0,0,0,0
25,25,6984,Fire,2013/1/2,0,0,0,0,0,0,0,0,0
26,26,6983,Fire,2013/1/2,0,0,0,0,0,0,0,0,0
27,27,6982,Fire,2013/1/2,0,0,0,0,0,0,0,0,0
28,28,6981,Fire,2013/1/2,0,0,0,0,0,0,0,0,0
29,29,6980,Fire,2013/1/2,0,0,0,0,0,0,0,0,0
30,30,6979,Fire,2013/1/2,0,0,0,0,0,0,0,0,0
31,31,6974,Fire,2013/1/2,0,0,0,0,0,0,0,0,0
32,32,6973,Fire,2013/1/2,0,0,0,0,0,0,0,0,0
33,33,6972,Fire,2013/1/1,2,0,0,0,0,0,0,0,0
34,34,6971,Fire,2013/1/2,0,0,0,0,0,0,0,0,0
35,35,6970,Fire,2013/1/2,0,0,0,0,0,0,0,0,0
36,36,6969,Fire,2013/1/2,0,0,0,0,7,0,0,0,0
37,37,6968,Fire,2013/1/1,0,0,0,0,0,0,0,0,0
38,38,6967,Fire,2013/1/1,0,0,0,0,13,0,0,0,0
39,39,6966,Fire,2012/12/31,0,0,0,0,0,0,0,0,0
40,40,6965,Fire,2012/12/31,0,0,0,0,0,0,0,0,0
41,41,6964,Fire,2012/12/31,0,0,0,0,0,0,0,0,0
42,42,6963,Fire,2012/12/31,0,0,0,0,0,0,0,0,0
43,43,6962,Fire,2012/12/31,0,0,0,0,0,0,0,0,0
44,44,6961,Fire,2012/12/31,0,0,0,0,0,0,0,0,0
45,45,6960,Fire,2012/12/31,0,0,0,0,0,0,0,0,0
46,46,6940,Animal Infectious disease,2016/3/16,0,0,0,0,0,0,0,0,0
47,47,6939,Animal Infectious disease,2016/3/17,0,0,0,0,0,0,0,0,0
48,48,6938,Animal Infectious disease,2016/3/18,0,0,0,0,0,0,0,0,0
49,49,6934,Earthquake,2016/3/18,0,0,0,0,0,0,0,0,0
50,50,6933,Earthquake,2016/3/18,0,0,0,0,0,0,0,0,0
51,51,6933,Earthquake,2016/3/18,0,0,0,0,0,0,0,0,0
52,52,6932,Earthquake,2016/3/18,0,0,0,0,0,0,0,0,0
53,53,6931,Earthquake,2016/3/7,0,0,0,0,0,0,0,0,0
54,54,6929,Earthquake,2016/3/5,0,0,0,0,0,0,0,0,0
55,55,6928,Earthquake,2016/3/2,0,0,0,0,0,0,0,0,0
56,56,6927,Earthquake,2016/2/29,0,0,0,0,0,0,0,0,0
57,57,6926,Earthquake,2016/3/2,0,0,0,0,0,0,0,0,0
58,58,6925,Earthquake,2016/2/29,0,0,0,0,0,0,0,0,0
59,59,6924,Earthquake,2016/2/27,0,0,0,0,0,0,0,0,0
60,60,6923,Earthquake,2016/2/27,0,0,0,0,0,0,0,0,0
61,61,6922,Animal Infectious disease,2016/3/7,0,0,0,0,0,0,0,0,0
