,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,9123,CHEIAS,2022/11/24,19600,0,0,0,0,0,0,0.0,0
1,1,45669,Epidemic,2009/0/0,5,0,0,0,6393,0,0,0.0,0
2,2,45768,Epidemic,2007/0/0,0,0,0,0,1927,0,0,0.0,0
3,3,45769,Epidemic,2007/0/0,0,0,0,0,564,0,0,0.0,0
4,4,45673,Epidemic,2006/0/0,32,0,0,0,56446,0,0,0.0,0
5,5,101054,CHEIAS,2001/0/0,0,0,0,0,0,0,0,0.0,0
6,6,45671,Epidemic,2005/0/0,22,0,0,0,50409,0,0,0.0,0
7,7,45672,Epidemic,2005/0/0,3,0,0,0,6371,0,0,0.0,0
8,8,45674,Epidemic,2007/0/0,25,0,0,0,73641,0,0,0.0,0
9,9,45825,Drought,2004/4/8,0,0,0,0,0,0,0,0.0,0
10,10,81833,Drought,1995/0/0,0,0,0,0,25000,0,0,0.0,0
11,11,101070,CHEIAS,2000/1/0,5,0,0,1783,8915,0,180,0.0,0
12,12,81828,Pest,1991/0/0,0,0,0,0,0,0,0,0.0,0
13,13,81872,Pest,1998/0/0,0,0,0,0,0,0,0,0.0,0
14,14,101067,Flash Flood,1999/1/0,5,0,0,525,3710,0,2228,0.0,500000
15,15,81576,Flood,1996/0/0,0,0,0,0,0,0,0,0.0,0
16,16,81532,Drought,1997/4/0,0,0,0,0,0,0,0,0.0,0
17,17,81537,Flood,1999/1/0,0,0,0,1136,2202,0,0,0.0,0
18,18,74596,Conflict with Fauna,2004/0/0,2,0,0,0,125,0,0,0.0,0
19,19,27910,Epidemic,2005/0/0,6,0,0,0,11573,0,0,0.0,0
20,20,28035,Epidemic,2005/0/0,0,0,0,0,1331,0,0,0.0,0
21,21,28036,Epidemic,2005/0/0,0,0,0,0,450,0,0,0.0,0
22,22,27912,Epidemic,2005/0/0,0,0,0,0,1331,0,0,0.0,0
23,23,27876,Epidemic,2005/0/0,0,0,0,804,0,0,0,0.0,0
24,24,27875,Epidemic,2005/0/0,0,0,0,2134,0,0,0,0.0,0
25,25,28004,Epidemic,2005/1/0,0,0,0,0,2372,0,0,0.0,0
26,26,93872,Drought,2005/0/0,0,0,0,0,3802,0,0,0.0,0
27,27,100276,Drought,2005/0/0,0,0,0,0,5447,0,0,0.0,0
28,28,93870,Drought,2005/0/0,0,0,0,0,4555,0,0,0.0,0
29,29,81519,Conflict with Fauna,2005/11/0,0,0,0,0,0,0,0,0.0,0
30,30,81671,Conflict with Fauna,2005/0/0,0,0,0,0,0,0,0,0.0,0
31,31,62240,Epidemic,2005/0/0,36,0,0,0,47254,0,0,0.0,0
32,32,62223,Epidemic,2005/0/0,24,0,0,0,44330,0,0,0.0,0
33,33,35970,Epidemic,2005/0/0,43,0,0,0,34373,0,0,0.0,0
34,34,35971,Epidemic,2005/0/0,0,0,0,0,2569,0,0,0.0,0
35,35,36866,Epidemic,2005/0/0,28,0,0,0,32890,0,0,0.0,0
36,36,100660,CHEIAS,1999/1/0,0,0,0,15000,6415,0,0,0.0,0
37,37,100657,CHEIAS,1999/1/0,0,0,0,4910,982,0,0,0.0,0
38,38,100658,CHEIAS,1999/1/0,0,0,0,15970,3194,0,0,0.0,0
39,39,111483,CHEIAS,1998/2/26,2,0,0,0,2103,0,0,0.0,0
40,40,53231,Flood,1997/2/25,1,0,0,0,3975,0,0,0.0,0
41,41,28252,Flood,1998/1/0,0,0,0,0,410,0,0,0.0,0
42,42,111132,Epidemic,2003/2/0,4,0,0,0,196,0,0,0.0,0
43,43,111296,Fire,2004/0/0,0,0,0,0,0,0,0,0.0,0
44,44,28269,CHEIAS,2000/0/0,0,0,0,0,1000,0,0,0.0,0
45,45,100843,CHEIAS,2000/7/24,0,0,0,0,2400,0,0,0.0,0
46,46,28044,Epidemic,2003/0/0,0,0,0,0,72,0,0,0.0,0
47,47,28257,CHEIAS,2000/0/0,0,0,0,0,750,0,0,0.0,0
48,48,28258,Drought,2000/0/0,0,0,0,0,600,0,0,0.0,0
49,49,28254,Drought,2000/0/0,0,0,0,0,2500,0,0,0.0,0
50,50,45417,Epidemic,2001/0/0,18,0,0,0,79386,0,0,0.0,0
51,51,28335,Flood,2006/0/0,0,0,0,0,6555,0,0,0.0,0
52,52,27826,Drought,2006/10/0,0,0,0,0,230,0,0,0.0,0
53,53,27848,Epidemic,2006/0/0,0,0,0,0,2900,0,0,0.0,0
54,54,27829,Conflict with Fauna,2006/10/0,0,0,0,0,7376,0,0,0.0,0
55,55,27948,Pest,2006/1/13,0,0,0,0,0,0,0,0.0,0
56,56,27911,Epidemic,2006/3/28,13,0,0,0,11757,0,0,0.0,0
57,57,28038,Epidemic,2006/2/23,0,0,0,0,464,0,0,0.0,0
58,58,27913,Epidemic,2006/0/0,1,0,0,0,1243,0,0,0.0,0
59,59,27936,Conflict with Fauna,2006/3/27,0,0,0,0,525,0,0,0.0,0
60,60,27921,Conflict with Fauna,2006/5/25,0,0,0,0,0,0,0,0.0,0
61,61,27938,Flood,2006/3/2,0,0,0,0,210,0,0,0.0,0
