,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,3599,FLASH FLOODS,2012/12/31,0,0,0,0,0,0,0,0,0
1,1,3598,FLASH FLOODS,2012/12/31,0,0,0,0,0,0,0,0,0
2,2,3634,FLASH FLOODS,2012/12/30,0,0,0,0,0,0,0,0,0
3,3,3633,FLASH FLOODS,2012/12/30,0,0,0,0,0,0,0,0,0
4,4,3632,FLASH FLOODS,1997/12/12,0,0,0,0,0,0,0,0,0
5,5,3631,FLASH FLOODS,1997/12/12,0,0,0,0,0,0,0,0,0
6,6,3630,FLASH FLOODS,1997/12/27,0,0,0,0,0,0,0,0,0
7,7,3629,FLASH FLOODS,1997/12/23,0,0,0,0,0,0,0,0,0
8,8,3628,FLASH FLOODS,1997/12/22,0,0,0,0,0,0,0,0,0
9,9,3627,FLASH FLOODS,1997/12/22,0,0,0,0,0,0,0,0,0
10,10,3526,FLASH FLOODS,1997/12/17,0,0,0,0,0,0,0,0,0
11,11,3625,FLASH FLOODS,1997/12/16,0,0,0,0,0,0,0,0,0
12,12,3624,FLASH FLOODS,1997/12/16,0,0,0,0,0,0,0,0,0
13,13,3623,FLASH FLOODS,1997/12/16,0,0,0,0,0,0,0,0,0
14,14,3622,FLASH FLOODS,1997/12/15,0,0,0,0,0,0,0,0,0
15,15,3621,FLASH FLOODS,1997/12/15,0,0,0,0,0,0,0,0,0
16,16,3620,FLASH FLOODS,1997/12/12,0,0,0,0,0,0,0,0,0
17,17,3619,FLASH FLOODS,1997/12/6,0,0,0,0,0,0,0,0,0
18,18,3618,FLASH FLOODS,1997/11/27,0,0,0,0,0,0,0,0,0
19,19,3617,FLASH FLOODS,1997/11/14,0,0,0,0,0,0,0,0,0
20,20,3616,FLASH FLOODS,1997/10/23,0,0,0,0,0,0,0,0,0
21,21,3615,FLASH FLOODS,1997/9/28,0,0,0,0,0,0,0,0,0
22,22,3614,FLASH FLOODS,1997/9/25,0,0,0,0,0,0,0,0,0
23,23,3613,FLASH FLOODS,1997/9/20,0,0,0,0,0,0,0,0,0
24,24,3612,FLASH FLOODS,1997/9/12,0,0,0,0,0,0,0,0,0
25,25,3611,FLASH FLOODS,1997/9/2,0,0,0,0,0,0,0,0,0
26,26,3610,FLASH FLOODS,1997/8/19,0,0,0,0,0,0,0,0,0
27,27,3609,FLASH FLOODS,1997/8/15,0,0,0,0,0,0,0,0,0
28,28,3608,FLASH FLOODS,1997/8/8,0,0,0,0,0,0,0,0,0
29,29,3607,FLASH FLOODS,1997/8/8,0,0,0,0,0,0,0,0,0
30,30,3606,FLASH FLOODS,1997/8/7,0,0,0,0,0,0,0,0,0
31,31,3605,FLASH FLOODS,1997/8/6,0,0,0,0,0,0,0,0,0
32,32,3604,FLASH FLOODS,1997/8/2,0,0,0,0,0,0,0,0,0
33,33,3603,FLASH FLOODS,1997/7/30,0,0,0,0,0,0,0,0,0
34,34,3602,FLASH FLOODS,1997/7/25,0,0,0,0,0,0,0,0,0
35,35,3601,FLASH FLOODS,1997/7/2,0,0,0,0,0,0,0,0,0
36,36,3600,FLASH FLOODS,1997/6/30,0,0,0,0,0,0,0,0,0
37,37,3597,FLASH FLOODS,1997/6/20,0,0,0,0,0,0,0,0,0
38,38,3596,FLASH FLOODS,1997/6/16,0,0,0,0,0,0,0,0,0
39,39,3595,FLASH FLOODS,1997/6/13,0,0,0,0,0,0,0,0,0
40,40,3594,FLASH FLOODS,1997/6/12,0,0,0,0,0,0,0,0,0
41,41,3593,FLASH FLOODS,1997/6/11,0,0,0,0,0,0,0,0,0
42,42,3592,FLASH FLOODS,1997/6/10,0,0,0,0,0,0,0,0,0
43,43,3591,FLASH FLOODS,1997/6/10,0,0,0,0,0,0,0,0,0
44,44,3590,FLASH FLOODS,1997/6/9,0,0,0,0,0,0,0,0,0
45,45,3589,FLASH FLOODS,1997/6/5,0,0,0,0,0,0,0,0,0
46,46,3588,FLASH FLOODS,1997/6/4,0,0,0,0,0,0,0,0,0
47,47,3587,FLASH FLOODS,1996/6/3,0,0,0,0,0,0,0,0,0
48,48,3586,FLASH FLOODS,1997/6/2,0,0,0,0,0,0,0,0,0
49,49,3585,FLASH FLOODS,1997/5/29,0,0,0,0,0,0,0,0,0
50,50,3584,FLASH FLOODS,1997/5/29,0,0,0,0,0,0,0,0,0
51,51,3583,FLASH FLOODS,1997/5/27,0,0,0,0,0,0,0,0,0
52,52,3582,FLASH FLOODS,1997/5/26,0,0,0,0,0,0,0,0,0
53,53,3581,FLASH FLOODS,1997/5/23,0,0,0,0,0,0,0,0,0
54,54,3580,FLASH FLOODS,1997/5/22,0,0,0,0,0,0,0,0,0
55,55,3579,FLASH FLOODS,1997/5/22,0,0,0,0,0,0,0,0,0
56,56,3578,FLASH FLOODS,1997/5/20,0,0,0,0,0,0,0,0,0
57,57,3577,FLASH FLOODS,1997/5/20,0,0,0,0,0,0,0,0,0
58,58,3576,FLASH FLOODS,1997/5/19,0,0,0,0,0,0,0,0,0
59,59,3575,FLASH FLOODS,1997/5/17,0,0,0,0,0,0,0,0,0
60,60,3574,FLASH FLOODS,1997/5/16,0,0,0,0,0,0,0,0,0
61,61,3573,FLASH FLOODS,1997/5/13,0,0,0,0,0,0,0,0,0
62,62,3572,FLASH FLOODS,1997/5/12,0,0,0,0,0,0,0,0,0
63,63,3571,FLASH FLOODS,1997/5/12,0,0,0,0,0,0,0,0,0
64,64,3570,FLASH FLOODS,1997/5/9,0,0,0,0,0,0,0,0,0
65,65,3569,FLASH FLOODS,1997/5/8,0,0,0,0,0,0,0,0,0
66,66,3568,FLASH FLOODS,1997/5/1,0,0,0,0,0,0,0,0,0
67,67,3567,FLASH FLOODS,1997/4/30,0,0,0,0,0,0,0,0,0
68,68,3566,FLASH FLOODS,1997/4/30,0,0,0,0,0,0,0,0,0
69,69,3565,FLASH FLOODS,1997/4/30,0,0,0,0,0,0,0,0,0
