,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,3136,HEAVY WINDS,2018/6/6,4,52,0,0,0,0,0,0,0
1,1,3135,FIRE,2018/4/15,0,0,0,0,0,0,0,0,0
2,2,3134,FLOODS,2018/4/14,3,0,0,0,0,0,0,0,0
3,3,3133,FLOODS,2018/4/13,0,0,0,50,0,0,0,0,0
4,4,3132,FLOODS,2018/4/13,0,0,0,89,0,0,0,0,0
5,5,3131,FLOODS,2018/4/13,0,0,0,60,0,0,0,0,0
6,6,3130,FLOODS,2018/4/12,0,0,0,48,0,0,0,0,0
7,7,3129,FLOODS,2018/4/12,0,0,0,74,0,0,0,0,0
8,8,3128,FLOODS,2018/4/12,0,0,0,23,0,0,0,0,0
9,9,3127,FLOODS,2018/4/12,0,0,0,3,0,0,0,0,0
10,10,3126,FLOODS,2018/4/12,0,0,0,3,0,0,0,0,0
11,11,3125,FLOODS,2018/4/12,0,0,0,3,0,0,0,0,0
12,12,3124,FLOODS,2018/4/12,0,0,0,17,0,0,0,0,0
13,13,3123,FLOODS,2018/4/12,0,0,0,2,0,0,0,0,0
14,14,3122,FLOODS,2018/4/12,0,0,0,8,0,0,0,0,0
15,15,3121,FLOODS,2018/4/12,0,0,0,3,0,0,0,0,0
16,16,3120,FLOODS,2018/4/12,0,0,0,2,0,0,0,0,0
17,17,3119,FLOODS,2018/4/12,0,0,0,47,0,0,0,0,0
18,18,3118,FLOODS,2018/4/12,0,0,0,5,0,0,0,0,0
19,19,3117,FLOODS,2018/4/12,0,0,0,19,0,0,0,0,0
20,20,3116,FLOODS,2018/4/12,0,0,0,106,0,0,0,0,0
21,21,3115,FLOODS,2018/4/12,0,0,0,2,0,0,0,0,0
22,22,3114,FLOODS,2018/4/12,0,0,0,3,0,0,0,0,0
23,23,3113,FLOODS,2018/4/12,0,0,0,3,0,0,0,0,0
24,24,3112,FLOODS,2018/4/12,0,0,0,3,0,0,0,0,0
25,25,3111,FLOODS,2018/4/12,0,0,0,3,0,0,0,0,0
26,26,3110,FLOODS,2018/4/12,0,0,0,65,0,0,0,0,0
27,27,3091,FLOODS,2018/4/12,0,0,0,49,0,0,0,0,0
28,28,3090,FLOODS,2018/4/12,0,0,0,2,0,0,0,0,0
29,29,3089,FLOODS,2018/4/12,0,0,0,2,0,0,0,0,0
30,30,3088,FLOODS,2018/4/12,0,0,0,1,0,0,0,0,0
31,31,3087,FLOODS,2018/4/12,0,0,0,50,0,0,0,0,0
32,32,3086,FLOODS,2018/4/12,0,0,0,55,0,0,0,0,0
33,33,3085,FLOODS,2018/4/12,0,0,0,13,0,0,0,0,0
34,34,3084,FLOODS,2018/4/12,0,0,0,5,0,0,0,0,0
35,35,3083,FLOODS,2018/4/12,0,0,0,8,0,0,0,0,0
36,36,3082,FLOODS,2018/4/12,0,0,0,20,0,0,0,0,0
37,37,3081,FLOODS,2018/4/12,0,0,0,6,0,0,0,0,0
38,38,3080,FLOODS,2018/4/12,0,0,0,36,0,0,0,0,0
39,39,3079,FLOODS,2018/4/12,0,0,0,12,0,0,0,0,0
40,40,3078,FLOODS,2018/4/12,0,0,0,25,0,0,0,0,0
41,41,3077,FLOODS,2018/4/12,0,0,0,12,0,0,0,0,0
42,42,3076,FLOODS,2018/4/12,0,0,0,165,0,0,0,0,0
43,43,3075,FLOODS,2018/4/12,0,0,0,45,0,0,0,0,0
44,44,3074,FLOODS,1900/10/18,0,0,0,233,0,0,0,0,0
45,45,3073,FLOODS,1900/10/18,0,0,0,188,0,0,0,0,0
46,46,3072,FLOODS,1900/10/18,0,0,0,90,0,0,0,0,0
