,Serial,Event,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,3446,Vehicle Accident,2011/1/5,1,5,0,0,13,0,0,0,0.0
1,3445,Vehicle Accident,2011/1/4,1,5,0,0,13,0,0,0,0.0
2,3444,Vehicle Accident,2011/7/4,0,2,0,0,2,0,0,0,0.0
3,3443,Vehicle Accident,2011/4/22,1,8,0,0,13,0,0,0,0.0
4,3442,Vehicle Accident,2011/4/18,1,10,0,0,14,0,0,0,0.0
5,3441,Vehicle Accident,2011/8/4,0,10,0,0,14,0,0,0,0.0
6,3440,Vehicle Accident,2011/3/27,1,1,0,0,2,0,0,0,0.0
7,3439,Vehicle Accident,2011/3/27,0,0,0,0,2,0,0,0,0.0
8,3438,Vehicle Accident,2011/3/24,0,5,0,0,5,0,0,0,0.0
9,3437,Vehicle Accident,2011/3/18,1,1,0,0,2,0,0,0,0.0
10,3436,Vehicle Accident,2011/3/15,0,3,0,0,5,0,0,0,0.0
11,3435,Vehicle Accident,2011/11/3,1,11,0,0,12,0,0,0,0.0
12,3422,Vehicle Accident,2009/11/20,1,1,0,0,7,0,0,0,0.0
13,3421,Vehicle Accident,2009/8/11,0,7,0,0,14,0,0,0,0.0
14,3420,Vehicle Accident,2009/7/11,3,1,0,0,4,0,0,0,0.0
15,3419,Vehicle Accident,2009/11/29,0,18,0,0,21,0,0,0,0.0
16,3418,Vehicle Accident,2009/10/27,0,4,0,0,6,0,0,0,0.0
17,3417,Vehicle Accident,2009/10/27,1,0,0,0,12,0,0,0,0.0
18,3416,Vehicle Accident,2009/10/25,1,0,0,0,1,0,0,0,0.0
19,3415,Vehicle Accident,2009/10/15,4,10,0,0,15,0,0,0,0.0
20,3414,Vehicle Accident,2009/10/13,0,6,0,0,14,0,0,0,0.0
21,3413,Vehicle Accident,2009/7/10,0,5,0,0,11,0,0,0,0.0
22,3412,Vehicle Accident,2009/9/26,0,14,0,0,17,0,0,0,0.0
23,3411,Vehicle Accident,2009/9/24,1,5,0,0,6,0,0,0,0.0
24,3398,Vehicle Accident,2009/6/7,2,13,0,0,15,0,0,0,0.0
25,3397,Vehicle Accident,2009/6/28,0,2,0,0,2,0,0,0,0.0
26,3396,Vehicle Accident,2009/6/27,0,8,0,0,10,0,0,0,0.0
27,3395,Vehicle Accident,2009/6/22,3,2,0,0,5,0,0,0,0.0
28,3394,Vehicle Accident,2009/11/6,0,6,0,0,15,0,0,0,0.0
29,3393,Vehicle Accident,2009/7/6,6,12,0,0,18,0,0,0,0.0
30,3392,Vehicle Accident,2009/4/6,0,7,0,0,14,0,0,0,0.0
31,3391,Vehicle Accident,2009/12/5,0,8,0,0,8,0,0,0,0.0
32,3390,Vehicle Accident,2009/9/5,1,0,0,0,3,0,0,0,0.0
33,3389,Vehicle Accident,2009/3/5,1,3,0,0,4,0,0,0,0.0
34,3388,Vehicle Accident,2009/3/17,0,5,0,0,6,0,0,0,0.0
35,3387,Vehicle Accident,2009/4/16,0,2,0,0,2,0,0,0,0.0
36,3482,Vehicle Accident,2011/7/11,0,1,0,0,2,0,0,0,0.0
37,3481,Vehicle Accident,2011/6/11,0,7,0,0,14,0,0,0,0.0
