,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,2013-00235,Fire,2013/12/27,0,0,0,25,0,0,0,0.0,0.0
1,1,2013-00234,Fire,2013/12/23,0,0,0,5,0,0,0,0.0,0.0
2,2,2013-00233,Explosion,2013/12/26,0,0,0,0,33,0,0,0.0,0.0
3,3,2013-00232,Fire,2013/12/23,0,0,0,5,0,0,0,0.0,0.0
4,4,2013-00231,Flood,2013/12/17,0,0,0,0,0,0,0,0.0,0.0
5,5,2013-00230,Flood,2013/12/20,0,0,0,0,0,125,0,0.0,0.0
6,6,2013-00229,Flood,2013/12/16,1,0,0,0,105,25,150,0.0,0.0
7,7,2013-00228,Fire,2013/12/12,0,0,0,5,0,0,0,70000.0,0.0
8,8,2013-00227,Other,2013/12/13,0,0,0,0,0,0,0,0.0,0.0
9,9,2013-00226,Other,2013/12/8,0,0,0,0,0,0,0,0.0,0.0
10,10,2013-00225,Other,2013/12/8,0,18,0,0,0,0,0,0.0,0.0
11,11,2013-00224,Other,2013/12/8,0,0,0,0,0,0,0,0.0,0.0
12,12,2013-00223,Epidemic,2013/12/3,8,0,0,0,8,0,0,0.0,0.0
13,13,2013-00222,Drought,2013/11/28,0,0,0,0,0,0,0,0.0,0.0
14,14,2013-00221,Pollution,2013/11/20,0,0,0,0,0,0,0,0.0,0.0
15,15,2013-00220,Fire,2013/11/17,0,1,0,10,10,0,0,0.0,0.0
16,16,2013-00219,Epidemic,2013/11/17,0,0,0,0,10,0,0,0.0,0.0
17,17,2013-00218,Epidemic,2013/11/14,0,0,0,0,50,0,0,0.0,0.0
18,18,2013-00217,Epidemic,2013/11/13,0,0,0,0,1,0,0,0.0,0.0
19,19,2013-00216,Flood,2013/11/11,0,0,0,0,0,0,0,0.0,0.0
20,20,2013-00215,Epidemic,2013/11/9,0,0,0,0,7,0,0,0.0,0.0
21,21,2013-00214,Epidemic,2013/11/9,1,0,0,0,0,0,0,0.0,0.0
22,22,2013-00213,Epidemic,2013/11/7,1,0,0,0,0,0,0,0.0,0.0
23,23,2013-00212,Epidemic,2013/11/6,0,0,0,0,1,0,0,0.0,0.0
24,24,2013-00211,Epidemic,2013/11/6,0,0,0,0,90,0,0,0.0,0.0
25,25,2013-00210,Other,2013/11/2,0,0,0,0,0,0,0,0.0,0.0
26,26,2013-00209,Other,2013/11/2,0,0,0,0,0,0,0,0.0,0.0
27,27,2013-00208,Epidemic,2013/11/3,0,0,0,0,0,0,0,0.0,0.0
28,28,2013-00207,Epidemic,2013/11/3,1,0,0,0,0,0,0,0.0,0.0
29,29,2013-00206,Fire,2013/10/31,0,0,0,110,0,0,0,0.0,0.0
30,30,2013-00205,Epidemic,2013/10/30,0,0,0,0,0,0,0,0.0,0.0
31,31,2013-00204,Epidemic,2013/10/29,0,0,0,0,86,0,0,0.0,0.0
32,32,2013-00203,Epidemic,2013/10/29,0,0,0,0,130,0,0,0.0,0.0
33,33,2013-00202,Epidemic,2013/10/27,0,0,0,0,38,0,0,0.0,0.0
34,34,2013-00201,Epidemic,2013/10/28,0,0,0,0,60,0,0,0.0,0.0
35,35,2013-00200,Pollution,2013/10/27,1,0,0,0,0,0,0,0.0,0.0
36,36,2013-00199,Epidemic,2013/10/27,0,0,0,0,290,0,0,0.0,0.0
37,37,2013-00198,Epidemic,2013/10/25,0,0,0,0,5,0,0,0.0,0.0
38,38,2013-00197,Epidemic,2013/10/25,0,0,0,0,4,0,0,0.0,0.0
39,39,2013-00196,Epidemic,2013/10/25,0,0,0,0,100,0,0,0.0,0.0
40,40,2013-00195,Epidemic,2013/10/23,1,0,0,0,60,0,0,0.0,0.0
41,41,2013-00194,Epidemic,2013/10/23,2,0,0,0,79,0,0,0.0,0.0
42,42,2013-00193,Other,2013/10/22,0,0,0,0,20000,0,0,0.0,0.0
43,43,2013-00192,Epidemic,2013/10/21,1,0,0,0,0,0,0,0.0,0.0
44,44,2013-00191,Epidemic,2013/10/21,0,0,0,0,6,0,0,0.0,0.0
45,45,2013-00190,Epidemic,2013/10/18,0,0,0,0,0,0,0,0.0,0.0
46,46,2013-00189,Epidemic,2013/10/14,1,0,0,0,528,0,0,0.0,0.0
47,47,2013-00188,Flood,2013/10/8,0,0,0,0,50,0,0,0.0,0.0
48,48,2013-00187,Flood,2013/10/6,0,0,0,0,0,0,0,0.0,0.0
49,49,2013-00186,Other,2013/10/5,1,0,0,0,0,0,0,0.0,0.0
50,50,2013-00185,Epidemic,2013/10/3,0,0,0,0,87,0,0,0.0,0.0
51,51,2013-00184,Epidemic,2013/10/3,0,0,0,0,190,0,0,0.0,0.0
52,52,2013-00183,Torrential Flood,2013/9/29,0,0,0,0,0,0,55,0.0,0.0
53,53,2013-00182,Structural Collapse,2013/9/29,0,0,0,0,0,0,0,0.0,0.0
54,54,2013-00181,Flood,2013/9/28,0,0,0,0,980,0,0,0.0,0.0
55,55,2013-00180,Tornado,2013/9/26,0,0,0,30,0,0,0,0.0,0.0
56,56,2013-00179,Tornado,2013/9/26,0,0,0,0,20,0,0,0.0,0.0
57,57,2013-00178,Pollution,2013/9/23,0,0,0,0,0,0,0,0.0,0.0
