,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,130951,COLD WAVE,2013/12/30,1,0,0,0,0,0,0,0,0.0
1,1,130950,COLD WAVE,2013/12/30,1,0,0,0,0,0,0,0,0.0
2,2,130949,COLD WAVE,2013/12/30,1,0,0,0,0,0,0,0,0.0
3,3,130948,FIRE,2013/12/30,0,0,0,0,0,0,0,0,1200000.0
4,4,130947,COLD WAVE,2013/12/28,1,0,0,0,0,0,0,0,0.0
5,5,130946,COLD WAVE,2013/12/28,1,0,0,0,0,0,0,0,0.0
6,6,130945,COLD WAVE,2013/12/28,1,0,0,0,0,0,0,0,0.0
7,7,130944,Epidemic,2013/12/29,1,0,0,0,0,0,0,0,0.0
8,8,130943,FIRE,2013/12/28,3,0,0,0,0,0,0,0,0.0
9,9,130942,COLD WAVE,2013/12/28,1,0,0,0,0,0,0,0,0.0
10,10,130941,COLD WAVE,2013/12/29,2,0,0,0,0,0,0,0,0.0
11,11,130940,COLD WAVE,2013/12/28,1,0,0,0,0,0,0,0,0.0
12,12,130939,COLD WAVE,2013/12/28,1,0,0,0,0,0,0,0,0.0
13,13,130938,COLD WAVE,2013/12/28,1,0,0,0,0,0,0,0,0.0
14,14,130937,COLD WAVE,2013/12/26,1,0,0,0,0,0,0,0,0.0
15,15,130936,COLD WAVE,2013/12/24,1,0,0,0,0,0,0,0,0.0
16,16,130935,ACCIDENT,2013/12/26,0,0,2,0,0,0,0,0,0.0
17,17,130934,COLD WAVE,2013/12/28,1,0,0,0,0,0,0,0,0.0
18,18,130933,FIRE,2013/12/27,2,0,0,0,5,5,0,0,1500000.0
19,19,130932,FIRE,2013/12/27,0,0,0,0,5,0,0,0,400000.0
20,20,130931,COLD WAVE,2013/12/27,1,0,0,0,0,0,0,0,0.0
21,21,130930,COLD WAVE,2013/12/27,1,0,0,0,0,0,0,0,0.0
22,22,130929,FIRE,2013/12/26,1,0,0,0,5,5,0,0,0.0
23,23,130928,FIRE,2013/12/26,0,0,0,0,5,5,0,0,0.0
24,24,130927,FIRE,2013/12/26,0,0,0,0,5,5,0,0,300000.0
25,25,130926,FIRE,2013/12/25,0,0,0,0,5,5,0,0,400000.0
26,26,130925,FIRE,2013/12/23,0,2,0,0,15,15,0,0,2600000.0
27,27,130924,FIRE,2013/12/22,1,0,0,0,5,5,0,0,100000.0
28,28,130923,ACCIDENT,2013/12/23,2,2,0,0,0,0,0,0,0.0
29,29,130922,FIRE,2013/12/22,0,0,0,0,5,5,0,0,266500.0
30,30,130921,FIRE,2013/12/22,0,0,0,0,15,5,0,0,2000000.0
31,31,130920,FIRE,2013/12/20,0,0,0,0,5,5,0,0,120000.0
32,32,130919,FIRE,2013/12/19,1,0,0,0,0,0,0,0,0.0
33,33,130918,COLD WAVE,2013/12/17,1,0,0,0,0,0,0,0,0.0
34,34,130917,STRONG WIND,2013/12/14,0,0,0,0,220,0,0,0,0.0
35,35,130916,STRONG WIND,2013/12/15,0,0,0,0,347,10,0,0,0.0
36,36,130915,FIRE,2013/12/14,0,0,0,0,40,30,0,0,0.0
37,37,130914,FIRE,2013/12/13,0,0,0,0,5,5,0,0,3300000.0
38,38,130913,ACCIDENT,2013/12/14,0,0,1,0,0,0,1,0,0.0
39,39,130912,FIRE,2013/12/12,0,0,0,0,15,15,0,0,5300000.0
40,40,130911,FIRE,2013/12/11,0,0,0,0,50,50,0,0,1200000.0
41,41,130910,FIRE,2013/12/11,0,0,0,0,5,5,0,0,1200000.0
42,42,130909,FIRE,2013/12/9,1,1,0,0,5,5,0,0,160000.0
