,Serial,Event,Country,Country Code,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,3994.0,DR - Drought,Tuvalu,TUV,2022/8/0,0,0,0,0,0,0,0,0.0,0
1,3993.0,DR - Drought,Tuvalu,TUV,2021/9/8,0,0,0,0,0,0,0,0.0,0
2,3992.0,TC - Tropical Cyclone,Tuvalu,TUV,2020/1/20,0,0,0,0,0,0,200,0.0,0
3,3991.0,FL - Flood,Federated States of Micronesia,FSM,2021/12/8,0,0,0,0,0,0,0,0.0,0
4,3990.0,LS - Landslide,Papua New Guinea,PNG,2020/4/10,10,0,0,0,0,0,0,0.0,0
5,3989.0,FL - Flood,Papua New Guinea,PNG,2021/12/4,0,0,0,0,0,0,0,0.0,0
6,3988.0,VO - Volcano,Tonga,TON,2022/1/14,3,0,0,0,0,0,0,0.0,0
7,3985.0,FL - Flood,Marshall Islands,MHL,2019/11/27,0,0,0,0,0,0,200,0.0,0
8,3984.0,FL - Flood,Vanuatu,VUT,2018/503/31,0,0,0,0,0,0,0,0.0,0
9,3983.0,EQ - Earthquake,Solomon Islands,SLB,2010/1/4,0,0,0,0,0,0,0,0.0,0
10,3982.0,LS - Landslide,Fiji,FJI,2019/4/24,0,0,0,0,0,0,0,0.0,0
11,3981.0,FL - Flood,Fiji,FJI,2019/4/22,0,0,0,0,0,0,0,0.0,0
12,3980.0,FL - Flood,Fiji,FJI,2017/2/8,0,0,0,0,0,0,0,0.0,0
13,3979.0,EQ - Earthquake,Fiji,FJI,2017/1/4,0,0,0,0,0,0,0,0.0,0
14,3978.0,LS - Landslide,Fiji,FJI,2019/2/19,0,0,0,0,0,0,0,0.0,0
15,3977.0,TC - Tropical Cyclone,Fiji,FJI,2017/5/9,0,0,0,0,0,0,0,0.0,0
16,3975.0,LS - Landslide,Vanuatu,VUT,2018/9/12,0,0,0,0,0,0,0,0.0,0
17,3973.0,VO - Volcano,Vanuatu,VUT,2018/3/18,0,0,0,0,0,0,0,0.0,0
18,3972.0,EQ - Earthquake,Vanuatu,VUT,2018/12/5,0,0,0,0,0,0,0,0.0,0
19,3971.0,VO - Volcano,Vanuatu,VUT,2018/12/15,0,0,0,0,0,0,0,0.0,0
20,3969.0,VO - Volcano,Vanuatu,VUT,2018/7/19,0,0,0,0,0,0,0,0.0,0
21,3968.0,VO - Volcano,Vanuatu,VUT,2020/3/31,0,0,0,0,0,0,0,0.0,0
22,3967.0,VO - Volcano,Vanuatu,VUT,2017/9/22,0,0,0,0,0,0,0,0.0,0
23,3966.0,LS - Landslide,Vanuatu,VUT,2013/10/24,0,0,0,0,0,0,0,0.0,0
24,3965.0,TC - Tropical Cyclone,Fiji,FJI,2016/12/19,0,0,0,0,0,0,0,0.0,0
25,3964.0,TC - Tropical Cyclone,Solomon Islands,SLB,2019/2/11,0,0,0,0,0,0,0,0.0,0
26,3963.0,TC - Tropical Cyclone,Solomon Islands,SLB,2018/1/24,0,0,0,0,0,0,0,0.0,0
27,3962.0,EQ - Earthquake,Solomon Islands,SLB,2016/12/9,0,0,0,0,0,0,0,0.0,0
28,3961.0,TC - Tropical Cyclone,Solomon Islands,SLB,2015/3/10,0,0,0,0,0,0,0,0.0,0
29,3960.0,FL - Flood,Solomon Islands,SLB,2018/2/28,0,0,0,0,0,0,0,0.0,0
30,3959.0,FL - Flood,Solomon Islands,SLB,2020/3/10,0,0,0,0,0,0,0,0.0,0
31,3958.0,TC - Tropical Cyclone,Solomon Islands,SLB,2018/12/27,0,0,0,0,0,0,0,0.0,0
32,3957.0,LS - Landslide,Solomon Islands,SLB,2019/9/10,0,0,0,0,0,0,0,0.0,0
33,3956.0,TC - Tropical Cyclone,Solomon Islands,SLB,2017/12/5,0,0,0,0,0,0,0,0.0,0
34,3954.0,TC - Tropical Cyclone,Tonga,TON,2013/3/6,0,0,0,0,0,0,0,0.0,0
35,3946.0,TC - Tropical Cyclone,Fiji,FJI,2016/4/6,0,0,0,0,0,0,8000,0.0,0
36,3945.0,TC - Tropical Cyclone,Samoa,WSM,2016/4/23,0,0,0,0,137185,0,60,0.0,0
37,3944.0,TC - Tropical Cyclone,Vanuatu,VUT,2017/4/8,0,0,0,0,0,0,1500,0.0,0
38,3943.0,TC - Tropical Cyclone,New Caledonia,NCL,2017/4/10,1,4,0,0,20000,0,100,0.0,0
39,3942.0,TC - Tropical Cyclone,Solomon Islands,SLB,2017/5/4,2,0,0,0,10000,0,0,0.0,0
40,3941.0,TC - Tropical Cyclone,Vanuatu,VUT,2017/5/4,0,0,0,0,0,0,2700,0.0,0
41,3940.0,TC - Tropical Cyclone,Samoa,WSM,2018/2/9,0,3,0,0,0,0,233,0.0,2500000
42,3939.0,TC - Tropical Cyclone,American Samoa,ASM,2018/2/7,0,0,0,3000,0,0,0,0.0,0
43,3937.0,TC - Tropical Cyclone,New Caledonia,NCL,2018/3/9,0,0,0,0,0,0,651,0.0,0
44,3936.0,FL - Flood,Kiribati,KIR,2019/1/2,0,0,0,0,0,0,0,0.0,0
45,3935.0,TC - Tropical Cyclone,Fiji,FJI,2019/2/27,0,0,0,0,0,9,0,0.0,0
46,3934.0,TC - Tropical Cyclone,Solomon Islands,SLB,2018/9/26,1,0,0,0,0,0,0,0.0,0
47,3933.0,TC - Tropical Cyclone,Solomon Islands,SLB,2019/11/24,0,0,0,0,0,0,0,0.0,0
48,3932.0,TC - Tropical Cyclone,Samoa,WSM,2020/2/22,0,0,0,0,0,0,0,0.0,0
49,3931.0,TC - Tropical Cyclone,Tonga,TON,2020/12/14,0,0,0,0,0,0,0,0.0,0
50,3930.0,TC - Tropical Cyclone,Niue,NIU,2020/12/15,0,0,0,0,0,0,0,0.0,0
51,3928.0,TC - Tropical Cyclone,Vanuatu,VUT,2018/3/6,1,2,0,0,0,969,0,0.0,0
52,3927.0,VO - Volcano,Solomon Islands,SLB,2018/3/21,2,0,0,0,0,0,0,0.0,0
53,3926.0,TC - Tropical Cyclone,Fiji,FJI,2019/1/2,0,0,0,0,0,0,2104,0.0,0
54,3925.0,TC - Tropical Cyclone,Solomon Islands,SLB,2019/1/5,2,0,3,0,0,0,0,0.0,0
55,3924.0,EP - Epidemic,Marshall Islands,MHL,2019/6/25,2,3884,0,0,0,0,2000,0.0,0
56,3923.0,TC - Tropical Cyclone,Vanuatu,VUT,2019/2/13,0,1,0,0,0,0,1000,0.0,0
57,3922.0,TC - Tropical Cyclone,New Caledonia,NCL,2019/2/18,0,1,0,0,7500,0,0,0.0,0
58,3921.0,FL - Flood,Papua New Guinea,PNG,2019/2/20,2,0,0,0,0,0,0,0.0,0
59,3920.0,TC - Tropical Cyclone,American Samoa,ASM,2020/2/21,0,0,0,0,0,0,358,0.0,0
60,3919.0,VO - Volcano,Papua New Guinea,PNG,2019/7/5,0,0,0,0,0,0,0,0.0,0
61,3918.0,VO - Volcano,Papua New Guinea,PNG,2019/10/1,0,0,0,0,0,6200,0,0.0,0
