,Serial,Event,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,2013-00515,Inundación,2013/1/23,0,0,0,0,535,0,0,0.0,0.0
1,2013-00514,Inundación,2013/1/23,0,0,0,0,535,0,0,0.0,0.0
2,2013-00513,Inundación,2013/1/23,0,0,0,0,535,0,0,0.0,0.0
3,2013-00508,Incendio,2013/7/25,0,0,0,0,0,0,0,0.0,0.0
4,2013-00507,Epidemia,2013/7/30,1,0,0,0,0,0,0,0.0,0.0
5,2013-00506,Epidemia,2013/7/30,1,0,0,0,0,0,0,0.0,0.0
6,2013-00505,Epidemia,2013/7/30,1,0,0,0,0,0,0,0.0,0.0
7,2013-00504,Epidemia,2013/7/23,1,0,0,0,0,0,0,0.0,0.0
8,2013-00503,Epidemia,2013/7/19,1,2,0,0,0,0,0,0.0,0.0
9,2013-00502,Epidemia,2013/7/17,0,3,0,0,0,0,0,0.0,0.0
10,2013-00501,Epidemia,2013/7/17,0,1,0,0,0,0,0,0.0,0.0
11,2013-00500,Epidemia,2013/7/17,0,1,0,0,0,0,0,0.0,0.0
12,2013-00499,Epidemia,2013/6/29,22,0,0,0,0,0,0,0.0,0.0
13,2013-00498,Epidemia,2013/6/29,36,0,0,0,0,0,0,0.0,0.0
14,2013-00497,Epidemia,2013/6/29,17,4143,0,0,0,0,0,0.0,0.0
15,2013-00496,Contaminación,2013/10/31,0,0,0,0,0,0,0,0.0,0.0
16,2013-00495,Epidemia,2013/11/12,0,20,0,0,0,0,0,0.0,0.0
17,2013-00494,Incendio,2013/9/28,0,0,0,0,2,0,0,0.0,0.0
18,2013-00491,Incendio,2013/9/26,0,0,0,0,60,0,0,0.0,0.0
19,2013-00490,Sismo,2013/9/25,0,12,0,0,375,0,0,0.0,0.0
20,2013-00488,Incendio,2013/9/22,0,0,0,0,0,0,0,0.0,0.0
21,2013-00484,Explosión,2013/9/17,0,0,0,0,65,0,0,0.0,0.0
22,2013-00483,Intoxicación,2013/9/17,0,0,0,0,70,0,0,0.0,0.0
23,2013-00482,Explosión,2013/9/17,0,8,0,100,0,0,0,0.0,0.0
24,2013-00480,Inundación,2013/9/14,0,1,0,320,130,0,0,0.0,0.0
25,2013-00478,Incendio forestal,2013/9/13,0,0,0,0,0,0,0,0.0,0.0
26,2013-00477,Ola de frío,2013/9/12,0,0,0,0,4703,0,0,0.0,0.0
27,2013-00476,Contaminación,2013/9/11,0,0,0,0,0,0,0,0.0,0.0
28,2013-00475,Vendaval,2013/9/9,0,0,0,0,0,0,0,0.0,0.0
29,2013-00473,Actividad Volcánica,2013/9/5,0,0,0,0,0,60,0,0.0,0.0
30,2013-00472,Contaminación,2013/9/4,0,0,0,0,0,0,0,0.0,0.0
31,2013-00470,Helada,2013/8/31,6,0,0,0,0,0,0,0.0,0.0
32,2013-00463,Incendio,2013/12/21,0,2,0,0,325,0,0,0.0,0.0
33,2013-00461,Incendio,2013/12/11,0,0,0,0,0,0,0,0.0,0.0
34,2013-00456,Incendio,2013/12/16,0,0,0,0,15,0,0,0.0,0.0
35,2013-00446,Epidemia,2013/12/10,1,0,0,0,0,0,0,0.0,0.0
36,2013-00445,Incendio,2013/12/10,0,0,0,0,13,0,0,0.0,0.0
37,2013-00441,Contaminación,2013/12/9,0,0,0,0,0,0,0,0.0,0.0
38,2013-00439,Explosión,2013/10/9,1,1,0,0,0,0,0,0.0,0.0
39,2013-00438,Contaminación,2013/12/8,0,0,0,0,0,0,0,0.0,0.0
40,2013-00436,Aluvión (Huayco),2013/12/6,2,0,0,0,0,0,0,0.0,0.0
41,2013-00435,Aluvión (Huayco),2013/12/6,0,0,0,35,35,0,0,0.0,0.0
42,2013-00434,Incendio,2013/12/5,2,0,0,0,0,0,0,0.0,0.0
43,2013-00428,Explosión,2013/8/27,1,0,0,0,0,0,0,0.0,0.0
44,2013-00426,Explosión,2013/8/27,0,4,0,0,0,0,0,0.0,0.0
45,2013-00424,Nevada,2013/8/26,0,0,5,0,6000,0,0,0.0,0.0
46,2013-00423,Nevada,2013/8/25,0,0,0,0,200,0,0,0.0,0.0
47,2013-00417,Accidente,2013/8/20,3,5,0,0,0,0,0,0.0,0.0
48,2013-00416,Incendio,2013/8/20,0,13,0,0,0,0,0,0.0,0.0
49,2013-00408,Inundación,2013/8/15,0,0,0,0,0,0,0,0.0,0.0
50,2013-00407,Deslizamiento,2013/11/26,0,0,0,0,0,0,0,0.0,0.0
51,2013-00406,Contaminación,2013/8/12,0,0,0,0,1000,0,0,0.0,0.0
52,2013-00404,Inundación,2013/8/8,0,0,0,0,0,0,0,0.0,0.0
53,2013-00403,Incendio,2013/11/24,0,3,0,0,60,0,0,0.0,0.0
54,2013-00402,Epidemia,2013/8/1,1,0,0,0,0,0,0,0.0,0.0
55,2013-00401,Accidente,2013/11/22,4,3,0,0,0,0,0,0.0,0.0
56,2013-00400,Contaminación,2013/11/22,0,0,0,0,0,0,0,0.0,0.0
57,2013-00393,Intoxicación,2013/11/12,0,18,0,0,0,0,0,0.0,0.0
58,2013-00390,Incendio,2013/11/12,0,0,0,0,5,0,0,0.0,0.0
59,2013-00389,Incendio forestal,2013/8/1,0,0,0,0,2500,0,0,0.0,0.0
60,2013-00388,Inundación,2013/11/17,0,0,0,0,0,0,0,0.0,0.0
61,2013-00384,Tormenta eléctrica,2013/10/30,1,2,0,0,0,0,0,0.0,0.0
62,2013-00382,Aluvión (Huayco),2013/10/30,3,3,0,0,0,0,0,0.0,0.0
63,2013-00381,Contaminación,2013/10/29,0,0,0,0,0,0,0,0.0,0.0
64,2013-00380,Accidente,2013/11/6,3,0,0,0,0,0,0,0.0,0.0
65,2013-00379,Contaminación,2013/11/3,0,0,0,0,0,0,0,0.0,0.0
66,2013-00378,Aluvión (Huayco),2013/10/25,3,0,0,0,0,0,0,0.0,0.0
67,2013-00377,Aluvión (Huayco),2013/11/31,0,0,0,0,0,0,0,0.0,0.0
68,2013-00376,Inundación,2013/10/20,1,8,0,150,332,0,0,0.0,0.0
69,2013-00374,Inundación,2013/10/19,0,0,0,0,150,0,0,0.0,0.0
70,2013-00372,Aluvión (Huayco),2013/10/31,0,0,0,0,0,0,0,0.0,0.0
71,2013-00371,Aluvión (Huayco),2013/10/31,0,0,0,0,0,0,0,0.0,0.0
72,2013-00369,Aluvión (Huayco),2013/10/31,0,0,0,0,150,0,0,0.0,0.0
73,2013-00367,Explosión,2013/10/7,0,0,0,5,0,0,0,0.0,0.0
74,2013-00366,Vendaval,2013/10/6,0,0,0,0,57,0,0,0.0,0.0
75,2013-00364,Intoxicación,2013/10/5,5,0,0,0,68,0,0,0.0,0.0
76,2013-00363,Incendio,2013/10/4,0,0,0,5,0,0,0,0.0,0.0
77,2013-00359,Incendio,2013/9/30,0,0,0,0,0,0,0,0.0,0.0
78,2013-00358,Incendio,2013/9/30,0,0,0,5,0,0,0,0.0,0.0
79,2013-00357,Erosión,2013/7/30,0,0,0,0,0,0,0,0.0,0.0
80,2013-00354,Incendio,2013/7/24,0,10,0,0,0,0,0,0.0,0.0
81,2013-00351,Explosión,2013/7/19,0,1,0,0,0,0,0,0.0,0.0
82,2013-00350,Epidemia,2013/7/19,17,0,0,0,0,0,0,0.0,0.0
83,2013-00349,Helada,2013/7/19,0,59471,0,0,0,0,0,0.0,0.0
84,2013-00348,Helada,2013/7/19,33,0,0,0,0,0,0,0.0,0.0
85,2013-00347,Deslizamiento,2013/7/19,0,0,0,0,0,0,0,0.0,0.0
86,2013-00346,Incendio,2013/7/18,0,0,0,0,0,0,0,0.0,0.0
87,2013-00345,Colapso estructural,2013/7/18,0,0,0,0,0,0,0,0.0,0.0
88,2013-00344,Incendio,2013/7/17,0,0,0,35,0,0,0,0.0,0.0
89,2013-00343,Deslizamiento,2013/7/17,0,0,0,0,0,0,0,0.0,0.0
90,2013-00342,Sismo,2013/7/17,0,7,0,30,3,0,0,0.0,0.0
91,2013-00341,Sismo,2013/7/17,0,0,0,50,0,0,0,0.0,0.0
92,2013-00340,Sismo,2013/7/17,0,0,0,200,0,0,0,0.0,0.0
93,2013-00339,Sismo,2013/7/17,0,0,0,165,0,0,0,0.0,0.0
94,2013-00338,Sismo,2013/7/16,0,2,0,110,0,0,0,0.0,0.0
95,2013-00337,Sismo,2013/7/17,0,0,0,330,530,0,0,0.0,0.0
96,2013-00335,Accidente,2013/7/16,3,0,0,0,0,0,0,0.0,0.0
97,2013-00333,Biológico,2013/7/16,0,0,0,0,0,0,0,0.0,0.0
98,2013-00332,Marejada,2013/7/14,0,0,0,0,600,0,0,0.0,0.0
99,2013-00331,Accidente,2013/7/12,0,2,0,0,0,0,0,0.0,0.0
100,2013-00330,Contaminación,2013/7/12,0,0,0,0,0,0,0,0.0,0.0
101,2013-00329,Incendio,2013/7/11,2,0,0,0,0,0,0,0.0,0.0
