,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,2017-00073,Frost,2017/7/21,0,0,0,0,0,0,0,0,0
1,1,1981-00014,Fire,1981/9/4,0,0,0,0,0,0,0,0,0
2,2,1981-00013,Fire,1981/8/12,0,2,0,0,0,0,0,0,0
3,3,1981-00012,Fire,1981/7/23,0,0,0,0,0,0,0,0,0
4,4,1981-00011,Fire,1981/7/17,0,0,0,0,0,0,0,0,0
5,5,1981-00010,Fire,1981/7/5,0,0,0,0,0,0,0,0,0
6,6,1981-00009,Fire,1981/6/17,0,0,0,0,0,0,0,0,0
7,7,1981-00008,Fire,1981/6/14,0,0,0,0,0,0,0,0,0
8,8,1981-00007,Fire,1981/5/31,0,0,0,0,0,0,0,0,0
9,9,1981-00006,Fire,1981/5/16,0,0,0,0,0,0,0,0,0
10,10,1981-00005,Fire,1981/3/3,0,1,0,0,0,0,0,0,0
11,11,1981-00004,Flood,1981/3/2,0,0,0,0,0,0,0,0,0
12,12,1981-00003,Rain,1981/2/13,0,0,0,0,0,0,0,0,0
13,13,1981-00002,Flood,1981/2/4,0,0,0,0,0,0,0,0,0
14,14,1981-00001,Fire,1981/1/24,0,0,0,0,0,0,0,0,0
15,15,1982-00017,Landslide,1982/10/28,0,0,0,0,0,0,0,0,0
16,16,1982-00016,Fire,1982/10/27,0,0,0,0,0,0,0,0,5000000
17,17,1982-00015,Fire,1982/10/19,0,0,0,0,0,0,0,0,0
18,18,1982-00014,Fire,1982/10/1,0,0,0,0,0,0,0,0,0
19,19,1982-00013,Landslide,1982/8/10,0,0,0,0,0,0,0,0,0
20,20,1982-00012,Flood,1982/7/19,0,0,0,290,0,0,0,0,0
21,21,1982-00011,Flood,1982/7/7,0,0,0,0,0,0,0,0,0
22,22,1982-00010,Fire,1982/6/24,0,0,0,0,0,0,0,0,0
23,23,1982-00009,Flood,1982/6/24,0,0,0,0,0,0,0,0,0
24,24,1982-00008,Flood,1982/6/23,0,0,0,1466,0,0,0,0,0
25,25,1982-00007,Flood,1982/6/10,0,0,0,0,0,0,0,0,0
26,26,1982-00006,Fire,1982/4/19,0,0,0,0,0,0,0,0,0
27,27,1982-00005,Fire,1982/4/19,0,1,0,0,0,0,0,0,0
28,28,1982-00004,Flood,1982/4/8,0,0,0,0,0,0,0,0,0
29,29,1982-00003,Structural Collapse,1982/3/8,0,0,0,0,0,0,0,0,0
30,30,1982-00002,Severe Storm,1982/2/10,0,0,0,0,0,0,0,0,0
31,31,1982-00001,Drought,1982/2/1,0,0,0,0,0,0,0,0,0
32,32,1983-00019,Fire,1983/12/7,0,3,0,0,0,0,0,0,0
33,33,1983-00018,Fire,1983/10/31,0,0,0,0,0,0,0,0,0
34,34,1983-00017,Fire,1983/9/28,0,0,0,0,0,0,0,0,0
35,35,1983-00016,Fire,1983/9/8,0,0,0,0,0,0,0,0,0
36,36,1983-00015,Flood,1983/6/15,0,0,0,0,0,0,0,0,0
37,37,1983-00014,Flood,1983/6/14,0,0,0,23834,0,0,0,0,0
38,38,1983-00013,Fire,1983/3/5,0,4,0,0,50,0,0,0,0
39,39,1983-00012,Flood,1983/3/5,0,0,0,0,0,0,2000,0,0
40,40,1983-00011,Flood,1983/3/3,0,0,0,2000,850,0,0,0,0
41,41,1983-00010,Flood,1983/3/3,0,0,0,1200,1000,0,0,0,0
42,42,1983-00009,Flood,1983/2/21,0,0,0,0,0,0,0,0,0
43,43,1983-00008,Flood,1983/2/21,0,0,0,1000,850,0,0,0,0
44,44,1983-00007,Flood,1983/2/17,0,0,0,0,0,0,0,0,0
45,45,1983-00006,Fire,1983/2/15,0,0,0,0,0,0,0,0,0
46,46,1983-00005,Fire,1983/2/2,0,0,0,0,5,0,0,0,0
47,47,1983-00004,Rain,1983/1/26,0,0,0,0,0,0,0,0,0
48,48,1983-00003,Severe Storm,1983/1/13,0,0,0,0,0,0,0,0,0
49,49,1983-00002,Fire,1983/1/12,0,0,0,0,0,0,0,0,0
50,50,1983-00001,Fire,1983/1/6,0,3,0,0,0,0,0,0,0
51,51,1984-00022,Fire,1984/12/14,0,0,0,0,0,0,0,0,0
52,52,1984-00021,Fire,1984/12/3,0,0,0,0,0,0,0,0,0
53,53,1984-00020,Fire,1984/9/21,0,0,0,0,0,0,0,0,0
54,54,1984-00019,Fire,1984/9/21,0,6,0,0,0,0,0,0,0
55,55,1984-00018,Fire,1984/9/13,0,0,0,0,0,0,0,0,0
56,56,1984-00017,Fire,1984/9/13,0,1,0,0,0,0,0,0,0
57,57,1984-00016,Fire,1984/9/5,0,0,0,0,0,0,0,0,0
58,58,1984-00015,Fire,1984/8/18,0,0,0,0,0,0,0,0,0
59,59,1984-00014,Fire,1984/8/9,0,0,0,0,0,0,0,0,0
60,60,1984-00013,Fire,1984/8/8,0,0,0,0,0,0,0,0,0
61,61,1984-00012,Fire,1984/8/2,0,0,0,0,0,0,0,0,0
62,62,1984-00011,Fire,1984/7/7,0,0,0,0,0,0,0,0,0
63,63,1984-00010,Flood,1984/4/20,0,0,0,0,0,0,0,0,0
64,64,1984-00009,Explosion,1984/3/23,0,5,0,0,0,0,0,0,0
65,65,1984-00008,Fire,1984/2/28,0,0,0,0,0,0,0,0,0
66,66,1984-00007,Fire,1984/2/22,4,0,0,0,0,0,0,0,0
67,67,1984-00006,Severe Storm,1984/2/13,0,0,0,0,0,0,0,0,0
68,68,1984-00005,Structural Collapse,1984/1/19,0,0,0,0,0,0,0,0,0
69,69,1984-00004,Fire,1984/1/16,0,0,0,0,0,0,0,0,0
70,70,1984-00003,Fire,1984/1/11,0,1,0,0,0,0,0,0,0
71,71,1984-00002,Plague,1984/1/11,0,0,0,0,0,0,0,0,0
72,72,1984-00001,Fire,1984/1/2,0,0,0,0,0,0,0,0,0
73,73,1985-00009,Fire,1985/5/1,0,0,0,0,0,0,0,0,0
74,74,1985-00008,Flood,1985/4/16,0,0,0,0,0,0,0,0,0
75,75,1985-00007,Flood,1985/3/4,0,0,0,0,0,0,0,0,0
76,76,1985-00006,Rain,1985/2/22,0,0,0,0,0,0,0,0,0
77,77,1985-00005,Drought,1985/2/4,0,0,0,0,0,0,0,0,0
