,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,989,Epidemic,2015/3/12,1,0,0,0,0,0,0,0,0
1,1,988,Epidemic,2015/3/12,2,0,0,0,0,0,0,0,0
2,2,987,Epidemic,2015/3/11,3,0,0,0,0,0,0,0,0
3,3,986,Epidemic,2015/3/11,1,0,0,0,0,0,0,0,0
4,4,985,Epidemic,2015/3/11,2,0,0,0,0,0,0,0,0
5,5,984,Epidemic,2015/3/11,1,0,0,0,0,0,0,0,0
6,6,983,Epidemic,2015/3/11,1,0,0,0,0,0,0,0,0
7,7,982,Epidemic,2015/3/11,2,0,0,0,0,0,0,0,0
8,8,981,Epidemic,2015/3/10,6,0,0,0,0,0,0,0,0
9,9,980,Epidemic,2015/3/10,3,0,0,0,0,0,0,0,0
10,10,979,Epidemic,2015/3/10,2,0,0,0,0,0,0,0,0
11,11,978,Epidemic,2015/3/10,1,0,0,0,0,0,0,0,0
12,12,977,Epidemic,2015/3/10,2,0,0,0,0,0,0,0,0
13,13,976,Epidemic,2015/3/10,2,0,0,0,0,0,0,0,0
14,14,975,Epidemic,2015/3/9,2,0,0,0,0,0,0,0,0
15,15,974,Epidemic,2015/3/9,3,0,0,0,0,0,0,0,0
16,16,973,Epidemic,2015/3/9,3,0,0,0,0,0,0,0,0
17,17,972,Epidemic,2015/3/9,1,0,0,0,0,0,0,0,0
18,18,971,Epidemic,2015/3/9,3,0,0,0,0,0,0,0,0
19,19,970,Epidemic,2015/3/9,6,0,0,0,0,0,0,0,0
20,20,969,Epidemic,2015/3/8,6,0,0,0,0,0,0,0,0
21,21,968,Epidemic,2015/3/8,3,0,0,0,0,0,0,0,0
22,22,967,Epidemic,2015/3/8,4,0,0,0,0,0,0,0,0
23,23,966,Epidemic,2015/3/8,1,0,0,0,0,0,0,0,0
24,24,965,Epidemic,2015/3/8,2,0,0,0,0,0,0,0,0
25,25,964,Epidemic,2015/3/8,7,0,0,0,0,0,0,0,0
26,26,963,Epidemic,2015/3/6,2,0,0,0,0,0,0,0,0
27,27,962,Epidemic,2015/3/6,2,0,0,0,0,0,0,0,0
28,28,961,Epidemic,2015/3/6,4,0,0,0,0,0,0,0,0
29,29,960,Epidemic,2015/3/6,3,0,0,0,0,0,0,0,0
30,30,959,Epidemic,2015/3/6,1,0,0,0,0,0,0,0,0
31,31,958,Epidemic,2015/3/5,2,0,0,0,0,0,0,0,0
32,32,957,Epidemic,2015/3/5,2,0,0,0,0,0,0,0,0
33,33,956,Epidemic,2015/3/5,3,0,0,0,0,0,0,0,0
34,34,955,Epidemic,2015/3/5,2,0,0,0,0,0,0,0,0
35,35,954,Epidemic,2015/3/5,2,0,0,0,0,0,0,0,0
36,36,953,Epidemic,2015/3/4,4,0,0,0,0,0,0,0,0
37,37,952,Epidemic,2015/3/4,2,0,0,0,0,0,0,0,0
38,38,951,Epidemic,2015/3/4,2,0,0,0,0,0,0,0,0
39,39,950,Epidemic,2015/3/4,1,0,0,0,0,0,0,0,0
40,40,949,Epidemic,2015/3/4,2,0,0,0,0,0,0,0,0
41,41,948,Epidemic,2015/3/3,2,0,0,0,0,0,0,0,0
42,42,947,Epidemic,2015/3/3,1,0,0,0,0,0,0,0,0
43,43,946,Epidemic,2015/3/3,3,0,0,0,0,0,0,0,0
44,44,945,Epidemic,2015/3/3,2,0,0,0,0,0,0,0,0
45,45,944,Epidemic,2015/3/2,6,0,0,0,0,0,0,0,0
46,46,943,Epidemic,2015/3/2,4,0,0,0,0,0,0,0,0
47,47,942,Epidemic,2015/3/2,3,0,0,0,0,0,0,0,0
48,48,941,Epidemic,2015/3/2,1,0,0,0,0,0,0,0,0
49,49,940,Epidemic,2015/3/2,2,0,0,0,0,0,0,0,0
50,50,939,Epidemic,2015/2/28,7,0,0,0,0,0,0,0,0
51,51,938,Epidemic,2015/2/28,7,0,0,0,0,0,0,0,0
52,52,937,Epidemic,2015/2/28,5,0,0,0,0,0,0,0,0
53,53,936,Epidemic,2015/2/28,8,0,0,0,0,0,0,0,0
54,54,935,Epidemic,2015/2/26,2,0,0,0,0,0,0,0,0
55,55,934,Epidemic,2015/2/26,3,0,0,0,0,0,0,0,0
56,56,933,Epidemic,2015/2/26,2,0,0,0,0,0,0,0,0
57,57,932,Epidemic,2015/2/26,1,0,0,0,0,0,0,0,0
58,58,931,Epidemic,2015/2/26,3,0,0,0,0,0,0,0,0
59,59,930,Epidemic,2015/2/25,2,0,0,0,0,0,0,0,0
60,60,929,Epidemic,2015/2/25,2,0,0,0,0,0,0,0,0
61,61,928,Epidemic,2015/2/25,2,0,0,0,0,0,0,0,0
62,62,927,Epidemic,2015/2/25,4,0,0,0,0,0,0,0,0
63,63,926,Epidemic,2015/2/24,2,0,0,0,0,0,0,0,0
64,64,925,Epidemic,2015/2/24,2,0,0,0,0,0,0,0,0
65,65,924,Epidemic,2015/2/24,1,0,0,0,0,0,0,0,0
66,66,923,Epidemic,2015/2/24,1,0,0,0,0,0,0,0,0
67,67,922,Epidemic,2015/2/24,2,0,0,0,0,0,0,0,0
68,68,921,Epidemic,2015/2/22,1,0,0,0,0,0,0,0,0
69,69,920,Epidemic,2015/2/22,1,0,0,0,0,0,0,0,0
70,70,919,Epidemic,2015/2/22,2,0,0,0,0,0,0,0,0
71,71,918,Epidemic,2015/2/22,1,0,0,0,0,0,0,0,0
72,72,917,Epidemic,2015/2/22,2,0,0,0,0,0,0,0,0
73,73,916,Epidemic,2015/2/21,3,0,0,0,0,0,0,0,0
74,74,915,Epidemic,2015/2/21,1,0,0,0,0,0,0,0,0
75,75,914,Epidemic,2015/2/21,2,0,0,0,0,0,0,0,0
76,76,913,Epidemic,2015/2/21,1,0,0,0,0,0,0,0,0
77,77,912,Epidemic,2015/2/21,2,0,0,0,0,0,0,0,0
78,78,911,Epidemic,2015/2/20,3,0,0,0,0,0,0,0,0
79,79,910,Epidemic,2015/2/20,3,0,0,0,0,0,0,0,0
80,80,909,Epidemic,2015/2/20,3,0,0,0,0,0,0,0,0
81,81,908,Epidemic,2015/2/20,1,0,0,0,0,0,0,0,0
82,82,907,Epidemic,2015/2/20,1,0,0,0,0,0,0,0,0
83,83,906,Epidemic,2015/2/20,2,0,0,0,0,0,0,0,0
84,84,905,Epidemic,2015/2/19,2,0,0,0,0,0,0,0,0
85,85,904,Epidemic,2015/2/19,1,0,0,0,0,0,0,0,0
86,86,903,Epidemic,2015/2/18,1,0,0,0,0,0,0,0,0
87,87,902,Epidemic,2015/2/18,2,0,0,0,0,0,0,0,0
88,88,901,Epidemic,2015/2/18,2,0,0,0,0,0,0,0,0
89,89,900,Epidemic,2015/2/17,2,0,0,0,0,0,0,0,0
90,90,899,Epidemic,2015/2/17,1,0,0,0,0,0,0,0,0
91,91,898,Epidemic,2015/2/17,1,0,0,0,0,0,0,0,0
92,92,897,Epidemic,2015/2/17,3,0,0,0,0,0,0,0,0
93,93,896,Epidemic,2015/2/17,1,0,0,0,0,0,0,0,0
94,94,895,Epidemic,2015/2/16,2,0,0,0,0,0,0,0,0
95,95,894,Epidemic,2015/2/16,1,0,0,0,0,0,0,0,0
96,96,893,Epidemic,2015/2/16,3,0,0,0,0,0,0,0,0
97,97,892,Epidemic,2015/2/16,1,0,0,0,0,0,0,0,0
98,98,891,Epidemic,2015/2/15,2,0,0,0,0,0,0,0,0
99,99,890,Epidemic,2015/2/15,1,0,0,0,0,0,0,0,0
100,100,889,Epidemic,2015/2/15,1,0,0,0,0,0,0,0,0
101,101,888,Epidemic,2015/2/15,2,0,0,0,0,0,0,0,0
102,102,887,Epidemic,2015/2/15,1,0,0,0,0,0,0,0,0
103,103,886,Epidemic,2015/2/14,2,0,0,0,0,0,0,0,0
104,104,885,Epidemic,2015/2/14,2,0,0,0,0,0,0,0,0
105,105,884,Epidemic,2015/2/14,2,0,0,0,0,0,0,0,0
106,106,883,Epidemic,2015/2/13,6,0,0,0,0,0,0,0,0
107,107,882,Epidemic,2015/2/13,2,0,0,0,0,0,0,0,0
108,108,881,Epidemic,2015/2/13,1,0,0,0,0,0,0,0,0
109,109,880,Epidemic,2015/2/13,3,0,0,0,0,0,0,0,0
110,110,879,Epidemic,2015/2/12,5,0,0,0,0,0,0,0,0
111,111,878,Epidemic,2015/2/12,2,0,0,0,0,0,0,0,0
112,112,877,Epidemic,2015/2/12,2,0,0,0,0,0,0,0,0
113,113,876,Epidemic,2015/2/11,4,0,0,0,0,0,0,0,0
114,114,875,Epidemic,2015/2/11,2,0,0,0,0,0,0,0,0
115,115,874,Epidemic,2015/2/11,2,0,0,0,0,0,0,0,0
116,116,873,Epidemic,2015/2/11,1,0,0,0,0,0,0,0,0
117,117,872,Epidemic,2015/2/11,1,0,0,0,0,0,0,0,0
118,118,871,Epidemic,2015/2/11,1,0,0,0,0,0,0,0,0
119,119,870,Epidemic,2015/2/10,7,0,0,0,0,0,0,0,0
120,120,869,Epidemic,2015/2/10,4,0,0,0,0,0,0,0,0
121,121,868,Epidemic,2015/2/10,1,0,0,0,0,0,0,0,0
122,122,867,Epidemic,2015/2/10,4,0,0,0,0,0,0,0,0
123,123,866,Epidemic,2015/2/10,3,0,0,0,0,0,0,0,0
124,124,865,Epidemic,2015/2/10,1,0,0,0,0,0,0,0,0
125,125,864,Epidemic,2015/2/9,2,0,0,0,0,0,0,0,0
126,126,863,Epidemic,2015/2/9,2,0,0,0,0,0,0,0,0
127,127,862,Epidemic,2015/2/9,2,0,0,0,0,0,0,0,0
128,128,861,Epidemic,2015/2/9,1,0,0,0,0,0,0,0,0
129,129,860,Epidemic,2015/2/8,3,0,0,0,0,0,0,0,0
130,130,859,Epidemic,2015/2/8,2,0,0,0,0,0,0,0,0
131,131,858,Epidemic,2015/2/8,3,0,0,0,0,0,0,0,0
132,132,857,Epidemic,2015/2/8,3,0,0,0,0,0,0,0,0
133,133,856,Epidemic,2015/2/8,1,0,0,0,0,0,0,0,0
134,134,855,Epidemic,2015/2/6,2,0,0,0,0,0,0,0,0
135,135,854,Epidemic,2015/2/6,1,0,0,0,0,0,0,0,0
136,136,853,Epidemic,2015/2/6,4,0,0,0,0,0,0,0,0
137,137,852,Epidemic,2015/2/6,3,0,0,0,0,0,0,0,0
138,138,851,Epidemic,2015/2/5,2,0,0,0,0,0,0,0,0
139,139,850,Epidemic,2015/2/5,3,0,0,0,0,0,0,0,0
140,140,849,Epidemic,2015/2/5,2,0,0,0,0,0,0,0,0
141,141,848,Epidemic,2015/2/5,3,0,0,0,0,0,0,0,0
142,142,847,Epidemic,2015/2/5,2,0,0,0,0,0,0,0,0
143,143,846,Epidemic,2015/2/5,1,0,0,0,0,0,0,0,0
144,144,845,Epidemic,2015/2/4,1,0,0,0,0,0,0,0,0
145,145,844,Epidemic,2015/2/4,4,0,0,0,0,0,0,0,0
146,146,843,Epidemic,2015/2/4,3,0,0,0,0,0,0,0,0
147,147,842,Epidemic,2015/2/4,1,0,0,0,0,0,0,0,0
148,148,841,Epidemic,2015/2/4,3,0,0,0,0,0,0,0,0
149,149,840,Epidemic,2015/2/4,3,0,0,0,0,0,0,0,0
150,150,839,Epidemic,2015/2/3,2,0,0,0,0,0,0,0,0
151,151,838,Epidemic,2015/2/3,1,0,0,0,0,0,0,0,0
152,152,837,Epidemic,2015/2/3,3,0,0,0,0,0,0,0,0
153,153,836,Epidemic,2015/2/3,3,0,0,0,0,0,0,0,0
154,154,835,Epidemic,2015/2/3,1,0,0,0,0,0,0,0,0
155,155,834,Epidemic,2015/1/30,10,0,0,0,0,0,0,0,0
156,156,833,Epidemic,2015/1/30,5,0,0,0,0,0,0,0,0
157,157,832,Epidemic,2015/1/30,10,0,0,0,0,0,0,0,0
158,158,819,Epidemic,2015/1/27,2,0,0,0,0,0,0,0,0
159,159,818,Epidemic,2015/1/26,1,0,0,0,0,0,0,0,0
160,160,817,Epidemic,2015/1/26,3,0,0,0,0,0,0,0,0
161,161,816,Epidemic,2015/1/26,2,0,0,0,0,0,0,0,0
162,162,815,Epidemic,2015/1/26,2,0,0,0,0,0,0,0,0
163,163,814,Epidemic,2015/1/25,1,0,0,0,0,0,0,0,0
164,164,813,Epidemic,2015/1/25,1,0,0,0,0,0,0,0,0
165,165,812,Epidemic,2015/1/25,1,0,0,0,0,0,0,0,0
166,166,811,Epidemic,2015/1/25,1,0,0,0,0,0,0,0,0
167,167,810,Epidemic,2015/1/24,1,0,0,0,0,0,0,0,0
168,168,809,Epidemic,2015/1/24,1,0,0,0,0,0,0,0,0
169,169,808,Epidemic,2015/1/24,1,0,0,0,0,0,0,0,0
170,170,795,Epidemic,2015/1/21,3,0,0,0,0,0,0,0,0
171,171,794,Epidemic,2015/1/21,2,0,0,0,0,0,0,0,0
172,172,793,Epidemic,2015/1/21,1,0,0,0,0,0,0,0,0
