,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,2015-00138,Drought,2015/8/11,0,0,0,0,17000,0,0,0.0,0
1,1,2015-00137,Plague,2015/8/9,0,0,0,0,0,0,0,0.0,0
2,2,2015-00136,Structural Collapse,2015/8/9,0,4,0,350,115,0,28,0.0,0
3,3,2014-00611,Storm,2014/8/7,0,2,0,0,175,0,0,0.0,0
4,4,2015-00135,Accident  ,2015/7/23,0,7,0,0,0,0,0,0.0,0
5,5,2015-00134,Tidal Wave,2015/7/3,3,0,0,0,0,0,0,0.0,0
6,6,2015-00133,Flood,2015/7/9,0,0,0,0,0,0,0,0.0,0
7,7,2015-00132,Gale,2015/7/30,0,0,0,0,0,0,0,0.0,0
8,8,2014-00610,Drought,2014/12/26,0,0,0,0,0,0,0,0.0,0
9,9,2014-00609,Structural Collapse,2014/10/20,0,0,0,0,0,0,0,0.0,0
10,10,2014-00608,Structural Collapse,2014/10/20,0,0,0,0,12,0,0,0.0,0
11,11,2014-00607,Flood,2014/10/20,0,0,0,0,0,0,0,0.0,0
12,12,2014-00606,Flood,2014/10/20,0,0,0,0,110,0,0,0.0,0
13,13,2014-00604,Torrential Flood,2014/10/17,1,0,0,0,0,0,0,0.0,0
14,14,2014-00605,Explosion,2014/12/23,0,2,0,0,0,0,0,0.0,0
15,15,2014-00603,Flood,2014/10/22,0,0,0,0,0,0,0,0.0,0
16,16,2014-00602,Flood,2014/10/16,0,0,0,0,190,0,0,0.0,0
17,17,2014-00601,Structural Collapse,2014/10/16,0,0,0,0,5,0,0,0.0,0
18,18,2014-00600,Flood,2014/10/16,0,0,0,0,0,0,0,0.0,0
19,19,2014-00599,Avalanche,2014/12/8,1,2,0,0,0,0,0,0.0,0
20,20,2014-00598,Drought,2014/12/3,0,0,0,0,0,0,0,0.0,0
21,21,2014-00597,Flood,2014/11/30,0,0,0,0,0,0,0,0.0,0
22,22,2014-00596,Flood,2014/10/16,0,0,0,0,0,0,0,0.0,0
23,23,2014-00595,Gale,2014/11/27,0,0,0,0,0,0,0,0.0,0
24,24,2014-00594,Fire,2014/11/17,0,0,0,0,0,0,0,5000.0,0
25,25,2014-00592,Flood,2014/10/16,0,0,0,0,0,0,0,0.0,0
26,26,2014-00591,Flood,2014/10/15,0,0,0,0,0,0,44,0.0,0
27,27,2014-00590,Torrential Flood,2014/10/15,1,0,0,0,0,0,0,0.0,0
28,28,2014-00589,Fire,2014/11/14,1,0,0,0,0,0,0,0.0,0
29,29,2014-00588,Gale,2014/11/3,0,0,0,0,0,0,0,0.0,0
30,30,2014-00587,Gale,2014/11/2,0,0,0,0,0,0,0,0.0,0
31,31,2014-00586,Gale,2014/11/2,0,0,0,0,0,0,0,0.0,0
32,32,2014-00585,Landslide,2014/10/15,0,0,0,0,0,0,0,0.0,0
33,33,2014-00584,Rain,2014/10/12,1,0,0,0,0,0,0,0.0,0
34,34,2014-00583,Rain,2014/10/12,0,0,0,0,0,0,20,0.0,0
35,35,2014-00582,Landslide,2014/10/13,3,0,0,0,0,0,0,0.0,0
36,36,2015-00131,Drought,2015/8/19,0,0,0,0,0,0,0,0.0,0
37,37,2014-00581,Structural Collapse,2014/10/13,0,0,0,0,6,0,0,0.0,0
38,38,2014-00580,Earthquake,2014/10/13,1,0,0,0,0,0,0,0.0,0
39,39,2014-00579,Landslide,2014/10/13,0,0,0,0,0,0,0,0.0,0
40,40,2014-00578,Landslide,2014/10/13,0,0,0,0,0,0,0,0.0,0
41,41,2014-00577,Landslide,2014/10/13,0,0,0,0,0,0,0,0.0,0
42,42,2015-00129,Forest Fire,2015/4/23,0,0,0,0,0,0,0,0.0,0
43,43,2015-00037,Forest Fire,2015/3/25,0,0,0,0,0,0,0,0.0,0
44,44,2015-00036,Forest Fire,2015/3/18,0,0,0,0,0,0,0,0.0,0
45,45,2015-00035,Fire,2015/3/18,0,0,0,0,12,0,0,0.0,0
46,46,2015-00034,Structural Collapse,2015/3/18,0,0,0,4,0,0,0,10000.0,0
47,47,2015-00033,Fire,2015/3/13,0,0,0,0,0,0,0,0.0,0
48,48,2015-00032,Forest Fire,2015/3/13,0,0,0,0,0,0,0,0.0,0
49,49,2015-00031,Forest Fire,2015/3/11,0,0,0,0,0,0,0,0.0,0
50,50,2015-00030,Forest Fire,2015/3/9,0,0,0,0,0,0,0,0.0,0
51,51,2015-00029,Fire,2015/3/6,0,1,0,0,0,0,0,0.0,0
52,52,2015-00028,Forest Fire,2015/3/6,0,0,0,0,0,0,0,0.0,0
53,53,2015-00027,Forest Fire,2015/3/6,0,0,0,0,0,0,0,0.0,0
54,54,2015-00026,Flood,2015/5/8,0,0,0,0,0,0,0,0.0,30000
55,55,2015-00025,Fire,2015/3/4,0,0,0,0,0,0,0,0.0,0
56,56,2015-00024,Forest Fire,2015/2/28,0,0,0,0,0,0,0,0.0,0
57,57,2015-00023,Forest Fire,2015/3/3,0,0,0,0,0,0,0,0.0,0
58,58,2015-00022,Fire,2015/2/27,1,1,0,0,0,0,0,0.0,0
59,59,2015-00021,Fire,2015/2/25,0,0,0,5,0,0,0,0.0,0
60,60,2015-00020,Forest Fire,2015/2/18,0,0,0,0,0,0,0,0.0,0
61,61,2015-00019,Forest Fire,2015/2/16,0,0,0,0,0,0,0,0.0,0
62,62,2015-00018,Forest Fire,2015/2/15,0,0,0,0,0,0,0,0.0,0
63,63,2014-00576,Structural Collapse,2014/10/13,0,0,0,0,5,0,0,0.0,0
64,64,2014-00575,Structural Collapse,2014/10/13,0,0,0,0,10,0,0,0.0,0
65,65,2015-00017,Fire,2015/2/13,0,2,0,0,0,0,0,0.0,0
66,66,2015-00016,Fire,2015/2/11,0,0,0,0,0,0,0,0.0,0
67,67,2015-00015,Plague,2015/2/9,0,0,0,0,0,0,0,0.0,0
68,68,2015-00014,Plague,2015/2/8,0,0,0,0,0,0,0,0.0,0
69,69,2014-00574,Structural Collapse,2014/10/13,0,0,0,0,10,0,0,0.0,0
70,70,2014-00573,Structural Collapse,2014/10/13,0,0,0,0,60,0,0,0.0,0
71,71,2015-00013,Flood,2015/5/4,0,0,0,0,0,0,0,0.0,0
72,72,2014-00572,Structural Collapse,2014/10/13,1,0,0,0,0,0,0,0.0,0
73,73,2014-00571,Structural Collapse,2014/10/3,0,0,0,0,0,0,0,0.0,0
74,74,2015-00012,Flood,2015/5/4,0,0,0,0,0,0,800,0.0,0
75,75,2015-00011,Flood,2015/5/3,0,0,0,0,0,0,0,0.0,0
76,76,2015-00010,Flood,2015/5/3,0,0,0,0,0,0,0,0.0,0
77,77,2015-00009,Accident  ,2015/5/3,0,0,1,0,0,0,0,0.0,0
78,78,2015-00008,Flood,2015/5/3,0,0,0,0,0,0,0,0.0,0
79,79,2015-00007,Flood,2015/5/3,0,0,0,0,0,0,0,0.0,0
80,80,2014-00570,Escape,2014/9/22,0,0,0,0,0,0,0,0.0,0
81,81,2014-00569,Flood,2014/9/28,0,0,0,0,240,0,0,0.0,0
82,82,2014-00568,Flood,2014/9/24,0,0,0,0,7,0,0,0.0,0
83,83,2014-00566,Landslide,2014/8/11,0,3,0,0,0,0,0,0.0,0
84,84,2014-00565,Rain,2014/8/16,0,0,0,0,0,0,0,0.0,0
85,85,2014-00564,Flood,2014/9/24,0,0,0,0,0,0,0,0.0,0
86,86,2014-00563,Tidal Wave,2014/7/5,0,0,0,0,0,0,0,0.0,0
87,87,2014-00562,Gale,2014/7/22,0,0,0,0,0,0,0,0.0,0
88,88,2014-00561,Rain,2014/7/28,0,0,0,0,0,0,0,0.0,0
89,89,2014-00560,Rain,2014/7/13,0,0,0,0,0,0,0,0.0,0
90,90,2014-00559,Rain,2014/7/21,0,0,0,0,0,0,0,0.0,0
91,91,2014-00558,Rain,2014/7/22,0,0,0,0,0,0,0,0.0,0
92,92,2014-00557,Gale,2014/8/16,0,0,0,0,0,0,0,0.0,0
93,93,2014-00556,Flood,2014/9/24,0,0,0,0,0,0,0,0.0,0
94,94,2014-00555,Flood,2014/9/24,0,0,0,0,0,0,0,0.0,0
95,95,2014-00553,Flood,2014/9/24,0,0,0,0,0,0,0,0.0,0
96,96,2014-00554,Flood,2014/9/24,0,0,0,0,0,0,0,0.0,0
97,97,2014-00552,Structural Collapse,2014/9/24,0,0,0,0,5,0,0,0.0,0
98,98,2014-00551,Structural Collapse,2014/9/24,0,0,0,0,0,0,0,0.0,0
99,99,2014-00550,Structural Collapse,2014/9/24,0,0,0,0,15,0,0,0.0,0
100,100,2014-00549,Flood,2014/10/30,0,0,0,0,0,0,0,0.0,0
101,101,2014-00548,Landslide,2014/9/26,0,0,0,0,30,0,0,0.0,0
102,102,2014-00547,Landslide,2014/9/26,0,0,0,0,0,0,0,0.0,0
