,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,11634,Accident,2022/12/25,2,51,0,0,10000,0,56,0,0.0
1,1,11633,Flood,2022/11/20,0,0,0,0,0,0,0,0,0.0
2,2,11632,Flood,2022/11/20,0,0,0,0,0,0,0,0,0.0
3,3,11631,Other,2022/12/28,0,0,0,0,320,0,0,0,0.0
4,4,11630,Flood,2022/11/23,0,0,0,0,0,0,0,0,0.0
5,5,11628,Flood,2022/11/20,1,0,0,0,0,0,0,0,145757.0
6,6,11625,Other,2022/10/11,0,0,0,0,0,0,0,0,0.0
7,7,11624,Landslide,2022/210/3,0,0,0,0,4,0,0,0,0.0
8,8,11623,Flood,2022/7/30,0,0,0,0,0,0,0,0,4315000.0
9,9,11622,Forest Fire,2022/12/19,0,0,0,0,0,0,0,0,850000.0
10,10,11621,Forest Fire,2022/7/18,0,0,0,0,0,0,0,0,0.0
11,11,11620,Fire,2022/7/1,0,0,0,0,0,0,0,0,1000000.0
12,12,11619,Flood,2022/11/20,0,0,0,0,0,0,0,0,127800000.0
13,13,11618,Leakage,2022/8/20,0,0,0,0,0,0,100,0,0.0
14,14,11617,Leakage,2022/9/12,0,0,0,0,0,0,50,0,0.0
15,15,11616,Forest Fire,2022/8/16,0,0,0,0,0,0,0,0,1200000.0
16,16,11615,Hail,2022/7/30,0,0,0,0,0,0,0,0,0.0
17,17,11614,Hail,2022/7/6,0,0,0,0,0,0,0,0,0.0
18,18,11613,Forest Fire,2022/8/6,0,0,0,0,0,0,0,0,0.0
19,19,11612,Forest Fire,2022/7/17,0,0,0,0,0,0,0,0,0.0
20,20,11611,Flood,2022/8/25,0,0,0,0,0,0,0,0,0.0
21,21,11610,Hail,2022/7/2,0,0,0,0,0,0,0,0,190859043.0
22,22,11609,Leakage,2022/7/13,0,0,0,0,0,0,29,0,0.0
23,23,11608,Hail,2022/7/30,0,0,0,0,0,0,0,0,0.0
24,24,11607,Drought,2022/7/29,0,0,0,0,0,0,0,0,0.0
25,25,11606,Rain,2022/7/5,0,0,0,0,0,0,0,0,0.0
26,26,11605,Rain,2022/7/5,0,0,0,0,0,0,0,0,0.0
27,27,11604,Storm,2022/6/13,0,0,0,0,0,0,0,0,0.0
28,28,11603,Fire,2022/7/22,1,0,0,0,0,0,0,0,1000000000.0
29,29,11602,Fire,2022/7/22,0,0,0,0,0,0,0,0,300000000.0
30,30,11601,Fire,2022/8/6,0,0,0,0,0,0,0,0,0.0
31,31,11600,Forest Fire,2022/8/6,0,0,0,0,0,0,0,0,0.0
32,32,11599,Fire,2022/7/21,0,0,0,0,0,0,0,0,0.0
33,33,11598,Hail,2022/6/21,0,0,0,0,0,0,0,0,44383600.0
34,34,11597,Forest Fire,2022/4/8,0,0,0,0,0,0,0,0,0.0
35,35,11596,Forest Fire,2022/4/6,0,0,0,0,0,0,0,0,0.0
36,36,11595,Rain,2022/5/18,0,0,0,0,0,0,0,0,0.0
37,37,11594,Forest Fire,2022/3/24,0,0,0,0,0,0,0,0,0.0
38,38,11593,Rain,2022/7/6,0,0,0,0,0,0,0,0,7000000000.0
39,39,11592,Forest Fire,2022/8/18,0,0,0,0,0,0,0,0,0.0
40,40,11591,Forest Fire,2022/4/13,0,0,0,0,0,0,0,0,0.0
41,41,11590,Hail,2022/5/30,0,0,0,0,0,0,0,0,132573000.0
42,42,11589,Hail,2022/6/8,0,0,0,0,0,0,0,0,0.0
43,43,11588,Forest Fire,2022/4/8,0,0,0,0,0,0,0,0,0.0
44,44,11587,Rain,2022/6/12,0,0,0,0,0,0,22,0,0.0
45,45,11586,Hail,2022/6/13,0,0,0,0,0,0,0,0,0.0
46,46,11585,Hail,2022/5/10,0,0,0,0,0,0,0,0,6000000000.0
47,47,11584,Hail,2022/5/17,0,0,0,0,0,0,0,0,6500000000.0
48,48,11583,Drought,2022/6/21,0,0,0,0,0,0,0,0,0.0
49,49,11582,BURA,2022/5/10,0,0,0,0,0,0,0,0,0.0
50,50,11581,Rain,2022/6/13,0,0,0,0,0,0,0,0,30000000000.0
51,51,11580,Flood,2022/6/13,0,0,0,0,0,0,1,0,0.0
52,52,11579,Rain,2022/6/12,0,0,0,0,0,0,0,0,68164000.0
53,53,11578,Forest Fire,2022/4/6,0,0,0,0,0,0,0,0,0.0
54,54,11577,Fire,2022/6/19,0,0,0,0,0,0,0,0,0.0
55,55,11576,Storm,2022/6/21,0,2,0,0,0,0,0,0,79336000.0
56,56,11575,Storm,2022/6/21,0,0,0,0,0,0,0,0,130950000.0
57,57,11574,Storm,2022/5/27,0,0,0,0,0,0,0,0,0.0
58,58,11573,Fire,2022/6/30,0,0,0,0,0,0,0,0,0.0
59,59,11572,Explosion,2022/6/3,0,0,0,0,0,0,0,0,0.0
60,60,11569,Hail,2022/6/21,0,0,0,0,0,0,0,0,0.0
61,61,11568,Rain,2022/6/12,0,0,0,0,0,0,0,0,100143480000.0
62,62,11567,Fire,2022/6/22,0,0,0,0,0,0,0,0,0.0
63,63,11566,Fire,2022/6/16,0,0,0,0,0,0,0,0,0.0
64,64,11565,Fire,2022/6/25,0,0,0,0,0,0,0,0,1000000.0
65,65,11564,Fire,2022/6/22,0,0,0,0,0,0,0,0,10000000.0
66,66,11563,Forest Fire,2022/6/30,1,0,0,0,0,0,0,0,100000.0
67,67,11562,BURA,2022/6/16,0,0,0,0,0,0,0,0,500000.0
68,68,11561,Forest Fire,2022/3/26,0,0,0,0,0,0,0,0,0.0
69,69,11560,Forest Fire,2022/3/30,0,0,0,0,0,0,0,0,0.0
70,70,11559,Forest Fire,2022/6/10,1,0,1,0,0,0,0,0,0.0
71,71,11558,Forest Fire,2021/11/17,0,0,0,0,0,0,0,0,0.0
72,72,11557,Forest Fire,2022/3/31,0,0,0,0,0,0,0,0,0.0
73,73,11556,Fire,2022/2/4,1,0,0,0,0,0,0,0,0.0
74,74,11555,Forest Fire,2022/4/6,0,0,0,0,0,0,0,0,0.0
75,75,11554,Forest Fire,2022/3/29,0,0,0,0,0,0,0,0,0.0
76,76,11553,Forest Fire,2022/3/23,0,0,0,0,0,0,0,0,0.0
77,77,11552,Snowfall,2022/2/8,0,0,0,0,0,0,0,0,0.0
78,78,11551,Snowfall,2021/12/15,0,0,0,0,0,0,0,0,0.0
79,79,11550,Rain,2021/11/5,0,0,0,0,0,0,0,0,0.0
80,80,11549,Explosion,2021/11/23,3,0,15,0,0,0,0,0,9442000.0
81,81,11548,Flood,2021/12/14,0,0,0,0,0,0,0,0,0.0
82,82,11547,Rain,2021/11/4,0,0,0,0,0,0,0,0,228072304000.0
83,83,11546,Snowfall,2021/12/13,0,0,0,0,1200,0,0,0,0.0
84,84,11545,Snowfall,2021/12/13,0,0,0,0,0,0,0,0,0.0
85,85,11543,Landslide,2021/12/18,0,0,0,0,9,0,7,0,0.0
86,86,11542,Snowfall,2021/12/7,0,0,0,0,0,0,0,0,0.0
87,87,11541,Snowfall,2021/1/27,0,0,0,0,0,0,0,0,0.0
88,88,11540,Snowfall,2021/1/16,0,0,0,0,0,0,0,0,0.0
89,89,11539,Explosion,2021/6/19,0,0,0,0,0,0,35,0,0.0
90,90,11538,Flood,2021/12/26,0,0,0,0,0,0,0,0,0.0
91,91,11537,Snowfall,2021/12/14,0,0,0,0,0,0,0,0,0.0
92,92,11536,Fire,2021/11/9,1,0,0,0,0,0,0,0,0.0
93,93,11534,Drought,2021/8/9,0,0,0,0,9216,0,0,0,0.0
94,94,11533,Drought,2021/7/28,0,0,0,0,0,0,0,0,0.0
95,95,11532,Forest Fire,2021/8/5,0,0,0,0,0,0,0,0,0.0
96,96,11531,Forest Fire,2021/8/5,0,0,0,0,0,0,0,0,0.0
97,97,11530,Other,2019/8/5,0,0,0,0,0,0,0,0,0.0
98,98,11529,Forest Fire,2019/8/5,0,0,0,0,0,0,0,0,0.0
99,99,11528,Other,2019/8/10,0,0,0,0,0,0,0,0,0.0
100,100,11527,Forest Fire,2019/8/1,0,0,0,0,0,0,0,0,0.0
101,101,11526,Hail,2019/7/17,0,0,0,0,0,0,0,0,822000000.0
102,102,11525,Hail,2019/7/16,0,0,0,0,0,0,0,0,94500000.0
103,103,11524,Forest Fire,2019/9/10,0,0,0,0,0,0,0,0,0.0
104,104,11523,Forest Fire,2019/9/15,0,0,0,0,0,0,0,0,0.0
105,105,11522,Forest Fire,2019/9/14,0,0,0,0,0,0,0,0,0.0
106,106,11521,Fire,2019/7/9,0,2,0,0,0,0,0,0,0.0
107,107,11520,Hail,2019/8/5,0,0,0,0,0,0,0,0,0.0
108,108,11519,Hail,2021/7/1,0,0,0,0,0,0,0,0,0.0
109,109,11518,Hail,2021/7/15,0,0,0,0,0,0,0,0,0.0
110,110,11517,Rain,2021/7/17,0,0,0,0,0,0,0,0,0.0
111,111,11516,Other,2021/8/2,0,0,0,0,0,0,0,0,0.0
112,112,11515,Flood,2021/7/20,0,0,0,0,0,0,28,0,0.0
113,113,11514,Other,2021/7/19,0,0,0,0,0,0,0,0,0.0
114,114,11513,Hail,2021/7/15,0,0,0,0,0,0,0,0,0.0
115,115,11512,Hail,2021/7/15,0,0,0,0,0,0,0,0,0.0
116,116,11511,Fire,2021/7/9,0,0,0,0,0,0,0,0,924000.0
117,117,11507,Forest Fire,2021/7/17,0,0,0,0,0,0,0,0,0.0
118,118,11506,Forest Fire,2021/7/29,0,0,0,0,0,0,0,0,0.0
119,119,11505,Forest Fire,2021/7/26,0,0,0,0,0,0,0,0,0.0
120,120,11504,Forest Fire,2021/7/12,0,0,0,0,0,0,0,0,0.0
121,121,11503,Forest Fire,2021/7/13,0,0,0,0,0,0,0,0,0.0
