,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,396,STORM,2019/4/15,0,0,0,4,4,0,0,1036.0,14500.0
1,391,STORM,2018/11/21,1,1,0,97,379,0,0,211500.0,2960000.0
2,390,STORM,2018/12/8,0,0,0,17,44,0,0,48571.0,680000.0
3,387,STORM,2018/11/21,0,0,0,13,25,0,0,11428.7,160000.0
4,386,STORM,2018/12/4,1,7,0,65,99,0,0,9291428.57,120720000.0
5,385,STORM,2018/1/29,0,0,0,45,51,0,0,1571.0,22000.0
6,384,STORM,2018/1/29,0,0,0,72,33,0,0,1571.0,22000.0
7,383,STORM,2018/1/29,0,0,0,56,98,0,0,3107.0,43500.0
8,382,STORM,2018/3/3,0,4,0,67,105,0,0,2071.0,29000.0
9,380,STORM,2019/1/9,0,2,0,99,99,0,0,18259.25,246500.0
10,379,STORM,2019/1/9,0,2,0,75,75,0,0,6310.37,85190.0
11,378,STORM,2018/12/8,0,0,0,3,3,0,0,385.0,5200.0
12,377,STORM,2018/12/8,0,1,0,2,5,0,0,450.0,6085.0
13,376,STORM,2018/12/8,0,0,0,13,18,0,0,3155.0,42602.0
14,375,STORM,2018/12/8,0,0,0,17,17,0,0,5409.0,72032.0
15,372,WINDSTORM,2018/12/4,0,1,0,61,61,0,0,9666.0,13050.0
16,371,WINDSTORM,2018/12/4,0,1,0,103,103,0,0,20074.0,271000.0
17,369,HAILSTORM,2018/11/26,0,0,0,26,48,0,0,1036.0,22000.0
18,368,HAILSTORM,2011/11/26,0,0,0,13,13,0,0,1036.0,14500.0
19,367,HAILSTORM,2018/11/21,0,7,0,206,206,0,0,1571.0,29000.0
20,352,STORM,2017/12/31,0,0,0,7,7,0,0,409.51,5553.0
21,351,STORM,2018/4/26,0,0,0,1,1,0,0,204.76,2776.5
22,350,STORM,2018/3/27,0,0,0,12,12,0,0,409.51,5553.0
23,349,STORM,2017/12/25,0,0,0,6,6,0,0,204.76,2776.5
24,346,STORM,2018/4/19,0,0,0,9,18,0,0,1228.54,16659.0
25,348,STORM,2018/3/27,0,0,0,13,13,0,0,819.02,11106.0
26,347,STORM,2018/3/27,0,0,0,9,9,0,0,409.51,5553.0
27,345,STORM,2018/3/27,0,0,0,10,10,0,0,409.51,5553.0
28,343,STORM,2017/12/25,0,0,0,10,10,0,0,409.51,5553.0
29,344,STORM,2018/3/27,0,0,0,10,10,0,0,409.51,5553.0
30,342,STORM,2018/3/20,0,0,0,0,0,0,0,2354.43,31926.0
31,341,STORM,2018/2/3,0,0,0,3,3,0,0,2354.42,32956.0
32,340,STORM,2018/2/3,0,0,0,9,9,0,0,409.51,5553.0
33,339,STORM,2018/6/26,0,0,0,1,1,0,0,204.76,2776.5
34,338,STORM,2018/2/3,0,0,0,11,11,0,0,1023.78,13882.5
35,337,STORM,2017/11/24,0,0,0,10,10,0,0,1228.53,16659.0
36,336,STORM,2017/11/24,0,0,0,26,26,0,0,1023.79,13882.5
37,335,STORM,2017/11/24,0,0,0,1,1,0,0,1177.21,15963.0
38,334,STORM,2017/10/24,0,0,0,2,2,0,0,1177.21,15963.0
39,333,STORM,2018/1/8,0,0,0,13,13,0,0,1995.23,27069.0
40,332,STORM,2017/10/24,0,0,0,5,5,0,0,2354.42,31926.0
41,330,STORM,2017/1/8,0,0,0,7,7,0,0,409.51,5553.0
42,328,STORM,2018/1/8,0,0,0,1,1,0,0,1177.21,15963.0
43,329,STORM,2017/10/24,0,0,0,8,8,0,0,409.51,5553.0
44,327,STORM,2017/10/24,0,0,0,5,5,0,0,409.51,5553.0
45,326,STORM,2018/1/18,0,0,0,6,6,0,0,204.76,2776.5
46,325,STORM,2017/10/24,0,0,0,13,13,0,0,409.51,5553.0
47,324,STORM,2017/12/18,0,0,0,4,4,0,0,409.51,5553.0
48,323,STORM,2017/12/18,0,0,0,3,3,0,0,409.51,5553.0
49,322,STORM,2017/9/29,0,0,0,3,3,0,0,2354.42,31926.0
50,321,STORM,2017/11/24,0,0,0,8,8,0,0,409.51,5553.0
51,319,STORM,2017/11/24,0,0,0,7,7,0,0,409.51,5553.0
52,320,STORM,2017/8/31,0,0,0,5,5,0,0,1177.21,15963.0
53,318,STORM,2017/8/31,0,0,0,5,5,0,0,2354.42,31926.0
54,317,STORM,2017/11/24,0,0,0,10,10,0,0,0.0,160000.0
55,316,STORM,2017/6/8,0,0,0,7,7,0,0,2354.42,31926.0
56,315,STORM,2017/11/24,0,0,0,25,25,0,0,1228.53,16659.0
57,314,STORM,2017/8/15,0,0,0,3,3,0,0,2354.42,31926.0
58,313,STORM,2017/11/10,0,0,0,2,2,0,0,2354.42,31926.0
59,312,STORM,2017/6/8,0,0,0,7,7,0,0,2354.42,31926.0
60,311,STORM,2017/11/10,0,0,0,4,4,0,0,2354.42,31926.0
61,310,STORM,2017/11/10,0,0,0,11,11,0,0,2354.42,31926.0
62,308,STORM,2017/11/10,0,0,0,7,7,0,0,2354.43,31926.0
63,305,STORM,2017/11/10,0,0,0,8,8,0,0,819.02,11106.0
64,306,STORM,2017/11/10,0,0,0,0,0,0,0,409.51,5553.0
65,304,STORM,2017/11/10,0,0,0,0,0,0,0,204.76,2776.5
66,303,STORM,2017/8/31,0,0,0,0,0,0,0,204.76,2776.5
67,302,STORM,2017/8/31,0,0,0,7,7,0,0,204.76,2776.5
68,301,STORM,2017/8/31,0,0,0,0,0,0,0,1177.21,15963.0
69,300,STORM,2017/8/31,0,0,0,0,0,0,0,1177.21,15963.0
70,299,STORM,2017/8/18,0,0,0,0,0,0,0,409.51,5553.0
71,294,STORM,2017/8/17,0,0,0,0,0,0,0,204.76,2776.5
72,297,STORM,2017/12/18,0,0,0,10,10,0,0,3531.63,47889.0
73,296,STORM,2017/9/29,0,0,0,7,7,0,0,409.51,5553.0
74,295,STORM,2017/9/12,0,0,0,10,10,0,0,3736.39,50665.5
75,293,STORM,2017/9/19,0,0,0,9,9,0,0,2354.42,31926.0
76,292,STORM,2017/8/15,0,0,0,4,4,0,0,409.51,5553.0
77,291,STORM,2017/9/15,0,0,0,7,13,0,0,819.02,11106.0
78,289,STORM,2017/9/12,0,0,0,3,3,0,0,409.51,5553.0
79,290,STORM,2017/11/24,0,0,0,13,13,0,0,2354.42,31926.0
80,287,STORM,2017/9/12,0,0,0,8,8,0,0,409.51,5553.0
81,288,STORM,2017/6/27,0,0,0,0,0,0,0,2354.43,31926.0
82,286,STORM,2017/9/29,0,0,0,1,1,0,0,409.51,5553.0
83,285,STORM,2017/6/27,0,0,0,0,0,0,0,2354.43,31926.0
84,283,STORM,2017/9/8,0,0,0,2,2,0,0,1177.21,15963.0
85,282,STORM,2017/8/15,0,0,0,10,16,0,0,409.51,5553.0
86,281,STORM,2017/8/31,0,0,0,22,22,0,0,1433.29,19435.5
