,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,3375,LANDSLIDE,2014/1/17,0,0,0,0,0,0,0,0.0,0.0
1,1,3374,LANDSLIDE,2013/1/31,0,0,0,0,11,0,0,0.0,0.0
2,2,3373,LANDSLIDE,2004/1/16,0,0,0,0,0,5,5,0.0,0.0
3,3,3372,FLOOD,2014/1/16,0,0,0,0,0,0,0,0.0,0.0
4,4,3371,FLOOD,2014/2/10,0,0,0,0,0,0,0,0.0,0.0
5,5,3369,LANDSLIDE,2014/1/31,0,0,0,0,0,0,0,0.0,0.0
6,6,3368,FLOOD,2014/1/24,0,0,0,0,0,0,0,0.0,0.0
7,7,3367,LANDSLIDE,2014/1/18,0,0,0,0,0,0,0,0.0,0.0
8,8,3366,LANDSLIDE,2014/1/24,0,0,0,0,0,0,0,0.0,0.0
9,9,3365,Storm,2013/10/19,0,0,0,0,0,0,0,0.0,27500.0
10,10,3364,FLOOD,2013/10/12,0,0,0,0,0,0,0,0.0,94000.0
11,11,3363,Storm,2013/7/13,0,0,0,0,0,0,0,0.0,18000.0
12,12,3362,Storm,2013/1/21,0,0,0,0,0,0,0,0.0,7132.0
13,13,3361,Storm,2013/1/21,0,0,0,0,0,0,0,0.0,4628.0
14,14,3360,FLOOD,2013/1/26,0,0,0,0,0,0,0,0.0,8465.0
15,15,3359,FLOOD,2013/1/26,0,0,0,0,0,0,0,0.0,5383.0
16,16,3358,Storm,2013/1/26,0,0,0,0,0,0,0,0.0,16344.0
17,17,3357,Storm,2012/12/30,0,0,0,0,0,0,0,0.0,133800.0
18,18,3356,Storm,2012/12/30,0,0,0,0,0,0,0,0.0,3574.0
19,19,3355,Storm,2011/10/30,0,0,0,0,0,0,0,0.0,74204.0
20,20,3354,FLOOD,2011/10/30,0,0,0,0,0,0,0,0.0,89850.0
21,21,3353,Storm,2011/10/10,0,0,0,0,0,0,0,0.0,12714.0
22,22,3352,FLOOD,2011/10/7,0,0,0,0,0,0,0,0.0,19000.0
23,23,3351,FLOOD,2011/10/7,0,0,0,0,0,0,0,0.0,35000.0
24,24,3350,FLOOD,2011/10/7,0,0,0,0,0,0,0,0.0,7718.0
25,25,3349,FLOOD,2011/10/5,0,0,0,0,0,0,0,0.0,9000.0
26,26,3348,Storm,2011/10/4,0,0,0,0,0,0,0,0.0,14000.0
27,27,3347,RAINS,2011/4/28,0,0,0,0,0,0,0,0.0,10000.0
28,28,3346,Wind Storm ,2011/1/1,0,0,0,0,0,0,0,0.0,11933.0
29,29,3344,Wind Storm ,2010/12/17,0,0,0,0,0,0,0,0.0,99100.0
30,30,3343,Wind Storm ,2010/12/15,0,0,0,0,0,0,0,0.0,10000.0
31,31,3342,RAINS,2010/12/1,0,0,0,0,0,0,0,0.0,6333.0
32,32,3341,FLOOD,2010/1/20,0,0,0,0,0,0,0,0.0,591000.0
33,33,3340,RAINS,2010/1/2,0,0,0,0,0,0,0,0.0,64294.0
34,34,3339,Wind Storm ,2009/12/23,0,0,0,0,0,0,0,0.0,132765.0
35,35,3338,RAINS,2008/2/8,0,0,0,0,0,0,0,0.0,10000.0
36,36,3337,Wind Storm ,2007/6/25,0,0,0,0,0,0,0,0.0,116000.0
37,37,3336,Wind Storm ,2007/6/25,0,0,0,0,0,0,0,0.0,14706.0
38,38,3335,Wind Storm ,2007/6/25,0,0,0,0,0,0,0,0.0,9000.0
39,39,3334,Wind Storm ,2007/6/18,0,0,0,0,0,0,0,0.0,13000.0
