,Serial,Event,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,2005-13-17207,FIRE,2005/8/18,0,0,0,0,0,0,0,0,0
1,2006-13-17197,FIRE,2006/6/15,0,0,0,0,0,0,0,0,0
2,2006-13-17196,FIRE,2006/6/8,0,0,0,0,0,0,0,0,0
3,2006-13-17182,FIRE,2006/1/2,0,0,0,0,0,0,0,0,0
4,2005-13-17173,FIRE,2005/8/19,0,0,0,0,0,0,0,0,0
5,2005-13-17172,FIRE,2005/8/19,0,0,0,0,0,0,0,0,0
6,2005-13-17171,FIRE,2005/8/18,0,0,0,0,0,0,0,0,0
7,2005-13-17164,FIRE,2005/7/30,0,0,0,0,0,0,0,0,0
8,2005-13-17163,FIRE,2005/7/30,0,5,0,0,0,0,0,0,0
9,2005-13-17162,FIRE,2005/7/26,0,0,0,0,0,0,0,0,0
10,2005-13-17161,FIRE,2005/7/26,0,0,0,0,0,0,0,0,0
11,2005-13-17160,FIRE,2005/7/26,0,0,0,0,0,0,0,0,0
12,2005-13-17157,FIRE,2005/7/10,0,0,0,0,0,0,0,0,0
13,2005-13-17156,FIRE,2005/6/21,0,0,0,0,0,0,0,0,100000
14,2003-13-17139,FIRE,2003/6/26,0,0,0,0,0,0,0,0,0
15,2003-13-17138,FIRE,2003/6/25,0,0,0,0,0,0,0,0,0
16,2004-13-17106,FOREST FIRE,2004/5/30,0,0,0,0,0,0,0,0,0
17,2005-13-17089,FIRE,2005/5/19,0,0,0,0,0,0,0,0,0
18,2005-13-17082,DROUGHT,2005/1/1,0,0,0,0,0,0,0,0,0
19,2004-13-17081,FIRE,2004/5/10,0,0,0,0,0,0,0,0,0
20,2006-13-16948,RAINS,2006/10/29,0,0,0,0,0,0,0,0,0
21,2006-13-16947,FLOOD,2006/10/29,0,0,0,0,0,0,0,0,0
22,2006-13-16946,FLOOD,2006/10/28,0,0,0,0,0,0,0,0,0
23,2006-13-16905,FIRE,2006/9/29,0,0,0,0,0,0,0,0,0
24,2006-13-16874,FIRE,2006/9/10,0,0,0,0,0,0,0,0,0
25,2006-13-16841,FIRE,2006/8/30,0,0,0,0,0,0,0,0,0
26,2006-13-16815,FIRE,2006/8/24,0,0,0,0,0,0,0,0,0
27,2006-13-16802,FIRE,2006/8/19,0,0,0,0,0,0,0,0,0
28,2006-13-16799,FIRE,2006/8/18,0,0,0,0,0,0,0,0,0
29,2006-13-16798,FIRE,2006/8/18,0,0,0,0,0,0,0,0,0
30,2006-13-16790,FIRE,2006/8/16,0,0,0,0,0,0,0,0,0
31,2006-13-16787,FIRE,2006/8/15,0,0,0,0,0,0,0,0,0
32,2006-13-16754,FIRE,2006/7/31,0,0,0,0,0,0,0,0,0
33,2006-13-16716,FIRE,2006/7/10,0,0,0,0,0,0,0,0,0
34,2006-13-16702,FIRE,2006/7/2,0,0,0,0,0,0,0,0,0
35,2006-13-16685,FIRE,2006/6/24,0,0,0,0,0,0,0,0,0
36,2006-13-16670,FIRE,2006/6/16,0,0,0,0,0,0,0,0,0
37,2006-13-16665,FIRE,2006/6/15,0,0,0,0,0,0,0,0,0
38,2006-13-16664,FIRE,2006/6/15,0,0,0,0,0,0,0,0,0
39,2006-13-16648,FIRE,2006/6/8,0,0,0,0,0,0,0,0,0
40,2006-13-16645,FIRE,2006/6/7,0,0,0,0,0,0,0,0,0
41,2006-13-16641,FIRE,2006/6/6,0,0,0,0,0,0,0,0,0
42,2006-13-16640,FIRE,2006/6/6,0,0,0,0,0,0,0,0,0
43,2006-13-16639,FIRE,2006/6/6,0,0,0,0,0,0,0,0,0
44,2006-13-16638,FIRE,2006/6/6,0,0,0,0,0,0,0,0,0
45,2006-13-16637,FIRE,2006/6/6,0,0,0,0,0,0,0,0,0
46,2006-13-16634,FIRE,2006/6/4,0,0,0,0,0,0,0,0,0
47,2006-13-16632,FIRE,2006/6/3,0,0,0,0,0,0,0,0,0
48,2006-13-16578,RAINS,2006/5/3,0,0,0,0,0,0,0,0,0
49,2006-13-16559,RAINS,2006/4/25,0,0,0,0,0,0,0,0,0
50,2006-13-16558,FLOOD,2006/4/25,0,0,0,0,0,0,0,0,0
51,2006-13-16441,RAINS,2006/2/14,0,0,0,0,0,0,0,0,0
52,2006-13-16419,RAINS,2006/2/2,0,0,0,0,0,0,0,0,0
53,2006-13-16418,FLOOD,2006/2/2,0,0,0,0,0,0,0,0,0
54,2005-13-16353,FIRE,2005/12/15,0,0,0,0,0,0,0,0,50000
55,2005-13-16308,FIRE,2005/11/19,0,0,0,0,0,0,0,0,110000
56,2005-13-16284,FIRE,2005/9/18,0,0,0,0,0,0,0,0,0
57,2005-13-16282,FIRE,2005/8/30,0,0,0,0,0,0,0,0,1000
58,2005-13-16280,FIRE,2005/8/25,0,0,0,0,0,0,0,0,0
59,2005-13-16279,FIRE,2005/8/19,0,0,0,0,0,0,0,0,0
60,2005-13-16277,FIRE,2005/8/16,0,0,0,0,0,0,0,0,0
61,2005-13-16266,FIRE,2005/8/4,0,0,0,0,0,0,0,0,0
62,2005-13-16265,FIRE,2005/8/3,0,0,0,0,0,0,0,0,0
63,2005-13-16260,FIRE,2005/8/1,0,0,0,0,0,0,0,0,0
64,2005-13-16259,FOREST FIRE,2005/7/30,0,0,0,0,0,0,0,0,0
65,2005-13-16250,FIRE,2005/7/26,0,0,0,0,0,0,0,0,0
66,2005-13-16248,FIRE,2005/7/25,0,0,0,0,0,0,0,0,0
67,2005-13-16245,FIRE,2005/7/24,0,0,0,0,0,0,0,0,0
68,2005-13-16243,FIRE,2005/7/22,0,0,0,0,0,0,0,0,0
69,2005-13-16239,FIRE,2005/7/18,0,0,0,0,0,0,0,0,0
70,2005-13-16235,FIRE,2005/7/15,0,0,0,0,0,0,0,0,0
71,2005-13-16223,FIRE,2005/7/8,0,0,0,0,0,0,0,0,0
72,2005-13-16210,FIRE,2005/6/25,0,0,0,0,0,0,0,0,15000000
73,2005-13-16208,FIRE,2005/6/15,0,0,0,0,0,0,0,0,0
74,2005-13-16202,FIRE,2005/5/19,0,0,0,0,0,0,0,0,0
75,2005-13-16201,FIRE,2005/5/19,0,0,0,0,0,0,0,0,0
76,2005-13-16186,RAINS,2005/2/12,0,0,0,0,0,0,0,0,0
77,2004-13-16147,FIRE,2004/8/9,0,0,0,0,0,0,0,0,0
78,2004-13-16140,FIRE,2004/7/7,0,0,0,0,0,0,0,0,0
79,2004-13-16139,FIRE,2004/7/6,0,0,0,0,0,0,0,0,0
80,2004-13-16133,FIRE,2004/6/10,0,0,0,0,0,0,0,0,0
81,2004-13-16130,FIRE,2004/5/29,0,0,0,0,0,0,0,0,0
82,2004-13-16129,FIRE,2004/5/27,0,0,0,0,0,0,0,0,100000
83,2004-13-16128,FIRE,2004/5/25,0,0,0,0,0,0,0,0,0
84,2004-13-16127,FOREST FIRE,2004/5/25,0,0,0,0,0,0,0,0,0
85,2004-13-16125,FIRE,2004/5/14,0,0,0,0,0,0,0,0,0
86,2004-13-16124,FIRE,2004/5/14,0,0,0,0,0,0,0,0,0
