,Serial,Event,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,3162,Spill,2013/12/25,0,0,0,0,10,0,0,0,0.0
1,3159,Flooding,2013/12/25,0,0,0,0,0,0,0,0,0.0
2,3158,Flooding,2013/12/25,0,0,0,0,5,0,0,0,0.0
3,3155,Spill,2013/12/19,0,0,0,0,0,0,0,0,0.0
4,3152,Flooding,2013/12/10,0,0,0,0,0,0,0,0,0.0
5,3151,Flooding,2013/12/10,0,0,0,0,0,0,0,0,0.0
6,3148,Harmful Animals,2013/12/4,0,0,0,0,0,0,0,0,0.0
7,3147,Harmful Animals,2013/12/4,0,0,0,0,0,0,0,0,0.0
8,3144,Flooding,2013/12/2,0,0,0,0,6,0,0,0,0.0
9,3142,Flooding,2013/12/1,0,0,0,0,0,0,0,0,0.0
10,3141,Flooding,2013/12/1,0,0,0,0,0,0,0,0,0.0
11,3140,Flooding,2013/12/1,0,0,0,0,0,0,0,0,0.0
12,3139,Flooding,2013/12/1,0,0,0,0,2,0,0,0,0.0
13,3138,Flooding,2013/12/1,0,0,0,0,2,0,0,0,0.0
14,3137,Flooding,2013/12/1,0,0,0,0,0,0,0,0,0.0
15,3136,Flooding,2013/12/1,0,0,0,0,0,0,0,0,0.0
16,3135,Flooding,2013/12/1,0,0,0,0,0,0,0,0,0.0
17,3134,Flooding,2013/12/1,0,0,0,0,0,0,0,0,0.0
18,3132,Flooding,2013/11/28,0,0,0,0,0,0,0,0,0.0
19,3131,Flooding,2013/11/28,0,0,0,0,0,0,0,0,0.0
20,3130,Flooding,2013/11/28,0,0,0,0,0,0,0,0,0.0
21,3129,Flooding,2013/11/28,0,0,0,0,0,0,0,0,0.0
22,3128,Flooding,2013/11/28,0,0,0,0,0,0,0,0,0.0
23,3127,Flooding,2013/11/28,0,0,0,0,5,0,0,0,0.0
24,3126,Flooding,2013/11/28,0,0,0,0,0,0,0,0,0.0
25,3125,Flooding,2013/11/28,0,0,0,0,0,0,0,0,0.0
26,3124,Flooding,2013/11/28,0,0,0,0,0,0,0,0,0.0
27,3123,Flooding,2013/11/28,0,0,0,0,0,0,0,0,0.0
28,3122,Flooding,2013/11/28,0,0,0,0,0,0,0,0,0.0
29,3121,Flooding,2013/11/28,0,0,0,0,0,0,0,0,0.0
30,3120,Flooding,2013/11/28,0,0,0,0,0,0,0,0,0.0
31,3119,Flooding,2013/11/28,0,0,0,0,0,0,0,0,0.0
32,3118,Flooding,2013/11/28,0,0,0,0,0,0,0,0,0.0
33,3113,Flooding,2013/11/27,0,0,0,0,5,0,0,0,0.0
34,3112,Flooding,2013/11/27,0,0,0,0,3,0,0,0,0.0
35,3111,Flooding,2013/11/27,0,0,0,0,0,0,0,0,0.0
36,3110,Flooding,2013/11/27,0,0,0,0,3,0,0,0,0.0
37,3109,Flooding,2013/11/27,0,0,0,0,5,0,0,0,0.0
38,3108,Flooding,2013/11/27,0,0,0,0,0,0,0,0,0.0
39,3107,Flooding,2013/11/27,0,0,0,0,0,0,0,0,0.0
40,3106,Flooding,2013/11/27,0,0,0,0,0,0,0,0,0.0
41,3105,Flooding,2013/11/27,0,0,0,0,0,0,0,0,0.0
42,3104,Flooding,2013/11/27,0,0,0,0,0,0,0,0,0.0
43,3103,Flooding,2013/11/27,0,0,0,0,75,0,0,0,0.0
44,3102,Flooding,2013/11/27,0,0,0,0,0,0,0,0,0.0
45,3101,Flooding,2013/11/27,0,0,0,0,0,0,0,0,0.0
46,3099,Flooding,2013/11/25,0,0,0,0,0,0,0,0,0.0
47,3098,Flooding,2013/11/25,0,0,0,0,0,0,0,0,0.0
48,3097,Flooding,2013/11/25,0,0,0,0,3,0,0,0,0.0
49,3096,Flooding,2013/11/25,0,0,0,0,30,0,0,0,0.0
50,3094,Flooding,2013/11/19,0,0,0,0,0,0,0,0,0.0
51,3090,,2013/11/10,0,0,0,0,0,0,0,0,0.0
52,3086,Flooding,2013/11/10,0,0,0,0,0,0,0,0,0.0
53,3085,Flooding,2013/11/10,0,0,0,0,25,0,0,0,0.0
54,3084,Flooding,2013/11/10,0,0,0,0,7,0,0,0,0.0
55,3083,Flooding,2013/11/10,0,0,0,0,5,0,0,0,0.0
56,3082,Harmful Animals,2013/11/7,0,0,0,0,0,0,0,0,0.0
57,3080,Harmful Animals,2013/11/1,0,0,0,0,0,0,0,0,0.0
58,3078,Harmful Animals,2013/10/31,0,0,0,0,0,0,0,0,0.0
59,3075,Harmful Animals,2013/10/29,0,0,0,0,0,0,0,0,0.0
60,3074,Flooding,2013/10/29,0,0,0,0,0,0,0,0,0.0
61,3073,Flooding,2013/10/29,0,0,0,0,0,0,0,0,0.0
62,3072,Flooding,2013/10/23,0,0,0,0,0,0,0,0,0.0
63,3071,Harmful Animals,2013/10/19,0,0,0,0,0,0,0,0,0.0
64,3069,Harmful Animals,2013/10/17,0,0,0,0,0,0,0,0,0.0
65,3066,Harmful Animals,2013/10/14,0,0,0,0,0,0,0,0,0.0
66,3065,Flooding,2013/10/14,0,0,0,0,0,0,0,0,0.0
67,3064,Flooding,2013/10/14,0,0,0,0,0,0,0,0,0.0
68,3063,Flooding,2013/10/14,0,0,0,0,0,0,0,0,0.0
69,3062,Flooding,2013/10/14,0,0,0,0,0,0,0,0,0.0
70,3061,Flooding,2013/10/14,0,0,0,0,0,0,0,0,0.0
71,3051,Flooding,2013/10/6,0,0,0,0,0,0,0,0,0.0
72,3050,Flooding,2013/10/6,0,0,0,0,0,0,0,0,0.0
73,3049,Flooding,2013/10/6,0,0,0,0,0,0,0,0,0.0
74,3048,Flooding,2013/10/6,0,0,0,0,0,0,0,0,0.0
75,3047,Flooding,2013/10/6,0,0,0,0,0,0,0,0,0.0
76,3046,Flooding,2013/10/6,0,0,0,0,0,0,0,0,0.0
77,3045,Tornados,2013/10/3,0,0,0,0,0,0,0,0,0.0
78,3043,Harmful Animals,2013/10/3,0,0,0,0,0,0,0,0,0.0
79,3036,Major Accidents,2013/9/30,0,0,0,0,0,0,0,0,0.0
80,3035,Flooding,2013/9/30,0,0,0,0,9,0,0,0,0.0
81,3028,Flooding,2013/9/25,0,0,0,0,60,0,0,0,0.0
82,3024,Flooding,2013/9/19,0,0,0,0,0,0,0,0,0.0
83,3013,Major Accidents,2013/9/16,0,0,0,0,0,0,0,0,0.0
84,3012,Harmful Animals,2013/9/16,0,0,0,0,215,0,0,0,0.0
85,3011,Flooding,2013/9/16,0,0,0,0,0,0,0,0,0.0
86,3010,Flooding,2013/9/16,0,0,0,0,0,0,0,0,0.0
87,3009,Flooding,2013/9/13,0,0,0,0,6,0,0,0,0.0
88,3005,Flooding,2013/9/12,0,0,0,0,0,0,0,0,0.0
89,3004,Flooding,2013/9/12,0,0,0,0,0,0,0,0,0.0
90,3003,Flooding,2013/9/12,0,0,0,0,0,0,0,0,0.0
91,3002,Flooding,2013/9/12,0,0,0,0,0,0,0,0,0.0
92,3001,Flooding,2013/9/12,0,0,0,0,0,0,0,0,0.0
