,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,509,Hail,2012/7/22,0,0,0,0,0,0,0,0,0.0
1,1,503,Hail,2012/5/8,0,0,0,0,0,0,0,0,0.0
2,2,500,Hail,2012/6/4,0,0,0,0,0,0,0,0,0.0
3,3,2450,Forest Fire,2011/7/11,0,0,0,0,0,0,0,0,0.0
4,4,269,Forest Fire,1993/7/5,0,0,0,0,0,0,0,0,0.0
5,5,138,Flood,1982/11/18,0,0,0,0,0,0,0,0,252920.0
6,6,2918,Hail,2013/9/17,0,0,0,0,0,0,0,0,0.0
7,7,2917,Flood,2011/10/30,0,0,0,0,0,0,0,0,51800.0
8,8,2916,Flood,2011/10/30,0,0,0,0,0,0,0,0,99900.0
9,9,2915,Flood,2011/10/30,0,0,0,0,0,0,0,0,318710.0
10,10,2823,Structural Collapse,2001/3/6,0,0,0,0,0,0,0,0,0.0
11,11,2822,Flood,2013/10/5,0,0,0,0,0,0,0,0,0.0
12,12,2821,Flood,2013/8/14,0,0,0,0,0,0,0,0,0.0
13,13,2820,Hail,2013/8/14,0,0,0,0,0,0,0,0,0.0
14,14,2819,Hail,2013/8/14,0,0,0,0,0,0,0,0,0.0
15,15,2818,Hail,2013/8/14,0,0,0,0,0,0,0,0,0.0
16,16,2884,Drought,1999/9/1,0,0,0,0,0,0,0,0,1340000.0
17,17,2883,Drought,1990/9/1,0,0,0,0,0,0,0,0,1340000.0
18,18,2882,Drought,1990/9/1,0,0,0,0,0,0,0,0,1340000.0
19,19,2881,Drought,2010/9/1,0,0,0,0,0,0,0,0,2160000.0
20,20,2880,Drought,2010/9/1,0,0,0,0,0,0,0,0,2160000.0
21,21,2879,Drought,2010/9/1,0,0,0,0,0,0,0,0,2160000.0
22,22,2878,Drought,2008/9/1,0,0,0,0,0,0,0,0,482000.0
23,23,2877,Drought,2008/9/1,0,0,0,0,0,0,0,0,482000.0
24,24,2876,Drought,2008/9/1,0,0,0,0,0,0,0,0,482000.0
25,25,2875,Drought,2000/9/1,0,0,0,0,0,0,0,0,302000.0
26,26,2874,Drought,2000/9/1,0,0,0,0,0,0,0,0,302000.0
