,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,6464,Drowning,2012/7/3,2,0,0,0,2,0,0,0,0
1,1,6462,Drowning,2012/6/11,1,0,0,0,1,0,0,0,0
2,2,6459,Yangın,2012/4/20,0,0,0,0,0,0,0,0,0
3,3,6523,Yangın,2012/3/11,0,0,0,0,0,0,0,0,0
4,4,6908,Traffic Accidents,2014/2/12,0,12,0,0,0,0,0,0,0
5,5,6906,Poisoning,2014/2/13,0,1,0,0,0,0,0,0,0
6,6,6904,Drowning,2014/2/13,1,0,0,0,0,0,0,0,0
7,7,6901,Traffic Accidents,2014/2/13,0,5,0,0,0,0,0,0,0
8,8,6899,Traffic Accidents,2014/2/13,0,12,0,0,0,0,0,0,0
9,9,6897,Traffic Accidents,2014/2/13,0,5,0,0,0,0,0,0,0
10,10,6895,Traffic Accidents,2014/2/14,1,4,0,0,0,0,0,0,0
11,11,6893,Traffic Accidents,2014/2/14,0,2,0,0,0,0,0,0,0
12,12,6891,Yangın,2014/2/14,0,2,0,0,0,0,0,0,0
13,13,6889,Traffic Accidents,2014/2/14,0,1,0,0,0,0,0,0,0
14,14,6887,Traffic Accidents,2014/2/14,1,0,0,0,0,0,0,0,0
15,15,6883,Poisoning,2014/2/15,0,12,0,0,0,0,0,0,0
16,16,6881,Traffic Accidents,2014/2/15,1,4,0,0,0,0,0,0,0
17,17,6879,Traffic Accidents,2014/2/15,0,3,0,0,0,0,0,0,0
18,18,6877,Traffic Accidents,2014/2/15,0,3,0,0,0,0,0,0,0
19,19,6855,Traffic Accidents,2014/2/15,0,7,0,0,0,0,0,0,0
20,20,6853,Çökme / Göçük,2014/2/15,0,7,0,0,0,0,0,0,0
21,21,6849,Traffic Accidents,2014/2/17,0,1,0,0,0,0,0,0,0
22,22,6609,Yangın,2013/1/22,0,0,0,0,0,0,0,0,0
23,23,6607,Çığ,2013/1/20,0,0,0,0,0,0,0,0,0
24,24,6605,Çığ,2013/1/12,2,0,0,0,0,0,0,0,0
25,25,6623,Maden kazaları,2013/1/10,8,5,0,0,0,0,0,0,0
26,26,6598,Şiddetli yağış,2013/1/8,0,0,0,0,0,0,0,0,0
27,27,6562,Traffic Accidents,2014/1/24,0,3,0,0,0,0,0,0,0
28,28,6846,Traffic Accidents,2013/12/25,3,3,0,0,0,0,0,0,0
29,29,6651,Traffic Accidents,2013/2/4,2,1,0,0,0,0,0,0,0
30,30,6656,Drowning,2013/2/2,4,0,0,0,0,0,0,0,0
31,31,7302,Poisoning,2014/3/3,1,0,0,0,0,0,0,0,0
32,32,7300,Yangın,2014/3/3,0,0,0,0,7,0,0,0,0
33,33,7298,Traffic Accidents,2014/3/3,1,13,0,0,0,0,0,0,0
34,34,7296,Forest Fire,2014/3/3,0,0,0,0,0,0,0,0,0
35,35,7294,Forest Fire,2014/3/3,0,0,0,0,0,0,0,0,0
36,36,7273,Poisoning,2014/3/2,0,0,0,0,2,0,0,0,0
37,37,7271,Traffic Accidents,2014/3/2,0,6,0,0,0,0,0,0,0
38,38,7269,Traffic Accidents,2014/3/1,0,10,0,0,0,0,0,0,0
39,39,7267,Traffic Accidents,2014/3/1,1,0,0,0,0,0,0,0,0
40,40,7265,Traffic Accidents,2014/3/1,1,5,0,0,0,0,0,0,0
41,41,7263,Traffic Accidents,2014/3/1,0,5,0,0,0,0,0,0,0
42,42,7261,Traffic Accidents,2014/3/1,0,3,0,0,0,0,0,0,0
43,43,7259,Yangın,2014/3/1,0,0,0,0,0,0,0,0,0
44,44,7256,Traffic Accidents,2014/3/1,0,7,0,0,0,0,0,0,0
45,45,7407,Drowning,2013/6/10,1,0,0,0,0,0,0,0,0
46,46,7405,Drowning,2013/6/7,1,0,0,0,0,0,0,0,0
47,47,7403,Drowning,2013/6/4,1,0,0,0,0,0,0,0,0
48,48,6842,Traffic Accidents,2013/12/12,0,0,0,0,0,0,0,0,0
49,49,6836,Mahsur Kalma,2013/12/12,0,1,0,0,0,0,0,0,0
50,50,6754,Mahsur Kalma,2013/12/12,0,1,0,0,0,0,0,0,0
51,51,6746,Explosion,2013/3/20,2,2,0,0,0,0,0,0,0
52,52,6697,Çığ,2014/2/3,4,0,0,0,0,0,0,0,0
