,Serial,Event,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,2170,STRONG WINDS,2016/3/22,0,0,0,80,80,0,0,5664.30082,12342000.0
1,2170,FLOOD,2020/4/17,0,0,0,0,0,0,0,0.0,0.0
2,2169,STRONG WINDS,2016/1/21,0,0,0,17,20,0,0,0.0,0.0
3,2168,HAILSTORM,2015/12/27,0,0,0,0,0,0,0,0.0,0.0
4,2167,FLOOD,2020/4/17,0,0,0,225,225,0,0,0.0,0.0
5,2166,RAINS,2015/12/22,0,0,0,1806,1806,0,0,0.0,0.0
6,2165,RAINS,2015/10/4,0,0,0,156,590,0,0,0.0,0.0
7,2164,FLOOD,2015/3/5,0,0,0,80,106,0,0,0.0,0.0
8,2163,STRONG WINDS,2015/4/27,1,1,0,872,872,0,0,3548.3832,6474000.0
9,2162,FLOOD,2015/4/16,0,0,0,110,200,0,0,0.0,0.0
10,2161,FLOOD,2015/4/3,0,0,0,1185,1185,0,0,102667.5649,183276870.0
11,2160,FLOOD,2015/2/17,0,0,0,50,50,0,0,0.0,0.0
12,2159,RAINS,2021/6/23,0,0,0,29,100,0,0,0.0,0.0
13,2158,FLOOD,2014/10/24,0,0,0,230,230,0,0,0.0,0.0
14,2157,HAILSTORM,2014/5/12,0,0,0,0,0,0,0,0.0,0.0
15,2156,HAILSTORM,2014/5/13,0,0,0,0,0,0,0,0.0,0.0
16,2154,LANDSLIDE,2020/11/112,0,0,0,85,85,0,0,0.0,0.0
17,2153,FIRE,2020/10/1,0,0,0,69,69,0,0,0.0,0.0
18,2152,LANDSLIDE,2020/4/1,0,0,0,115,115,0,0,0.0,0.0
19,2151,LANDSLIDE,2020/4/21,0,0,0,25,25,0,0,0.0,0.0
20,2150,LANDSLIDE,2020/4/5,2,0,0,0,0,0,0,0.0,0.0
21,2149,Volcano,2020/4/3,0,0,0,25,25,0,0,0.0,0.0
22,2148,LANDSLIDE,2019/12/3,3,0,0,40,40,0,0,0.0,0.0
23,2147,FLOOD,2019/12/17,0,2,0,1110,1110,0,0,0.0,0.0
24,2146,FIRE,2019/2/28,0,4,0,15,15,0,0,0.0,0.0
25,2145,LANDSLIDE,2018/4/21,0,0,0,215,215,0,0,0.0,0.0
26,2144,FLOOD,2018/4/8,4,0,0,0,0,0,0,0.0,0.0
27,2143,FIRE,2018/3/6,0,0,0,2295,2295,0,0,0.0,0.0
28,2142,FIRE,2018/2/6,0,0,0,45,45,0,0,0.0,0.0
29,2141,FLOOD,2018/1/8,0,0,0,130,130,0,0,0.0,0.0
30,2140,FLOOD,2016/2/9,4,0,0,0,0,0,0,0.0,0.0
31,2139,FLOOD,2015/4/2,2,0,0,3927,3927,0,0,1503179.855,2685000000.0
32,2138,Explosion,2014/10/13,7,0,0,0,0,0,0,0.0,0.0
33,2137,FLOOD,2014/4/12,7,0,0,0,0,0,0,0.0,0.0
