,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,2013-00121,Flood,2013/9/15,0,0,0,9,0,0,0,0.0,0
1,1,2012-00151,Fire,2012/11/25,2,0,0,0,0,0,0,0.0,0
2,2,2012-00038,Flood,2012/3/1,0,0,0,0,0,0,12,0.0,0
3,3,2011-00151,Fire,2011/7/13,0,3,0,0,0,0,0,0.0,0
4,4,2007-00106,Fire,2007/7/10,1,1,0,0,0,0,0,0.0,0
5,5,2001-00030,Flood,2001/3/23,0,0,0,0,0,0,245,0.0,0
6,6,2000-00128,Fire,2000/2/18,0,1,0,0,0,0,0,0.0,0
7,7,1984-00019,Flood,1984/5/31,0,0,0,0,0,0,50,0.0,0
8,8,1983-00020,Flood,1983/7/3,0,0,0,0,0,0,20,0.0,0
9,9,2001-00012,Epidemic,2001/1/30,0,0,0,0,0,0,0,0.0,0
10,10,2013-00158,Fire,2013/12/25,0,0,0,0,0,0,0,0.0,0
11,11,2000-00127,Structural Collapse,2000/2/16,0,0,0,0,0,0,0,0.0,0
12,12,2000-00093,Fire,2000/2/7,0,0,0,3,0,0,0,0.0,0
13,13,2013-00161,Fire,2013/12/26,0,0,0,0,0,0,0,0.0,0
14,14,2012-00040,Flood,2012/3/1,0,0,0,0,0,0,30,0.0,0
15,15,2012-00021,Fire,2012/1/20,0,0,0,4,0,0,0,0.0,0
16,16,2012-00002,Fire,2012/1/8,0,0,0,0,0,0,0,0.0,0
17,17,2004-00089,Storm,2004/10/16,0,1,0,0,0,0,0,0.0,0
18,18,2004-00011,Storm,2004/2/3,0,6,0,90,0,0,0,0.0,0
19,19,2004-00010,Storm,2004/2/2,0,0,0,271,0,0,0,0.0,0
20,20,2000-00335,Fire,2000/12/19,1,0,0,0,0,0,0,0.0,0
21,21,2000-00259,Traffic Accidents,2000/7/30,0,20,0,0,0,0,0,0.0,0
22,22,2000-00149,Storm,2000/3/23,0,0,0,0,0,0,0,0.0,0
23,23,1988-00064,Fire,1988/7/24,1,0,0,0,0,0,0,0.0,0
24,24,1988-00014,Storm,1988/1/29,0,0,0,0,0,0,0,0.0,0
25,25,1987-00011,Flood,1987/4/20,0,0,0,0,0,0,600,0.0,0
26,26,1986-00005,Flood,1986/4/14,0,0,0,0,0,0,702,0.0,0
27,27,1985-00019,Flood,1985/8/10,0,0,0,0,0,0,0,0.0,0
28,28,1985-00015,Fire,1985/6/1,0,2,0,0,0,0,0,0.0,0
29,29,1983-00063,Fire,1983/12/30,0,0,0,0,0,0,0,0.0,0
30,30,1983-00022,Flood,1983/7/6,0,0,0,0,0,0,1392,0.0,0
31,31,1983-00013,Flood,1983/5/6,0,0,0,0,0,0,809,0.0,0
32,32,1983-00010,Flood,1983/2/26,0,0,0,0,0,0,122,0.0,0
33,33,2013-00170,Storm,2013/12/31,0,0,0,36,0,0,20,0.0,0
34,34,2012-00065,Storm,2012/6/14,0,0,0,4,0,0,0,0.0,0
