,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,413,THUNDERSTORM,2006/6/13,0,0,0,0,0,0,0,0,0
1,1,412,THUNDERSTORM,2006/6/13,0,0,0,0,0,0,0,0,0
2,2,411,THUNDERSTORM,2006/6/13,0,0,0,0,0,0,0,0,0
3,3,410,THUNDERSTORM,2006/6/13,0,0,0,0,0,0,0,0,0
4,4,409,STORM,2012/8/2,0,0,0,0,0,0,0,0,0
5,5,407,FLOOD,2005/12/5,0,0,0,5,0,0,0,0,0
6,6,406,LANDSLIDE,2005/12/5,0,0,0,0,0,0,0,0,0
7,7,405,LANDSLIDE,2005/12/5,0,0,0,0,0,0,0,0,0
8,8,389,LANDSLIDE,2008/8/18,0,0,0,0,0,0,0,0,0
9,9,387,LANDSLIDE,2008/9/18,0,0,0,0,0,0,0,0,0
10,10,386,LANDSLIDE,2008/8/18,0,0,0,0,0,0,0,0,0
11,11,385,LANDSLIDE,2008/8/18,0,0,0,0,0,0,0,0,0
12,12,414,STORM,2001/10/7,0,0,0,0,0,0,0,0,0
13,13,383,FLASH FLOOD,2013/12/24,0,0,0,0,0,0,0,0,0
14,14,382,TSUNAMI,1867/11/18,0,0,0,0,0,0,0,0,0
15,15,381,DROUGHT,1958/0/0,0,0,0,0,0,0,0,0,0
16,16,379,DROUGHT,1887/0/0,0,0,0,0,0,0,0,0,0
17,17,404,LANDSLIDE,2005/12/5,0,0,0,0,0,0,0,0,0
18,18,403,RAINS,2005/12/5,0,0,0,0,0,0,0,0,0
19,19,402,LANDSLIDE,2005/12/5,0,0,0,0,0,0,0,0,0
20,20,401,LANDSLIDE,2005/12/5,0,1,0,0,0,0,0,0,0
21,21,400,FLOOD,2005/12/5,0,0,0,0,0,0,0,0,0
22,22,399,FLOOD,2005/12/5,0,0,0,0,0,0,0,0,0
23,23,398,RAINS,2005/12/5,0,0,0,0,0,0,0,0,0
24,24,376,HURRICANE,1780/0/0,0,0,0,0,0,0,0,0,0
25,25,374,LANDSLIDE,2011/8/1,0,0,0,2,0,0,0,0,0
26,26,373,FLOOD,2011/8/1,0,0,0,0,0,0,0,0,0
27,27,372,FLOOD,2011/4/10,0,0,0,0,0,0,0,0,0
28,28,371,HURRICANE,2010/10/29,0,0,0,0,0,0,0,0,0
29,29,370,LANDSLIDE,2010/10/4,0,0,0,0,0,0,0,0,0
30,30,369,HURRICANE,2010/10/29,0,0,0,101,0,0,0,0,0
31,31,368,LANDSLIDE,2010/10/4,0,0,0,0,0,0,0,0,0
32,32,365,FOREST FIRE,2010/1/20,0,0,0,0,0,0,0,0,0
33,33,362,LANDSLIDE,2009/11/23,0,0,0,6,0,0,0,0,0
34,34,356,LANDSLIDE,2008/6/12,0,1,0,3,0,0,0,0,0
35,35,355,COASTAL FLOOD,2007/8/15,0,0,0,0,0,0,0,0,0
36,36,354,OTHER,2007/5/0,0,0,0,0,0,0,0,0,0
37,37,353,OTHER,2007/5/0,0,0,0,0,0,0,0,0,0
38,38,350,THUNDERSTORM,2006/6/13,0,1,0,0,0,0,0,32600,85500
39,39,349,OTHER,2006/5/0,0,0,0,0,15000,0,0,0,0
40,40,348,OTHER,2006/5/0,0,0,0,0,20000,0,0,0,0
41,41,347,LANDSLIDE,2005/11/14,0,2,0,0,0,0,0,0,0
42,42,346,LANDSLIDE,2005/11/13,0,0,0,0,0,0,0,0,0
43,43,345,LANDSLIDE,2005/11/13,0,0,0,0,0,0,52,0,0
44,44,295,FLOOD,1995/8/25,0,0,0,0,0,0,0,0,0
45,45,294,COASTAL FLOOD,1995/8/25,0,0,0,0,0,0,0,0,0
46,46,293,COASTAL FLOOD,1995/8/25,0,0,0,0,0,0,0,0,0
47,47,292,COASTAL FLOOD,1995/8/25,0,0,0,0,0,0,0,0,0
48,48,291,COASTAL FLOOD,1995/8/25,0,0,0,0,0,0,0,0,0
49,49,321,STORM,2002/9/23,0,0,0,0,0,0,0,0,0
50,50,319,EXPLOSION,2002/2/12,4,0,0,0,0,0,0,0,0
