,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,2015-00530,Structural Collapse,2015/11/7,0,0,0,0,0,0,0,0,0
1,1,2015-00167,Flood,2015/5/28,0,0,0,16,0,0,0,0,0
2,2,2015-00166,Flood,2015/5/24,0,0,0,0,60,0,0,0,0
3,3,2015-00165,Structural Collapse,2015/5/24,0,0,0,0,0,0,0,0,0
4,4,2015-00164,Fire,2015/5/21,0,1,0,0,0,0,0,0,0
5,5,2015-00163,Escape,2015/5/21,0,13,0,0,0,0,0,0,0
6,6,2015-00162,Forest Fire,2015/5/19,0,0,0,0,0,0,0,0,0
7,7,2015-00161,Fire,2015/5/16,0,0,0,0,0,0,0,0,0
8,8,2015-00160,Structural Collapse,2015/5/16,0,3,0,0,0,0,0,0,0
9,9,2015-00159,Fire,2015/5/15,0,0,0,0,0,0,0,0,0
10,10,2015-00158,Structural Collapse,2015/5/9,0,0,0,0,0,0,0,0,0
11,11,2015-00157,Structural Collapse,2015/5/14,0,0,0,0,0,0,0,0,0
12,12,2015-00156,Forest Fire,2015/5/3,0,0,0,0,0,0,0,0,0
13,13,2015-00155,Forest Fire,2015/5/6,0,0,0,0,0,0,0,0,0
14,14,2015-00154,Fire,2015/5/8,0,0,0,0,0,0,0,0,0
15,15,2015-00153,Fire,2015/5/8,0,0,0,0,0,0,0,0,0
16,16,2015-00152,Fire,2015/5/13,0,0,0,0,0,0,0,0,0
17,17,2015-00151,Forest Fire,2015/5/8,0,0,0,0,0,0,0,0,0
18,18,2015-00150,Fire,2015/5/11,0,0,0,0,0,0,0,0,0
19,19,2015-00149,Forest Fire,2015/5/1,0,0,0,0,0,0,0,0,0
20,20,2015-00148,Forest Fire,2015/5/1,0,0,0,0,0,0,0,0,0
21,21,2015-00147,Forest Fire,2015/5/4,1,1,0,0,0,0,0,0,0
22,22,2015-00146,Fire,2015/5/12,0,0,0,0,0,0,0,0,0
23,23,2015-00145,Forest Fire,2015/5/12,0,0,0,0,0,0,0,0,0
24,24,2015-00144,Forest Fire,2015/5/6,0,0,0,0,0,0,0,0,0
25,25,2015-00143,Forest Fire,2015/5/9,0,0,0,0,0,0,0,0,0
26,26,2015-00142,Forest Fire,2015/5/7,0,0,0,0,0,0,0,0,0
27,27,2015-00141,Forest Fire,2015/5/4,0,0,0,0,0,0,0,0,0
28,28,2015-00140,Forest Fire,2015/5/2,0,0,0,0,0,0,0,0,0
29,29,2015-00139,Forest Fire,2015/5/1,0,0,0,0,0,0,0,0,0
30,30,2015-00138,Forest Fire,2015/5/1,0,0,0,0,0,0,0,0,0
31,31,2015-00137,Forest Fire,2015/4/30,0,0,0,0,0,0,0,0,0
32,32,2015-00136,Fire,2015/4/30,0,1,0,0,0,0,0,0,0
33,33,2015-00135,Forest Fire,2015/4/30,0,0,0,0,0,0,0,0,0
34,34,2015-00134,Fire,2015/4/30,0,0,0,0,0,0,0,0,0
35,35,2015-00133,Forest Fire,2015/4/28,0,0,0,0,0,0,0,0,0
36,36,2015-00132,Forest Fire,2015/4/23,0,0,0,0,0,0,0,0,0
37,37,2015-00131,Escape,2015/4/3,0,10,0,0,0,0,0,0,0
38,38,2015-00130,Fire,2015/4/3,0,0,0,0,0,0,0,0,0
39,39,2015-00129,Flood,2015/4/4,0,0,0,0,0,0,0,0,0
40,40,2015-00128,Forest Fire,2015/4/15,0,0,0,0,0,0,0,0,0
41,41,2015-00127,Escape,2015/4/19,0,2,0,0,0,0,0,0,0
42,42,2015-00126,Forest Fire,2015/4/22,0,0,0,0,0,0,0,0,0
43,43,2015-00125,Fire,2015/4/23,0,4,0,0,0,0,0,0,0
44,44,2015-00124,Drowning,2015/4/19,2,0,0,0,0,0,0,0,0
45,45,2015-00123,Structural Collapse,2015/5/4,0,0,0,0,0,0,0,0,0
46,46,2015-00122,Landslide,2015/4/14,0,0,0,5,0,0,0,0,0
47,47,2015-00121,Landslide,2015/4/14,0,0,0,0,0,0,0,0,0
48,48,2015-00120,Flood,2015/4/4,0,2,3,0,0,0,0,0,0
49,49,2015-00119,Accident  ,2015/4/21,0,0,0,0,0,0,0,0,0
50,50,2015-00118,Fire,2015/4/1,0,0,0,0,0,0,0,0,0
51,51,2015-00117,Forest Fire,2015/4/7,0,0,0,0,0,0,0,0,0
52,52,2015-00116,Árbol caído,2015/3/28,0,0,0,0,0,0,0,0,0
53,53,2015-00115,Árbol caído,2015/3/28,0,0,0,0,4,0,0,0,0
54,54,2015-00114,Árbol caído,2015/3/28,0,0,0,0,44,0,0,0,0
55,55,2015-00113,Fire,2015/3/28,0,0,0,0,0,0,0,0,0
56,56,2015-00112,Fire,2015/3/28,0,0,0,0,0,0,0,0,0
57,57,2015-00111,Fire,2015/3/28,1,0,0,0,0,0,0,0,0
58,58,2015-00110,Structural Collapse,2015/3/26,0,0,0,0,0,0,0,0,0
59,59,2015-00109,Forest Fire,2015/3/26,0,0,0,0,0,0,0,0,0
60,60,2015-00108,Forest Fire,2015/3/25,0,0,0,0,0,0,0,0,0
61,61,2015-00107,Fire,2015/3/23,0,0,0,0,0,0,0,0,0
62,62,2015-00106,Forest Fire,2015/3/27,0,0,0,0,0,0,0,0,0
63,63,2015-00105,Flood,2015/3/20,0,0,0,0,28,0,0,0,0
64,64,2015-00104,Landslide,2015/3/20,0,0,0,0,8,0,0,0,0
65,65,2015-00103,Flood,2015/3/20,0,0,0,0,0,0,0,0,0
66,66,2015-00102,Flood,2015/3/20,0,0,0,0,8,0,0,0,0
67,67,2015-00101,Fire,2015/3/20,0,0,0,0,4,0,0,0,0
68,68,2015-00100,Forest Fire,2015/3/20,0,0,0,0,0,0,0,0,0
69,69,2015-00098,Fire,2015/3/17,0,0,0,8,0,0,0,0,0
70,70,2015-00097,Fire,2015/3/17,0,0,0,0,0,0,0,0,0
