,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,1471,Lũ,2019/8/4,5,3,0,0,0,0,0,0,0.0
1,81107,Bão,2008/11/7,0,0,0,0,0,0,0,0,1702500000.0
2,81029,Lũ,2008/10/29,1,0,0,0,0,0,0,0,11463500000.0
3,81029,Lũ,2008/10/29,0,0,0,0,0,0,0,0,266500000.0
4,81029,Lũ,2008/10/29,0,0,0,0,0,0,0,0,14653800000.0
5,80929,Bão,2008/9/29,0,0,0,0,0,0,0,0,12995000000.0
6,80929,Bão,2008/9/29,4,9,1,0,0,0,0,0,21730000000.0
7,80929,Bão,2008/9/29,2,7,0,0,0,0,0,0,9197000000.0
8,80929,Bão,2008/9/29,0,1,0,0,0,0,0,0,11412000000.0
9,80929,Bão,2008/9/29,2,2,0,0,0,0,0,0,17120000000.0
10,80929,Bão,2008/9/29,3,27,0,0,0,0,0,0,61395000000.0
11,80929,Bão,2008/9/29,0,0,0,0,0,0,0,0,4995000000.0
12,90928,Bão,2009/9/28,0,0,0,0,0,0,0,0,18595000000.0
13,90928,Bão,2009/9/28,0,1,0,0,0,0,0,0,13505000000.0
14,90928,Bão,2009/9/28,0,8,0,0,0,0,0,0,10941000000.0
15,90928,Bão,2009/9/28,0,0,0,0,0,0,0,0,12430000000.0
16,90928,Bão,2009/9/28,0,0,0,0,0,0,0,0,14201000000.0
17,90928,Bão,2009/9/28,0,0,0,0,0,0,0,0,12620000000.0
18,90928,Bão,2009/9/28,2,2,0,0,0,0,0,0,19539000000.0
19,51006,Bão,2005/10/10,0,0,0,0,0,0,0,0,12620000000.0
20,90923,Lũ,2009/9/23,1,2,0,0,0,0,0,0,6012000000.0
21,90923,Lũ,2009/9/23,0,0,0,0,0,0,0,0,6454000000.0
22,90923,Lũ,2009/9/23,1,0,0,0,0,0,0,0,3402000000.0
23,90923,Lũ,2009/9/23,0,0,0,0,0,0,0,0,1079000000.0
24,90923,Lũ,2009/9/23,0,3,0,0,0,0,0,0,7472000000.0
25,90923,Lũ,2009/9/23,0,0,0,0,0,0,0,0,8776000000.0
26,101014,Gió mùa,2010/10/14,3,13,0,0,0,0,0,0,182200.0
27,101014,Gió mùa,2010/10/14,2,4,0,0,0,0,0,0,60219000000.0
28,101014,Gió mùa,2010/10/14,2,0,0,0,0,0,0,0,0.8772999999999999
29,101014,Gió mùa,2010/10/14,1,0,0,0,0,0,0,0,55169000000.0
30,101014,Gió mùa,2010/10/14,2,13,0,0,0,0,0,0,83197000000.0
31,101014,Gió mùa,2010/10/14,1,14,0,0,0,0,0,0,61148000000.0
32,101014,Gió mùa,2010/10/14,0,96,0,0,0,0,0,0,4498000000.0
33,101003,Gió mùa,2010/10/3,1,0,0,0,0,0,0,0,400966000000.0
34,101003,Gió mùa,2010/10/3,3,4,0,0,0,0,0,0,314820000000.0
35,50917,Bão,2005/9/17,0,0,0,0,0,0,0,0,0.0
36,101003,Gió mùa,2010/10/3,3,0,1,0,0,0,0,0,58771000000.0
37,101003,Gió mùa,2010/10/3,21,21,3,0,0,0,0,0,351024000000.0
38,101003,Gió mùa,2010/10/3,14,37,10,0,0,0,0,0,496965000000.0
39,101003,Gió mùa,2010/10/3,5,18,0,0,0,0,0,0,157858000000.0
40,101003,Gió mùa,2010/10/3,0,0,0,0,0,0,0,0,116284000000.0
41,100823,Bão,2010/8/23,0,0,0,0,0,0,0,0,553000000.0
42,100823,Bão,2010/8/23,0,0,0,0,0,0,0,0,5151000000.0
43,100823,Bão,2010/8/23,0,0,0,0,0,0,0,0,1675000000.0
44,100823,Bão,2010/8/23,0,0,0,0,0,0,0,0,652000000.0
45,100823,Bão,2010/8/23,0,0,0,0,0,0,0,0,6251000000.0
46,100823,Bão,2010/8/23,1,0,1,0,0,0,0,0,4773000000.0
47,100823,Bão,2010/8/23,0,0,0,0,0,0,0,0,203000000.0
48,10002,Typhoon,2010/7/11,0,3,0,0,0,0,0,0,0.0
49,10002,Typhoon,2010/7/11,0,0,0,0,0,0,0,0,0.0
50,10002,Typhoon,2010/7/11,1,0,17,0,0,0,0,0,0.0
51,99,Lũ,2001/5/15,2,0,0,0,0,0,0,0,0.0
52,99,Lũ,2001/5/15,0,0,0,0,0,0,0,0,0.0
53,98,Lũ quét,2001/1/1,8,0,0,0,0,0,0,0,0.0
54,98,Lũ quét,2001/1/1,4,2,0,0,0,0,0,0,0.0
55,98,Lũ quét,2001/1/1,2,0,0,0,0,0,0,0,0.0
56,98,Lũ quét,2001/1/1,3,0,0,0,0,0,0,0,0.0
57,98,Lũ quét,2001/1/1,11,8,0,0,0,0,0,0,0.0
58,98,Lũ quét,2001/1/1,2,0,0,0,0,0,0,0,0.0
59,98,Lũ quét,2001/1/1,0,0,0,0,0,0,0,0,0.0
60,98,Lũ quét,2001/1/1,0,0,0,0,0,0,0,0,0.0
61,98,Lũ quét,2001/1/1,8,0,0,0,0,0,0,0,0.0
62,98,Lũ quét,2001/1/1,4,5,0,0,0,0,0,0,0.0
63,98,Lũ quét,2001/1/1,0,0,0,0,0,0,0,0,0.0
64,98,Lũ quét,2001/1/1,3,0,0,0,0,0,0,0,0.0
65,97,Lốc+ mưa đá,2002/1/1,1,0,0,0,0,0,0,0,0.0
66,97,Lốc+ mưa đá,2002/1/1,0,60,0,0,0,0,0,0,0.0
67,97,Lốc+ mưa đá,2002/1/1,4,0,0,0,0,0,0,0,0.0
68,97,Lốc+ mưa đá,2002/1/1,4,0,0,0,0,0,0,0,0.0
69,97,Lốc+ mưa đá,2002/1/1,6,2,0,0,0,0,0,0,0.0
70,97,Lốc+ mưa đá,2002/1/1,0,2,0,0,0,0,0,0,0.0
71,97,Lốc+ mưa đá,2002/1/1,4,14,0,0,0,0,0,0,0.0
72,97,Lốc+ mưa đá,2002/1/1,2,0,0,0,0,0,0,0,0.0
73,97,Lốc+ mưa đá,2002/1/1,1,2,0,0,0,0,0,0,0.0
74,97,Lốc+ mưa đá,2002/1/1,0,1,1,0,0,0,0,0,0.0
75,97,Lốc+ mưa đá,2002/1/1,0,0,0,0,0,0,0,0,0.0
76,97,Lốc+ mưa đá,2002/1/1,1,3,0,0,0,0,0,0,0.0
77,97,Lốc+ mưa đá,2002/1/1,0,0,0,0,0,0,0,0,0.0
78,97,Lốc+ mưa đá,2002/1/1,0,25,0,0,0,0,0,0,0.0
79,97,Lốc+ mưa đá,2002/1/1,0,0,0,0,0,0,0,0,0.0
80,97,Lốc+ mưa đá,2002/1/1,0,0,0,0,0,0,0,0,0.0
81,96,Lũ,2002/10/23,1,0,0,0,0,0,0,0,0.0
82,96,Lũ,2002/10/23,0,0,0,0,0,0,0,0,0.0
83,96,Lũ,2002/10/23,2,0,0,0,0,0,0,0,0.0
