,Unnamed: 0,Serial,Type,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
0,0,7099,Accident,2023/3/25,46,118,0,0,0,0,0,0,0.0
1,1,7098,Accident,2023/3/24,12,30,0,0,0,0,0,0,0.0
2,2,7097,Accident,2023/3/25,1,3,0,0,0,0,0,0,0.0
3,3,7096,Accident,2023/3/25,1,0,0,0,0,0,0,0,0.0
4,4,7095,Epidemic,2023/3/23,5,0,0,0,0,0,7,0,0.0
5,5,7091,Epidemic,2023/3/21,0,0,0,0,0,0,0,0,0.0
6,6,7090,Epidemic,2023/3/21,1,0,0,0,0,0,0,0,0.0
7,7,7089,Epidemic,2023/3/19,0,0,0,0,67,0,0,0,0.0
8,8,7088,Epidemic,2023/3/19,0,0,0,0,32,0,0,0,0.0
9,9,7083,Accident,2023/2/27,3,3,0,0,0,0,0,0,0.0
10,10,7082,Accident,2023/2/20,0,2,0,0,0,0,0,0,0.0
11,11,7081,Accident,2023/2/19,0,4,0,0,0,0,0,0,0.0
12,12,7080,Accident,2023/2/19,0,2,0,0,0,0,0,0,0.0
13,13,7079,Accident,2023/2/18,0,1,0,0,0,0,0,0,0.0
14,14,7078,Accident,2023/2/17,0,3,0,0,0,0,0,0,0.0
15,15,7077,Accident,2023/2/20,1,4,0,0,0,0,0,0,0.0
16,16,7076,Accident,2023/2/18,1,0,0,0,0,0,0,0,0.0
17,17,7075,Accident,2023/2/18,0,4,0,0,0,0,0,0,0.0
18,18,7074,Accident,2023/2/19,0,1,0,0,0,0,0,0,0.0
19,19,7073,Accident,2023/2/19,1,2,0,0,0,0,0,0,0.0
20,20,7072,Accident,2023/2/18,1,3,0,0,0,0,0,0,0.0
21,21,7071,Accident,2023/2/18,0,2,0,0,0,0,0,0,0.0
22,22,7070,Accident,2023/2/18,0,3,0,0,0,0,0,0,0.0
23,23,7070,Accident,2023/2/18,0,0,0,0,0,0,0,0,0.0
24,24,7068,Accident,2023/2/18,0,3,0,0,0,0,0,0,0.0
25,25,7067,Accident,2023/2/18,0,2,0,0,0,0,0,0,0.0
26,26,7066,Accident,2023/2/18,0,2,0,0,0,0,0,0,0.0
27,27,7065,Accident,2023/2/17,1,0,0,0,0,0,0,0,0.0
28,28,7064,Accident,2023/2/17,0,2,0,0,0,0,0,0,0.0
29,29,7063,Accident,2023/2/16,1,2,0,0,0,0,0,0,0.0
30,30,7062,Accident,2023/2/16,2,7,0,0,0,0,0,0,0.0
31,31,7061,Accident,2023/2/16,1,2,0,0,0,0,0,0,0.0
32,32,7060,Accident,2023/2/17,1,0,0,0,0,0,0,0,0.0
33,33,7059,Accident,2023/2/17,0,3,0,0,0,0,0,0,0.0
34,34,7058,Accident,2023/1/17,0,2,0,0,0,0,0,0,0.0
35,35,7057,Accident,2023/1/28,0,1,0,0,0,0,0,0,0.0
36,36,7056,Accident,2023/1/19,0,3,0,0,0,0,0,0,0.0
37,37,7055,Accident,2023/1/18,0,2,0,0,0,0,0,0,0.0
38,38,7054,Accident,2023/1/16,0,1,0,0,0,0,0,0,0.0
39,39,7053,Accident,2023/1/13,1,2,0,0,0,0,0,0,0.0
40,40,7051,Death/Injury,2023/2/11,0,2,0,0,0,0,0,0,0.0
41,41,7050,Conflict,2023/2/6,1,2,0,0,0,0,0,0,0.0
42,42,7049,Conflict,2023/2/8,1,2,0,0,0,0,0,0,0.0
43,43,7048,Accident,2023/2/11,0,3,0,0,0,0,0,0,0.0
44,44,7047,Accident,2023/2/9,0,2,0,0,0,0,0,0,0.0
45,45,7046,Accident,2023/2/8,0,3,0,0,0,0,0,0,0.0
46,46,7045,Accident,2023/2/7,0,3,0,0,0,0,0,0,0.0
47,47,7044,Accident,2023/2/7,1,2,0,0,0,0,0,0,0.0
48,48,7043,Accident,2023/2/5,0,2,0,0,0,0,0,0,0.0
49,49,7042,Accident,2023/2/11,1,1,0,0,0,0,0,0,0.0
50,50,7041,Accident,2023/2/6,1,1,0,0,0,0,0,0,0.0
51,51,7040,Accident,2023/2/5,1,2,0,0,0,0,0,0,0.0
52,52,7039,Flood,2023/2/8,0,2,0,0,0,0,0,0,0.0
53,53,7038,Accident,2023/2/2,2,2,0,0,0,0,0,0,0.0
54,54,7037,Accident,2023/2/11,0,1,0,0,0,0,0,0,0.0
55,55,7036,Accident,2023/2/11,0,0,0,0,0,0,0,0,0.0
56,56,7035,Accident,2023/2/9,1,2,0,0,0,0,0,0,0.0
57,57,7034,Accident,2023/2/8,0,1,0,0,0,0,0,0,0.0
58,58,7033,Accident,2023/2/7,0,1,0,0,0,0,0,0,0.0
59,59,7032,Accident,2023/2/5,1,1,0,0,0,0,0,0,0.0
60,60,7031,Accident,2023/2/4,1,2,0,0,0,0,0,0,0.0
61,61,7030,Accident,2023/2/3,1,2,0,0,0,0,0,0,0.0
62,62,7029,Flood,2023/2/9,0,1,0,0,0,0,0,0,0.0
63,63,7028,Accident,2023/2/6,2,0,0,0,0,0,0,0,0.0
64,64,7027,Accident,2023/2/10,0,5,0,0,0,0,0,0,0.0
65,65,7026,Accident,2023/2/5,0,3,0,0,0,0,0,0,0.0
66,66,7025,Accident,2023/2/3,1,1,0,0,0,0,0,0,0.0
67,67,7024,Accident,2023/2/1,1,4,0,0,0,0,0,0,0.0
68,68,7022,Death/Injury,2023/1/31,0,2,0,0,0,0,0,0,0.0
69,69,7021,Accident,2023/1/31,0,1,0,0,0,0,0,0,0.0
70,70,7020,Flood,2023/1/31,1,1,0,0,0,0,0,0,0.0
71,71,7019,Accident,2023/1/31,1,4,0,0,0,0,0,0,0.0
72,72,7018,Death/Injury,2023/1/30,1,0,0,0,0,0,0,0,0.0
73,73,7017,Accident,2023/1/31,0,3,0,0,0,0,0,0,0.0
74,74,7016,Accident,2023/1/23,1,1,0,0,0,0,0,0,0.0
75,75,7015,Accident,2023/1/22,1,0,0,0,0,0,0,0,0.0
76,76,7014,Accident,2023/1/23,1,0,0,0,0,0,0,0,0.0
77,77,7013,Accident,2023/1/23,0,1,0,0,0,0,0,0,0.0
78,78,7012,Accident,2023/1/22,0,1,0,0,0,0,0,0,0.0
79,79,7011,Accident,2023/1/23,0,1,0,0,0,0,0,0,0.0
80,80,7010,Accident,2023/1/23,0,2,0,0,0,0,0,0,0.0
81,81,7009,Accident,2023/1/23,0,2,0,0,0,0,0,0,0.0
82,82,7008,Accident,2023/1/23,0,3,0,0,0,0,0,0,0.0
83,83,7007,Accident,2023/1/23,0,2,0,0,0,0,0,0,0.0
84,84,7006,Accident,2023/1/23,0,3,0,0,0,0,0,0,0.0
85,85,7006,Accident,2023/1/23,0,0,0,0,0,0,0,0,0.0
86,86,7005,Accident,2023/1/23,0,1,0,0,0,0,0,0,0.0
87,87,7004,Accident,2023/1/23,1,0,0,0,0,0,0,0,0.0
88,88,7003,Accident,2023/1/22,1,3,0,0,0,0,0,0,0.0
89,89,7002,Accident,2023/1/23,0,1,0,0,0,0,0,0,0.0
